,AUniqueID,Access Control,Accessories & Sundry Items,Acoustic Designation,Acoustic Rating,Appear In Schedule,Assembly Code,Assembly Description,AssetIdentifier,Blind Type,Bottom Profile Height,Bottom Profile Option 01,Bottom Profile Option 02,Bottom Profile Option 03,Bottom Profile Option 04,Brass Polished Finish,Brass Satin Finish,Clear Anodized,Closed,Colour,Comments,Constituents,Construction Type,DDA Compliant,DOOR_Acoustic Rating,DOOR_Break Glass - Green,DOOR_Break Glass - Red,DOOR_Call Button,DOOR_Card Entry,DOOR_Colour,DOOR_DDA Closer (20Kn),DOOR_Detail type,DOOR_Door Closer,DOOR_Door Contacts,DOOR_DoubleSwing,DOOR_Exit Button,DOOR_Finger Protection,DOOR_Finishes,DOOR_Gas Suppression,DOOR_GlazingThickness,DOOR_KickPlate,DOOR_KickPlateHeight,DOOR_Lock & Thumbturn,DOOR_Louvred,DOOR_Material Frame,DOOR_Material Panel,DOOR_MaterialDoor,DOOR_MaterialFrame,DOOR_PanelHeight,DOOR_Panic Bar,DOOR_Power,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Safety Barrier,DOOR_Secure by Design,DOOR_Signage,DOOR_Type,DOOR_Ventilation,DOOR_Video Entry,DOOR_Vision Panel,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,DOOR_VisionPanelOffset,DOOR_VisionPanelType,DOOR_VisionPanelWidth,DOOR_Wall Thickness,Dark Bronze Anodized,Description,Disclaimer,Door Finish,Door Opening,Door Panel Height,Door Panel Thickness,Door Panel Width,Door Thickness,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,Durability Rating,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Minimum_Clear_Width,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Features,Finish,Fire Designation,Fire Rating,Frame Depth,Frame Head Depth,Frame Material,Frame Thickness,FrameDepth,FrameWidth,Gap,Glass,Glass Thickness,Glass Type,Grade,Has 14 x 14 Window,Has 14 x 24 Window,Has Backup Casings,Has Power Operator,Has Wall Guide,Head Height,Heat Transfer Coefficient (U),Height,Horizontal Sash,Host Partition Thickness,Hydraulic Encloser,IfcGUID,Inset,InstallationDate,Ironmongery Set,Keynote,Leaf Bottom Profile Height,Leaf Height,Leaf Width,Level,Main Panel Width,Manufacturer,Mark,Material,Mid Leaf Position,Mid Leaf Position If Opened,Model,NBSDescription,NBSNote,NBSReference,NBSTypeID,NominalHeight,NominalLength,NominalWidth,O/A Frame Width,OmniClass Number,OmniClass Title,Opened,Opening Distance,Operation,Panel Glazing Material,Panel Height,Panel Width,Phase Created,Phase Demolished,Product data url,ProductionYear,Rail Bottom,Rail Head,ReplacementCost,Required Effective Clear Width,RevisedByType_ARUtils,RevisedType_ARUtils,Right Hinge,Rough Height,Rough Width,Rubber,Secondary Panel Width,ServiceLifeDuration,Shape,Sill Height,Size,Solar Heat Gain Coefficient,Spec Ref,Specification Reference,Stainless Steel Polished Finish,Stainless Steel Satin Finish,Stile Left,Stile Right,TagNumber,Thermal Resistance (R),Thickness,Thickness_2,Top Profile Height,Transom Height,Type,Type Comments,Type Mark,URL,Vision Panel,Visual Light Transmittance,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,Width,Mapped Ironmongery Set,Mapped AbUniqueID,Mapped Access Control,Mapped Access Control.1,Mapped Acoustic Rating,Mapped Comments,Mapped Door Frame Colour,Mapped Door Leaf/Transom/Overpanel Colour,Mapped Door Power,Mapped Finger Protection,Mapped Fire Rating,Mapped Frame Finish,Mapped Gap,Mapped Gas Suppression Requirements,Mapped Height,Mapped Integral Blinds,Mapped Leaf Finish,Mapped Leaf Protection,Mapped Level,Mapped Location,Mapped Min Clear Width,Mapped Operation,Mapped Operation/Security,Mapped Radiation Protection,Mapped SpecRef,Mapped Type,Mapped Type Description,Mapped Vision Panel,Mapped Wall Thickness (mm),Mapped Width,Mapped AccessControl,Mapped Direction,Mapped DoorType,Mapped FingerProtection,Mapped Fire,Mapped KickPlate,Mapped Leaf,Mapped Lock,Mapped Mid-rail,Mapped Mid‐rail,Mapped PowerCloserDelay,Mapped PullOrLever,Mapped Set ref,Mapped SetDetails,Mapped SlaveLeafBolted,Mapped Swing,Mapped TypicalUses,Mapped Xray
30,ADM2009.D1,nan,nan,30dB,nan,nan,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,Part of Glazed Screen ADM2009.S1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,,,nan,nan,nan,nan,,nan,nan,nan,3,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,25te3jlEfAZAeuE1Zpe8dW,nan,,G04,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2009.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,nan,271,nan,nan,nan,,,,,,1060.,0,ADM2009.D1,0,0,0,Part of Glazed Screen ADM2009.S1,0,0,0,0,0,0,0,0,0,0,0,0,Level 2,0,0,0,0,0,L11/579,0,0,0,0,0,,,,,,,,,,,,,,,,,,
31,ADM2007.D1,nan,nan,30dB,nan,nan,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,Part of Glazed Screen ADM2007.S1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,,,nan,nan,nan,nan,,nan,nan,nan,3,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,25te3jlEfAZAeuE1Zpe8dQ,nan,,G04,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2007.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,nan,271,nan,nan,nan,,,,,,1060.,0,ADM2007.D1,0,0,0,Part of Glazed Screen ADM2007.S1,0,0,0,0,0,0,0,0,0,0,0,0,Level 2,0,0,0,0,0,L11/579,0,0,0,0,0,,,,,,,,,,,,,,,,,,
32,ADM2004.D1,nan,nan,30dB,nan,nan,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,Part of Glazed Screen ADM2004.S1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,,,nan,nan,nan,nan,,nan,nan,nan,3,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,25te3jlEfAZAeuE1Zpe8Oo,nan,,G04,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2004.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,nan,271,nan,nan,nan,,,,,,1060.,0,ADM2004.D1,0,0,0,Part of Glazed Screen ADM2004.S1,0,0,0,0,0,0,0,0,0,0,0,0,Level 2,0,0,0,0,0,L11/579,0,0,0,0,0,,,,,,,,,,,,,,,,,,
33,ADM2005.D1,nan,nan,30dB,nan,nan,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,Part of Glazed Screen ADM2005.S1,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,,,nan,nan,nan,nan,,nan,nan,nan,3,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,25te3jlEfAZAeuE1Zpe8Oa,nan,,G02,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2005.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O,nan,271,nan,nan,nan,,,,,,1060.,0,ADM2005.D1,0,0,0,Part of Glazed Screen ADM2005.S1,0,0,0,0,0,0,0,0,0,0,0,0,Level 2,0,0,0,0,0,L11/579,0,0,0,0,0,,,,,,,,,,,,,,,,,,
34,ADM2012.D1,-,nan,,nan,nan,,,nan,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Part of Glazed Screen ADM2012.S1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.T.,Kick,,nan,nan,Yes,IDT 1e*,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2052.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate,IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,0.,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,149.999999999992,nan,18q3DnfUf54OycVnGXBcRb,nan,nan,nan,L11/579A,nan,nan,nan,Level: Level 2,nan,Revit,ADM2012.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2060.,976.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,122.,nan,nan,IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate,SD/SS,285,nan,nan,nan,nan,nan,nan,nan,nan,976.,0,ADM2012.D1,0,0,0,Part of Glazed Screen ADM2012.S1,0,0,0,0,0,0,0,0,0,0,0,0,Level 2,0,0,0,0,0,L11/579A,0,0,0,0,0,,,,,,,,,,,,,,,,,,
35,ADM2022.D1,TBC,nan,30dB,nan,nan,,,nan,IBT 07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.T.,Kick,,nan,nan,Yes,IDT 1e,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS (GL),nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate,IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,18q3DnfUf54OycVnGXBcQ$,nan,nan,16,L20/431,nan,nan,nan,Level: Level 2,nan,Revit,ADM2022.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,122.000000000969,nan,nan,IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate,SD/SS (GL),287,nan,nan,nan,nan,nan,nan,nan,nan,1060.,16,ADM2022.D1,0,0,30dB,0,0,0,0,No,0,Painted Finish,3,0,2110,IBT 07,Laminate,Kick,Level 2,0,0,Single Door Single Swing,0,0,L20/431,IDT 1e,0,Yes,122,1060,0,0,0,0,0,1 side,1,0,0,0,0,Lever,16,As LSL,0,Single,Quiet,0
36,ADM2023.D1,TBC,nan,30dB,nan,nan,,,nan,IBT 07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.T.,Kick,,nan,nan,Yes,IDT 1e,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS (GL),nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate,IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,18q3DnfUf54OycVnGXBcP5,nan,nan,nan,L20/431,nan,nan,nan,Level: Level 2,nan,Revit,ADM2023.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,122.000000000969,nan,nan,IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate,SD/SS (GL),287,nan,nan,nan,nan,nan,nan,nan,nan,1060.,16,ADM2023.D1,0,0,30dB,0,0,0,0,No,0,Painted Finish,3,0,2110,IBT 07,Laminate,Kick,Level 2,0,0,Single Door Single Swing,0,0,L20/431,IDT 1e,0,Yes,122,1060,0,0,0,0,0,1 side,1,0,0,0,0,Lever,16,As LSL,0,Single,Quiet,0
37,ADM2024.D1,-,nan,nan,nan,nan,,,nan,Yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Part of Glazed Screen ADM2024.S1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.T.,Kick,,nan,nan,Yes,IDT 1e*,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2052.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate,IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,0.,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,149.999999999992,nan,18q3DnfUf54OycVnGXBcOR,nan,nan,nan,L11/579A,nan,nan,nan,Level: Level 2,nan,Revit,ADM2024.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2060.,976.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,122.,nan,nan,IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate,SD/SS,285,nan,nan,nan,nan,nan,nan,nan,nan,976.,0,ADM2024.D1,0,0,0,Part of Glazed Screen ADM2024.S1,0,0,0,0,0,0,0,0,0,0,0,0,Level 2,0,0,0,0,0,L11/579A,0,0,0,0,0,,,,,,,,,,,,,,,,,,
38,ADM2C01.D1,TBC,nan,nan,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hold Open,.F.,Kick,,nan,nan,,IDT 3b,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,DD/SS (GL),nan,nan,nan,2060.,32.,910.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate,IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate,nan,Laminate,FD30S,nan,nan,nan,Painted Finish,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,139.999999999968,nan,2_YIfZpu939QgE7KxQLFN8,nan,nan,nan,L20/431,nan,nan,nan,Level: Level 2,nan,nan,ADM2C01.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Double Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,1740.,nan,nan,nan,2110.,1910.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.,97.,nan,nan,IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate,DD/SS (GL),278,nan,nan,nan,nan,nan,nan,nan,nan,1910.,12,ADM2C01.D1,0,0,0,0,0,0,Hold Open,No,FD30S,Painted Finish,3,0,2110,0,Laminate,Kick,Level 2,0,0,Double Door Single Swing,0,0,L20/431,IDT 3b,0,Yes,97,1910,0,0,0,0,Fire,1 side,2,0,0,0,HO closers,2 Pulls,12,As LSL,0,Single,Cross corridor,0
39,ADM2040.D1,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,,,nan,nan,nan,nan,Aluminum,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,0UUD3JkzH348HiB5LzQN7p,nan,,nan,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2040.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,nan,289,nan,nan,nan,,,,,,870.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ADM2C02.D2,TBC,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 1d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,nan,nan,nan,nan,nan,nan,nan,32.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,0UUD3JkzH348HiB5LzQNTB,nan,nan,03,L20/431,nan,nan,nan,Level: Level 2,nan,Revit,ADM2C02.D2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,102.,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,SD/SS,154,nan,nan,nan,nan,nan,nan,nan,nan,1060.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ADM2041.D1,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,,,nan,nan,nan,nan,Aluminum,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,0eKMROTUP57PgYYbDuMQO5,nan,,G04,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2041.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,nan,289,nan,nan,nan,,,,,,870.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ADM2047.D1,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,,,nan,nan,nan,nan,Aluminum,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,0eKMROTUP57PgYYbDuMQ4w,nan,,G04,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2047.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,nan,289,nan,nan,nan,,,,,,870.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ADM2046.D1,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,,,nan,nan,nan,nan,Aluminum,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,2060.,nan,2060.,nan,nan,nan,0eKMROTUP57PgYYbDuMQ4o,nan,,G04,L11/579,nan,nan,nan,Level: Level 2,nan,nan,ADM2046.D1,,nan,nan,nan,,,,,1004.,0.,0.,nan,23.30.10.00,Doors,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,0.,,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O,nan,289,nan,nan,nan,,,,,,870.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
