,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
67173,67173,IfcDoor,1saDB3OhLDvQmvKCANrxnw,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O 180degree Laminate:851338,,1910mm - 2110mm S/O 180degree Laminate,"#4874655=IfcLocalPlacement(#4874632,#4874654)","#67167=IfcProductDefinitionShape($,$,(#67160,#67165))",851338,2110.0,1909.99999999998,FD60S,CIR0103.D1
122736,122736,IfcDoor,1saDB3OhLDvQmvKCANrxny,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O 180degree Laminate:851340,,1910mm - 2110mm S/O 180degree Laminate,"#4874692=IfcLocalPlacement(#4874671,#4874691)","#122730=IfcProductDefinitionShape($,$,(#122723,#122728))",851340,2110.0,1909.99999999998,FD60S,CIR0115.D1
188242,188242,IfcDoor,1saDB3OhLDvQmvKCANrxnX,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS Laminate:851345,,1910mm - 2110mm S/O DS Laminate,"#4874731=IfcLocalPlacement(#4874708,#4874730)","#188236=IfcProductDefinitionShape($,$,(#188229,#188234))",851345,2110.0,1909.99999999998,FD30S,CIR0104.D1
201451,201451,IfcDoor,1saDB3OhLDvQmvKCANrxna,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 1d - Single Door:1010mm - 2110mm S/O Laminate:851348,,1010mm - 2110mm S/O Laminate,"#4874616=IfcLocalPlacement(#4874593,#4874615)","#201445=IfcProductDefinitionShape($,$,(#201438,#201443))",851348,2109.99999999998,1010.00000000008,FD30S,MOR0C02.D2
241570,241570,IfcDoor,1saDB3OhLDvQmvKCANrxnf,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 5a - Hospital Street Doors (FOH) Frameless:1824mm - 2360mm S/O Double Swing Laminate:851353,,1824mm - 2360mm S/O Double Swing Laminate,"#4874768=IfcLocalPlacement(#4874747,#4874767)","#241564=IfcProductDefinitionShape($,$,(#241557,#241562))",851353,2360.0,1824.0,FD30S,CIR0108.D1
289622,289622,IfcDoor,1saDB3OhLDvQmvKCANrxnP,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3c - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:851369,,1910mm - 2110mm S/O Laminate,"#4874805=IfcLocalPlacement(#4874784,#4874804)","#289616=IfcProductDefinitionShape($,$,(#289609,#289614))",851369,2110.0,1909.99999999995,FD30S,SFM0005.D1
303600,303600,IfcDoor,1saDB3OhLDvQmvKCANrxnV,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:851375,,1510mm - 2110mm S/O Laminate,"#4874953=IfcLocalPlacement(#4874934,#4874952)","#303594=IfcProductDefinitionShape($,$,(#303587,#303592))",851375,2110.00000000001,1510.0,,SFM0008.D1
303742,303742,IfcDoor,1saDB3OhLDvQmvKCANrxn0,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:851376,,1510mm - 2110mm S/O Laminate,"#4874994=IfcLocalPlacement(#4874971,#4874993)","#303734=IfcProductDefinitionShape($,$,(#303727,#303732))",851376,2110.00000000001,1510.00000000001,FD30S,SFM0007.D1
317152,317152,IfcDoor,1saDB3OhLDvQmvKCANrxn1,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:851377,,1510mm - 2110mm S/O Laminate,"#4875033=IfcLocalPlacement(#4875012,#4875032)","#317144=IfcProductDefinitionShape($,$,(#317137,#317142))",851377,2110.00000000001,1510.00000000001,FD30S,CAT0020.D1
330955,330955,IfcDoor,1saDB3OhLDvQmvKCANrxn2,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:851378,,1510mm - 2110mm S/O Laminate,"#4875072=IfcLocalPlacement(#4875051,#4875071)","#330947=IfcProductDefinitionShape($,$,(#330940,#330945))",851378,2110.0,1510.00000000001,FD30S,CAT0C03.D2
386246,386246,IfcDoor,1saDB3OhLDvQmvKCANrxn4,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:851380,,1910mm - 2110mm S/O Laminate,"#4875111=IfcLocalPlacement(#4875088,#4875110)","#386240=IfcProductDefinitionShape($,$,(#386233,#386238))",851380,2110.0,1909.99999999995,FD30S,PTH0C03.D2
441447,441447,IfcDoor,1saDB3OhLDvQmvKCANrxn5,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:851381,,1910mm - 2110mm S/O Laminate,"#4875150=IfcLocalPlacement(#4875127,#4875149)","#441441=IfcProductDefinitionShape($,$,(#441434,#441439))",851381,2110.0,1909.99999999995,FD60S,PTH0C02.D1
460044,460044,IfcDoor,1saDB3OhLDvQmvKCANrxmo,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1810mm - 2110mm S/O Painted:851394,,1810mm - 2110mm S/O Painted,"#4875189=IfcLocalPlacement(#4875166,#4875188)","#460038=IfcProductDefinitionShape($,$,(#460031,#460036))",851394,2110.0,1810.0,FD60S,ICT0006.D1
477132,477132,IfcDoor,1saDB3OhLDvQmvKCANrxmz,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1210mm - 2110mm S/O Painted:851405,,1210mm - 2110mm S/O Painted,"#4875678=IfcLocalPlacement(#4875659,#4875677)","#477126=IfcProductDefinitionShape($,$,(#477119,#477124))",851405,2110.0,1210.0,FD60S,PLA0113.D3
492918,492918,IfcDoor,1saDB3OhLDvQmvKCANrxm_,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1210mm - 2110mm S/O Painted:851406,,1210mm - 2110mm S/O Painted,"#4875643=IfcLocalPlacement(#4875622,#4875642)","#492912=IfcProductDefinitionShape($,$,(#492905,#492910))",851406,2110.0,1210.0,FD60S,PLA0113.D2
493042,493042,IfcDoor,1saDB3OhLDvQmvKCANrxm$,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1210mm - 2110mm S/O Painted:851407,,1210mm - 2110mm S/O Painted,"#4875606=IfcLocalPlacement(#4875583,#4875605)","#493036=IfcProductDefinitionShape($,$,(#493029,#493034))",851407,2110.0,1210.0,FD60S,PLA0113.D1
507651,507651,IfcDoor,1saDB3OhLDvQmvKCANrxmW,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 2c - Double Unequal Door (Glazed):1710mm - 2110mm S/O Laminate:851408,,1710mm - 2110mm S/O Laminate,"#4875415=IfcLocalPlacement(#4875392,#4875414)","#507645=IfcProductDefinitionShape($,$,(#507638,#507643))",851408,2110.0,1709.99999999999,FD30S,IP30100.D1
520611,520611,IfcDoor,1saDB3OhLDvQmvKCANrxmZ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 1d - Single Door:1010mm - 2110mm S/O Laminate Enhanced Security:851411,,1010mm - 2110mm S/O Laminate Enhanced Security,"#4875717=IfcLocalPlacement(#4875694,#4875716)","#520605=IfcProductDefinitionShape($,$,(#520598,#520603))",851411,2109.99999999998,1010.00000000008,FD30S,PHA0C01.D2
538849,538849,IfcDoor,1saDB3OhLDvQmvKCANrxmf,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:2318mm - 2110mm S/O Painted:851417,,2318mm - 2110mm S/O Painted,"#4875756=IfcLocalPlacement(#4875733,#4875755)","#538843=IfcProductDefinitionShape($,$,(#538836,#538841))",851417,2110.0,2317.99999999999,FD60S,PLA0110.D1
538984,538984,IfcDoor,1saDB3OhLDvQmvKCANrxmg,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:2318mm - 2110mm S/O Painted:851418,,2318mm - 2110mm S/O Painted,"#4874881=IfcLocalPlacement(#4874858,#4874880)","#538978=IfcProductDefinitionShape($,$,(#538971,#538976))",851418,2110.0,2317.99999999999,FD60S,PLA0107.D1
555608,555608,IfcDoor,1saDB3OhLDvQmvKCANrxmi,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1610mm - 2110mm S/O Painted:851420,,1610mm - 2110mm S/O Painted,"#4874918=IfcLocalPlacement(#4874897,#4874917)","#555602=IfcProductDefinitionShape($,$,(#555595,#555600))",851420,2110.0,1609.99999999998,FD60S,PLA0109.D1
555787,555787,IfcDoor,33QBd9h3P5tAUzasspidra,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:2318mm - 2110mm S/O Painted:851421,,2318mm - 2110mm S/O Painted,"#4874842=IfcLocalPlacement(#4874821,#4874841)","#555781=IfcProductDefinitionShape($,$,(#555774,#555779))",851421,2110.0,2317.99999999999,FD60S,PLA0114.D1
555908,555908,IfcDoor,1saDB3OhLDvQmvKCANrxml,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:2318mm - 2110mm S/O Painted:851423,,2318mm - 2110mm S/O Painted,"#4875830=IfcLocalPlacement(#4875807,#4875829)","#555902=IfcProductDefinitionShape($,$,(#555895,#555900))",851423,2110.0,2317.99999999999,FD60S,PLA0121.D1
611466,611466,IfcDoor,1saDB3OhLDvQmvKCANrxmJ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:851427,,1910mm - 2110mm S/O Laminate,"#4875869=IfcLocalPlacement(#4875846,#4875868)","#611460=IfcProductDefinitionShape($,$,(#611453,#611458))",851427,2110.0,1909.99999999998,FD30S,MOR0C01.D1
625560,625560,IfcDoor,1saDB3OhLDvQmvKCANrxmO,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:851432,,1510mm - 2110mm S/O Laminate,"#4875908=IfcLocalPlacement(#4875885,#4875907)","#625554=IfcProductDefinitionShape($,$,(#625547,#625552))",851432,2110.0,1510.00000000004,FD30S,CIR0109.D2
637743,637743,IfcDoor,1saDB3OhLDvQmvKCANrxmS,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 3d - Equal Double Door:1910mm - 2110mm S/O Laminate Enhanced Security:851436,,1910mm - 2110mm S/O Laminate Enhanced Security,"#4875947=IfcLocalPlacement(#4875924,#4875946)","#637737=IfcProductDefinitionShape($,$,(#637730,#637735))",851436,2110.0,1909.99999999995,FD30S,PHA0C02.D1
654993,654993,IfcDoor,1saDB3OhLDvQmvKCANrxmT,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1810mm - 2110mm S/O Painted:851437,,1810mm - 2110mm S/O Painted,"#4875263=IfcLocalPlacement(#4875242,#4875262)","#654987=IfcProductDefinitionShape($,$,(#654980,#654985))",851437,2110.0,1810.0,FD60S,PLA0106.D1
672166,672166,IfcDoor,1saDB3OhLDvQmvKCANrxmU,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1810mm - 2110mm S/O Painted:851438,,1810mm - 2110mm S/O Painted,"#4875300=IfcLocalPlacement(#4875279,#4875299)","#672160=IfcProductDefinitionShape($,$,(#672153,#672158))",851438,2110.0,1810.0,FD60S,PLA0106.D2
689341,689341,IfcDoor,1saDB3OhLDvQmvKCANrxmV,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1810mm - 2110mm S/O Painted:851439,,1810mm - 2110mm S/O Painted,"#4875339=IfcLocalPlacement(#4875316,#4875338)","#689335=IfcProductDefinitionShape($,$,(#689328,#689333))",851439,2110.0,1810.0,FD60S,PLA0111.D1
689462,689462,IfcDoor,1saDB3OhLDvQmvKCANrxm0,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1810mm - 2110mm S/O Painted:851440,,1810mm - 2110mm S/O Painted,"#4875376=IfcLocalPlacement(#4875355,#4875375)","#689456=IfcProductDefinitionShape($,$,(#689449,#689454))",851440,2110.0,1810.0,FD60S,PLA0111.D2
706084,706084,IfcDoor,1saDB3OhLDvQmvKCANrxm1,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1610mm - 2110mm S/O Painted:851441,,1610mm - 2110mm S/O Painted,"#4875454=IfcLocalPlacement(#4875431,#4875453)","#706078=IfcProductDefinitionShape($,$,(#706071,#706076))",851441,2110.0,1610.00000000002,FD60S,PLA0117.D1
723633,723633,IfcDoor,1saDB3OhLDvQmvKCANrxm6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624702692)",IDT 4a - Riser Double Door:1810mm - 2110mm S/O Painted:851446,,1810mm - 2110mm S/O Painted,"#4876023=IfcLocalPlacement(#4876002,#4876022)","#723627=IfcProductDefinitionShape($,$,(#723620,#723625))",851446,2110.0,1810.0,FD60S,PLA0125.D1
