,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
18495,18495,IfcDoor,3finc1s1H0LOdVBIDunU5B,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:993879,,1060mm - 2110mm S/O Laminate,"#670942=IfcLocalPlacement(#670923,#670941)","#18489=IfcProductDefinitionShape($,$,(#18482,#18487))",993879,2109.99999999998,1060.00000000011,FD60S,RAD1038.D1
31297,31297,IfcDoor,3RpCcyWfr5QPLfUUjJjddV,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined:993953,,1060mm - 2110mm S/O Lead Lined,"#670693=IfcLocalPlacement(#670674,#670692)","#31291=IfcProductDefinitionShape($,$,(#31284,#31289))",993953,2109.99999999998,1060.0,,RAD1041.D2
44160,44160,IfcDoor,3RpCcyWfr5QPLfUUjJjdcR,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined:994021,,1060mm - 2110mm S/O Lead Lined,"#670623=IfcLocalPlacement(#670600,#670622)","#44154=IfcProductDefinitionShape($,$,(#44147,#44152))",994021,2109.99999999998,1060.0,,RAD1039.D1
56233,56233,IfcDoor,3RpCcyWfr5QPLfUUjJjdWt,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 3d - Equal Double Door:1810mm - 2110mm S/O Lead Lined Laminate:994121,,1810mm - 2110mm S/O Lead Lined Laminate,"#670977=IfcLocalPlacement(#670958,#670976)","#56227=IfcProductDefinitionShape($,$,(#56220,#56225))",994121,2110.0,1810.00000000004,FD60S,RAD1039.D2
56452,56452,IfcDoor,3RpCcyWfr5QPLfUUjJjdWR,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 3d - Equal Double Door:1810mm - 2110mm S/O Lead Lined Laminate:994149,,1810mm - 2110mm S/O Lead Lined Laminate,"#671012=IfcLocalPlacement(#670993,#671011)","#56446=IfcProductDefinitionShape($,$,(#56439,#56444))",994149,2110.0,1810.00000000004,FD60S,RAD1041.D1
70841,70841,IfcDoor,3koqKrvUTFiheugOc6vduE,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 12 - Bi-Fold Door:1060mm - 2110mm S/O Laminate:1014002,,1060mm - 2110mm S/O Laminate,"#671049=IfcLocalPlacement(#671028,#671048)","#70835=IfcProductDefinitionShape($,$,(#70828,#70833))",1014002,2109.99999999998,1060.00000000011,,RAD1021.D2
84334,84334,IfcDoor,3koqKrvUTFiheugOc6vd_e,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Lead Lined Laminate:1014100,,1510mm - 2110mm S/O Lead Lined Laminate,"#671084=IfcLocalPlacement(#671065,#671083)","#84328=IfcProductDefinitionShape($,$,(#84321,#84326))",1014100,2110.00000000001,1510.00000000004,,RAD1019.D2
97193,97193,IfcDoor,3koqKrvUTFiheugOc6vd_8,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1014132,,1060mm - 2110mm S/O Laminate,"#671234=IfcLocalPlacement(#671211,#671233)","#97187=IfcProductDefinitionShape($,$,(#97180,#97185))",1014132,2109.99999999998,1060.00000000011,,RAD1018.D1
109988,109988,IfcDoor,3koqKrvUTFiheugOc6vdyS,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1014240,,1060mm - 2110mm S/O Laminate,"#671271=IfcLocalPlacement(#671250,#671270)","#109982=IfcProductDefinitionShape($,$,(#109975,#109980))",1014240,2109.99999999998,1060.00000000011,,RAD1017.D1
123412,123412,IfcDoor,3koqKrvUTFiheugOc6vdpY,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462650)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Lead Lined Laminate:1014302,,1510mm - 2110mm S/O Lead Lined Laminate,"#671306=IfcLocalPlacement(#671287,#671305)","#123406=IfcProductDefinitionShape($,$,(#123399,#123404))",1014302,2110.00000000001,1510.00000000004,,RAD1020.D1
