,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
14586,14586,IfcDoor,1as4tWxB5Fou$IsTcHGD3l,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:966300,,1060mm - 2110mm S/O Laminate,"#576148=IfcLocalPlacement(#576127,#576147)","#14580=IfcProductDefinitionShape($,$,(#14573,#14578))",966300,2109.99999999998,1060.0,FD60S,ENT0021.D1
41015,41015,IfcDoor,1as4tWxB5Fou$IsTcHGD3I,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:966305,,1060mm - 2110mm S/O Laminate,"#576187=IfcLocalPlacement(#576164,#576186)","#41009=IfcProductDefinitionShape($,$,(#41002,#41007))",966305,2109.99999999998,1060.0,,ENT0004.D1
55739,55739,IfcDoor,3j412kyW59_PWeJjndYXYn,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:981592,,1060mm - 2110mm S/O Laminate,"#576224=IfcLocalPlacement(#576203,#576223)","#55733=IfcProductDefinitionShape($,$,(#55726,#55731))",981592,2109.99999999998,1060.00000000011,,ENT1006.D1
68887,68887,IfcDoor,1BeQUskFr58fYZgf5TrRYr,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:986018,,1060mm - 2110mm S/O Laminate,"#576261=IfcLocalPlacement(#576240,#576260)","#68881=IfcProductDefinitionShape($,$,(#68874,#68879))",986018,2109.99999999998,1060.0,,ENT0017.D1
81667,81667,IfcDoor,1BeQUskFr58fYZgf5TrRZo,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:986085,,1060mm - 2110mm S/O Laminate,"#576300=IfcLocalPlacement(#576277,#576299)","#81661=IfcProductDefinitionShape($,$,(#81654,#81659))",986085,2109.99999999998,1060.0,,ENT0016.D1
96497,96497,IfcDoor,3UWzNlRN95VeIWu1bMgW1V,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1d - Single Door:1060mm - 2110mm S/O Security Door:1114138,,1060mm - 2110mm S/O Security Door,"#576376=IfcLocalPlacement(#576353,#576375)","#96491=IfcProductDefinitionShape($,$,(#96484,#96489))",1114138,2109.99999999998,1060.00000000011,,ENT0013.D1
136172,136172,IfcDoor,0BWRuTYEnF1AZkY1gcZkpl,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1a - Single Door (Glazed - Observation):1060mm - 2110mm S/O Laminate:1116286,,1060mm - 2110mm S/O Laminate,"#576487=IfcLocalPlacement(#576466,#576486)","#136166=IfcProductDefinitionShape($,$,(#136159,#136164))",1116286,2109.99999999998,1060.0,,ENT1004.D1
136322,136322,IfcDoor,1QDFa_9B9CKRkhrYtudu3K,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1116287,,1060mm - 2110mm S/O Laminate,"#576411=IfcLocalPlacement(#576392,#576410)","#136316=IfcProductDefinitionShape($,$,(#136309,#136314))",1116287,2109.99999999998,1060.00000000011,,ENT1002.D1
162658,162658,IfcDoor,1QDFa_9B9CKRkhrYtudu0g,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1116289,,1060mm - 2110mm S/O Laminate,"#576450=IfcLocalPlacement(#576427,#576449)","#162652=IfcProductDefinitionShape($,$,(#162645,#162650))",1116289,2109.99999999998,1060.00000000011,,ENT1001.D1
179915,179915,IfcDoor,395V6KUXP5ZAD_yjT0uHqE,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624706016)",IDT 4a - Riser Double Door:1610mm - 2110mm S/O Laminate:1116539,,1610mm - 2110mm S/O Laminate,"#576526=IfcLocalPlacement(#576503,#576525)","#179909=IfcProductDefinitionShape($,$,(#179902,#179907))",1116539,2110.0,1609.99999999998,,ENT1003.D1
