,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
21803,21803,IfcDoor,0l6f1AsAP0dRhYKb$oMb5A,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O PVC:889902,,1060mm - 2110mm S/O PVC,"#1397593=IfcLocalPlacement(#1397572,#1397592)","#21797=IfcProductDefinitionShape($,$,(#21790,#21795))",889902,2109.99999999999,1060.0,,ACC2C05.D2
35783,35783,IfcDoor,2TOiMCY0H38eXUmvYsC8bS,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:889907,,1510mm - 2110mm S/O Laminate,"#1397712=IfcLocalPlacement(#1397691,#1397711)","#35777=IfcProductDefinitionShape($,$,(#35770,#35775))",889907,2110.00000000001,1510.00000000004,,ACC2029.D1
48015,48015,IfcDoor,0l6f1AsAP0dRhYKb$oMb5Q,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 3d - Equal Double Door:1910mm - 2110mm S/O Lead Lined PVC:889918,,1910mm - 2110mm S/O Lead Lined PVC,"#1397749=IfcLocalPlacement(#1397728,#1397748)","#48009=IfcProductDefinitionShape($,$,(#48002,#48007))",889918,2110.0,1909.99999999998,,ACC2025.D2
104994,104994,IfcDoor,1oLvUkC1vDxhRtkl25w9t2,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:889973,,1910mm - 2110mm S/O PVC,"#1397862=IfcLocalPlacement(#1397839,#1397861)","#104988=IfcProductDefinitionShape($,$,(#104981,#104986))",889973,2110.0,1909.99999999998,FD30S,ACC2C06.D1
160319,160319,IfcDoor,0l6f1AsAP0dRhYKb$oMb7Y,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:889990,,1910mm - 2110mm S/O PVC,"#1397901=IfcLocalPlacement(#1397878,#1397900)","#160313=IfcProductDefinitionShape($,$,(#160306,#160311))",889990,2110.0,1909.99999999995,FD30S,ACC2C04.D1
185267,185267,IfcDoor,0l6f1AsAP0dRhYKb$oMb7$,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1f - Single Door (Glazed):1060mm - 2110mm S/O Laminate:890011,,1060mm - 2110mm S/O Laminate,"#1397936=IfcLocalPlacement(#1397917,#1397935)","#185261=IfcProductDefinitionShape($,$,(#185254,#185259))",890011,2109.99999999999,1060.0,,ACC2009.D1
199861,199861,IfcDoor,1jZDEdpEH0UA7$fOMqvE9X,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O PVC:895911,,1060mm - 2110mm S/O PVC,"#1398222=IfcLocalPlacement(#1398203,#1398221)","#199855=IfcProductDefinitionShape($,$,(#199848,#199853))",895911,2109.99999999999,1060.0,,ACC2020.D1
226324,226324,IfcDoor,1jZDEdpEH0UA7$fOMqvE9l,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Lead Lined PVC:895913,,1060mm - 2110mm S/O Lead Lined PVC,"#1398187=IfcLocalPlacement(#1398166,#1398186)","#226318=IfcProductDefinitionShape($,$,(#226311,#226316))",895913,2109.99999999999,1060.0,,ACC2020.D2
253238,253238,IfcDoor,1jZDEdpEH0UA7$fOMqvEJF,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O Lead Lined PVC:896265,,1210mm - 2110mm S/O Lead Lined PVC,"#1398043=IfcLocalPlacement(#1398022,#1398042)","#253232=IfcProductDefinitionShape($,$,(#253225,#253230))",896265,2109.99999999999,1210.00000000004,,ACC2019.D1
266098,266098,IfcDoor,1jZDEdpEH0UA7$fOMqvEI6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined PVC:896320,,1060mm - 2110mm S/O Lead Lined PVC,"#1398259=IfcLocalPlacement(#1398238,#1398258)","#266092=IfcProductDefinitionShape($,$,(#266085,#266090))",896320,2109.99999999999,1060.00000000011,,ACC2024.D2
278953,278953,IfcDoor,1jZDEdpEH0UA7$fOMqvEIL,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined PVC:896339,,1060mm - 2110mm S/O Lead Lined PVC,"#1398296=IfcLocalPlacement(#1398275,#1398295)","#278947=IfcProductDefinitionShape($,$,(#278940,#278945))",896339,2109.99999999999,1060.00000000011,,ACC2024.D1
291998,291998,IfcDoor,1jZDEdpEH0UA7$fOMqvERB,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O PVC:896781,,1060mm - 2110mm S/O PVC,"#1398150=IfcLocalPlacement(#1398131,#1398149)","#291992=IfcProductDefinitionShape($,$,(#291985,#291990))",896781,2109.99999999999,1060.0,,ACC2026.D1
318460,318460,IfcDoor,1jZDEdpEH0UA7$fOMqvER9,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Lead Lined PVC:896783,,1060mm - 2110mm S/O Lead Lined PVC,"#1398335=IfcLocalPlacement(#1398312,#1398334)","#318454=IfcProductDefinitionShape($,$,(#318447,#318452))",896783,2109.99999999999,1060.0,,ACC2026.D2
345119,345119,IfcDoor,1jZDEdpEH0UA7$fOMqvERM,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O Lead Lined PVC:896784,,1210mm - 2110mm S/O Lead Lined PVC,"#1398078=IfcLocalPlacement(#1398059,#1398077)","#345113=IfcProductDefinitionShape($,$,(#345106,#345111))",896784,2109.99999999999,1210.00000000004,,ACC2025.D1
358414,358414,IfcDoor,0l5IODu$fFeuMGp7xgD1VB,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:902064,,1060mm - 2110mm S/O Laminate,"#1397971=IfcLocalPlacement(#1397952,#1397970)","#358408=IfcProductDefinitionShape($,$,(#358401,#358406))",902064,2109.99999999999,1060.0,,ACC2010.D1
358620,358620,IfcDoor,1jA4HXxdj01wnxjqbvMhkh,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O PVC:904477,,1060mm - 2110mm S/O PVC,"#1397784=IfcLocalPlacement(#1397765,#1397783)","#358614=IfcProductDefinitionShape($,$,(#358607,#358612))",904477,2109.99999999999,1060.0,,ACC2C05.D1
413817,413817,IfcDoor,3PalrBTnnC79S8R9ovwtKz,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:904857,,1910mm - 2110mm S/O Laminate,"#1398374=IfcLocalPlacement(#1398351,#1398373)","#413811=IfcProductDefinitionShape($,$,(#413804,#413809))",904857,2110.0,1909.99999999995,FD30S,ACC2C01.D1
427236,427236,IfcDoor,0rjgSoT5b8UvuXvZ1eg6BF,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:908387,,1060mm - 2110mm S/O Laminate,"#1398006=IfcLocalPlacement(#1397987,#1398005)","#427230=IfcProductDefinitionShape($,$,(#427223,#427228))",908387,2109.99999999999,1060.0,,ACC2013.D1
441525,441525,IfcDoor,3wHjWDBdP8TO5_9NkM4gpo,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:911937,,1510mm - 2110mm S/O Laminate,"#1398524=IfcLocalPlacement(#1398503,#1398523)","#441519=IfcProductDefinitionShape($,$,(#441512,#441517))",911937,2110.00000000001,1510.00000000004,,ACC2005.D1
454939,454939,IfcDoor,3wHjWDBdP8TO5_9NkM4gpn,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:911938,,1510mm - 2110mm S/O Laminate,"#1398487=IfcLocalPlacement(#1398466,#1398486)","#454933=IfcProductDefinitionShape($,$,(#454926,#454931))",911938,2110.00000000001,1510.00000000004,,ACC2006.D1
455450,455450,IfcDoor,3wHjWDBdP8TO5_9NkM4gpr,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:911942,,1510mm - 2110mm S/O Laminate,"#1398561=IfcLocalPlacement(#1398540,#1398560)","#455444=IfcProductDefinitionShape($,$,(#455437,#455442))",911942,2110.00000000001,1510.00000000004,,ACC2003.D1
520767,520767,IfcDoor,3xDgKGRjf4rhBc9kY2JuFf,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS PVC:913539,,1910mm - 2110mm S/O DS PVC,"#1398598=IfcLocalPlacement(#1398577,#1398597)","#520761=IfcProductDefinitionShape($,$,(#520754,#520759))",913539,2110.0,1909.99999999998,FD30S,ACC2C03.D3
521215,521215,IfcDoor,3xDgKGRjf4rhBc9kY2Ju6U,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460784)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:914164,,1510mm - 2110mm S/O Laminate,"#1398672=IfcLocalPlacement(#1398651,#1398671)","#521209=IfcProductDefinitionShape($,$,(#521202,#521207))",914164,2110.00000000001,1510.00000000004,FD30S,ACC2052.D1
