,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
15536,15536,IfcDoor,3r6hjygGbDCfpjX_t7xMZr,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:492431,,1060mm - 2110mm S/O Laminate,"#726546=IfcLocalPlacement(#726523,#726545)","#15530=IfcProductDefinitionShape($,$,(#15523,#15528))",492431,2109.99999999998,1060.0,,MDE3025.D1
15763,15763,IfcDoor,3r6hjygGbDCfpjX_t7xMuK,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:492910,,1060mm - 2110mm S/O Laminate,"#726585=IfcLocalPlacement(#726562,#726584)","#15757=IfcProductDefinitionShape($,$,(#15750,#15755))",492910,2109.99999999998,1060.0,,MDE3001.D1
28546,28546,IfcDoor,14yp3_Ear8BBtXhFXX_U$4,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:520465,,1060mm - 2110mm S/O Laminate,"#726622=IfcLocalPlacement(#726601,#726621)","#28540=IfcProductDefinitionShape($,$,(#28533,#28538))",520465,2109.99999999998,1060.0,,MDE3002.D1
42373,42373,IfcDoor,14yp3_Ear8BBtXhFXX_UXv,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:521900,,1510mm - 2110mm S/O Laminate,"#726659=IfcLocalPlacement(#726638,#726658)","#42367=IfcProductDefinitionShape($,$,(#42360,#42365))",521900,2110.00000000001,1510.00000000004,,MDE3016.D1
55865,55865,IfcDoor,14yp3_Ear8BBtXhFXX_UWY,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:521975,,1510mm - 2110mm S/O Laminate,"#726694=IfcLocalPlacement(#726675,#726693)","#55859=IfcProductDefinitionShape($,$,(#55852,#55857))",521975,2110.00000000001,1510.00000000004,,MDE3017.D1
68681,68681,IfcDoor,30Lww_w9T1eAZbdaxLORkX,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2e - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:524478,,1510mm - 2110mm S/O Laminate,"#726879=IfcLocalPlacement(#726858,#726878)","#68675=IfcProductDefinitionShape($,$,(#68668,#68673))",524478,2110.0,1510.00000000004,,MDE3008.D1
80002,80002,IfcDoor,30Lww_w9T1eAZbdaxLORlB,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2e - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:524500,,1510mm - 2110mm S/O Laminate,"#726951=IfcLocalPlacement(#726930,#726950)","#79996=IfcProductDefinitionShape($,$,(#79989,#79994))",524500,2110.0,1510.00000000004,,MDE3011.D1
92787,92787,IfcDoor,30Lww_w9T1eAZbdaxLORld,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:524536,,1060mm - 2110mm S/O Laminate,"#726805=IfcLocalPlacement(#726784,#726804)","#92781=IfcProductDefinitionShape($,$,(#92774,#92779))",524536,2109.99999999998,1060.0,,MDE3010.D1
104024,104024,IfcDoor,30Lww_w9T1eAZbdaxLORfo,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2e - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:524653,,1510mm - 2110mm S/O Laminate,"#726842=IfcLocalPlacement(#726821,#726841)","#104018=IfcProductDefinitionShape($,$,(#104011,#104016))",524653,2110.0,1510.00000000004,,MDE3009.D1
104160,104160,IfcDoor,30Lww_w9T1eAZbdaxLORfW,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:524671,,1510mm - 2110mm S/O Laminate,"#726768=IfcLocalPlacement(#726745,#726767)","#104154=IfcProductDefinitionShape($,$,(#104147,#104152))",524671,2110.00000000001,1510.0,,MDE3014.D1
104293,104293,IfcDoor,30Lww_w9T1eAZbdaxLORgC,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:524691,,1510mm - 2110mm S/O Laminate,"#726729=IfcLocalPlacement(#726710,#726728)","#104287=IfcProductDefinitionShape($,$,(#104280,#104285))",524691,2110.00000000001,1510.0,,MDE3013.D1
119831,119831,IfcDoor,1GPEpd97z4IPgWjEuSgTYm,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:538559,,1510mm - 2110mm S/O Laminate,"#727023=IfcLocalPlacement(#727002,#727022)","#119825=IfcProductDefinitionShape($,$,(#119818,#119823))",538559,2110.00000000001,1510.00000000004,,MDE4009.D1
131066,131066,IfcDoor,1GPEpd97z4IPgWjEuSgTbm,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2e - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:538561,,1510mm - 2110mm S/O Laminate,"#727169=IfcLocalPlacement(#727146,#727168)","#131060=IfcProductDefinitionShape($,$,(#131053,#131058))",538561,2110.0,1510.0,,MDE4011.D1
167148,167148,IfcDoor,3R$yv2YUbA1fnUYz4tf$4f,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:644217,,1060mm-2110mm S/O Laminate,"#727321=IfcLocalPlacement(#727300,#727320)","#167142=IfcProductDefinitionShape($,$,(#167135,#167140))",644217,2109.99999999998,1060.00000000011,,MDE3031.D1
178970,178970,IfcDoor,3dvQfzCCnBpOR9hAJiTy$O,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:647897,,810mm - 2110mm S/O Laminate,"#727430=IfcLocalPlacement(#727409,#727429)","#178964=IfcProductDefinitionShape($,$,(#178957,#178962))",647897,2109.99999999998,809.999999999989,,MDE3021.D1
190120,190120,IfcDoor,0wQiu0uFnEuhhs0P0YXOao,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:648665,,810mm - 2110mm S/O Laminate,"#727358=IfcLocalPlacement(#727337,#727357)","#190114=IfcProductDefinitionShape($,$,(#190107,#190112))",648665,2109.99999999998,809.999999999989,,MDE3022.D1
204201,204201,IfcDoor,0uvQ6EPF5BuOW$rjd7csVB,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:651418,,1510mm - 2110mm S/O Laminate,"#727508=IfcLocalPlacement(#727485,#727507)","#204195=IfcProductDefinitionShape($,$,(#204188,#204193))",651418,2110.00000000001,1510.0,FD30S,MDE4007.D1
217733,217733,IfcDoor,0uvQ6EPF5BuOW$rjd7csRI,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:651651,,1510mm - 2110mm S/O Laminate,"#727545=IfcLocalPlacement(#727524,#727544)","#217727=IfcProductDefinitionShape($,$,(#217720,#217725))",651651,2110.00000000001,1510.00000000004,,MDE4008.D1
231665,231665,IfcDoor,2D$Vlj14vERRkBW3cLB8nU,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461558)",IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:652970,,1510mm - 2110mm S/O Laminate,"#727245=IfcLocalPlacement(#727222,#727244)","#231659=IfcProductDefinitionShape($,$,(#231652,#231657))",652970,2110.0,1510.0,FD60S,MDE4004.D1
