,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
35516,35516,IfcDoor,0ud9K13Iv5IQmm4nLhj6oN,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597219,,1480mm - 2110mm S/O Laminate,"#1726937=IfcLocalPlacement(#1726914,#1726936)","#35508=IfcProductDefinitionShape($,$,(#35501,#35506))",1597219,2110.0,1480.00000000006,,IP74012.D1
36850,36850,IfcDoor,0ud9K13Iv5IQmm4nLhj6pu,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597260,,1480mm - 2110mm S/O Laminate,"#1726976=IfcLocalPlacement(#1726953,#1726975)","#36842=IfcProductDefinitionShape($,$,(#36835,#36840))",1597260,2110.0,1480.00000000007,,IP84021.D1
38120,38120,IfcDoor,0ud9K13Iv5IQmm4nLhj6ms,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597314,,1480mm - 2110mm S/O Laminate,"#1727015=IfcLocalPlacement(#1726992,#1727014)","#38112=IfcProductDefinitionShape($,$,(#38105,#38110))",1597314,2110.0,1479.99999999993,,IP74013.D1
38391,38391,IfcDoor,0ud9K13Iv5IQmm4nLhj6m8,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597372,,1480mm - 2110mm S/O Laminate,"#1727054=IfcLocalPlacement(#1727031,#1727053)","#38383=IfcProductDefinitionShape($,$,(#38376,#38381))",1597372,2110.0,1479.99999999993,,IP84020.D1
39998,39998,IfcDoor,0ud9K13Iv5IQmm4nLhj6n6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597426,,1480mm - 2110mm S/O Laminate,"#1727128=IfcLocalPlacement(#1727105,#1727127)","#39990=IfcProductDefinitionShape($,$,(#39983,#39988))",1597426,2110.0,1479.99999999993,,IP74021.D1
41041,41041,IfcDoor,0ud9K13Iv5IQmm4nLhj5EJ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597479,,1480mm - 2110mm S/O Laminate,"#1727167=IfcLocalPlacement(#1727144,#1727166)","#41033=IfcProductDefinitionShape($,$,(#41026,#41031))",1597479,2110.0,1480.00000000001,,IP74020.D1
43413,43413,IfcDoor,0ud9K13Iv5IQmm4nLhj5Dh,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597663,,1480mm - 2110mm S/O Laminate,"#1727358=IfcLocalPlacement(#1727335,#1727357)","#43405=IfcProductDefinitionShape($,$,(#43398,#43403))",1597663,2110.0,1479.99999999999,,IP74003.D1
44133,44133,IfcDoor,0ud9K13Iv5IQmm4nLhj5BH,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597797,,1480mm - 2110mm S/O Laminate,"#1727471=IfcLocalPlacement(#1727448,#1727470)","#44125=IfcProductDefinitionShape($,$,(#44118,#44123))",1597797,2110.0,1480.00000000002,,IP84005.D1
45456,45456,IfcDoor,0ud9K13Iv5IQmm4nLhj58i,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597848,,1480mm - 2110mm S/O Laminate,"#1727510=IfcLocalPlacement(#1727487,#1727509)","#45448=IfcProductDefinitionShape($,$,(#45441,#45446))",1597848,2110.0,1479.99999999999,,IP84003.D1
46623,46623,IfcDoor,0ud9K13Iv5IQmm4nLhj593,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597943,,1480mm - 2110mm S/O Laminate,"#1727549=IfcLocalPlacement(#1727526,#1727548)","#46615=IfcProductDefinitionShape($,$,(#46608,#46613))",1597943,2110.0,1480.00000000002,,IP94006.D1
48187,48187,IfcDoor,0ud9K13Iv5IQmm4nLhj57f,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598045,,1480mm - 2110mm S/O Laminate,"#1727625=IfcLocalPlacement(#1727602,#1727624)","#48179=IfcProductDefinitionShape($,$,(#48172,#48177))",1598045,2110.0,1479.99999999993,,IP84013.D1
49821,49821,IfcDoor,0ud9K13Iv5IQmm4nLhj52d,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598227,,1480mm - 2110mm S/O Laminate,"#1727699=IfcLocalPlacement(#1727676,#1727698)","#49813=IfcProductDefinitionShape($,$,(#49806,#49811))",1598227,2110.0,1480.00000000007,,IP94021.D1
50720,50720,IfcDoor,0ud9K13Iv5IQmm4nLhj53w,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598286,,1480mm - 2110mm S/O Laminate,"#1727738=IfcLocalPlacement(#1727715,#1727737)","#50712=IfcProductDefinitionShape($,$,(#50705,#50710))",1598286,2110.0,1479.99999999999,,IP94004.D1
51749,51749,IfcDoor,0ud9K13Iv5IQmm4nLhj50t,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598339,,1480mm - 2110mm S/O Laminate,"#1727777=IfcLocalPlacement(#1727754,#1727776)","#51741=IfcProductDefinitionShape($,$,(#51734,#51739))",1598339,2110.0,1480.00000000001,,IP94012.D1
65811,65811,IfcDoor,0ud9K13Iv5IQmm4nLhj51q,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461956)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1598400,,1060mm - 2110mm S/O Laminate,"#1727853=IfcLocalPlacement(#1727830,#1727852)","#65805=IfcProductDefinitionShape($,$,(#65798,#65803))",1598400,2109.99999999998,1059.99999999998,FD30S,IP74032.D1
