,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
23149,23149,IfcDoor,2LWpvK1pT0qvqAGDYNhy$3,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1361876,,1910mm - 2110mm S/O PVC,"#2018978=IfcLocalPlacement(#2018959,#2018977)","#23143=IfcProductDefinitionShape($,$,(#23136,#23141))",1361876,2110.0,1909.99999999995,,INT2021.D1
36034,36034,IfcDoor,2LWpvK1pT0qvqAGDYNhy$2,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 1d - Single Door:1060mm - 2110mm S/O PVC:1361877,,1060mm - 2110mm S/O PVC,"#2019013=IfcLocalPlacement(#2018994,#2019012)","#36028=IfcProductDefinitionShape($,$,(#36021,#36026))",1361877,2109.99999999999,1060.00000000011,,INT2025.D1
48897,48897,IfcDoor,2LWpvK1pT0qvqAGDYNhy$1,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 1d - Single Door:1060mm - 2110mm S/O PVC:1361878,,1060mm - 2110mm S/O PVC,"#2018943=IfcLocalPlacement(#2018922,#2018942)","#48891=IfcProductDefinitionShape($,$,(#48884,#48889))",1361878,2109.99999999999,1060.0,,INT2023.D1
87973,87973,IfcDoor,2LWpvK1pT0qvqAGDYNhy$F,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 3c - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:1361880,,1910mm - 2110mm S/O PVC,"#2019048=IfcLocalPlacement(#2019029,#2019047)","#87967=IfcProductDefinitionShape($,$,(#87960,#87965))",1361880,2110.0,1909.99999999995,,INT2022.D2
100472,100472,IfcDoor,2LWpvK1pT0qvqAGDYNhy3o,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1362149,,1910mm - 2110mm S/O PVC,"#2019120=IfcLocalPlacement(#2019099,#2019119)","#100466=IfcProductDefinitionShape($,$,(#100459,#100464))",1362149,2110.0,1909.99999999995,,INT2022.D1
115839,115839,IfcDoor,2iVdt4ywD3E8bVYP7G6V2z,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1367376,,1910mm - 2110mm S/O PVC,"#2019486=IfcLocalPlacement(#2019465,#2019485)","#115833=IfcProductDefinitionShape($,$,(#115826,#115831))",1367376,2110.0,1909.99999999998,,INT2008.D2
115971,115971,IfcDoor,2iVdt4ywD3E8bVYP7G6V2y,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1367377,,1910mm - 2110mm S/O PVC,"#2019521=IfcLocalPlacement(#2019502,#2019520)","#115965=IfcProductDefinitionShape($,$,(#115958,#115963))",1367377,2110.0,1909.99999999998,,INT2012.D2
142618,142618,IfcDoor,2iVdt4ywD3E8bVYP7G6V2_,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O PVC:1367379,,1210mm - 2110mm S/O PVC,"#2019375=IfcLocalPlacement(#2019356,#2019374)","#142612=IfcProductDefinitionShape($,$,(#142605,#142610))",1367379,2109.99999999999,1210.00000000004,,INT2008.D1
169345,169345,IfcDoor,2iVdt4ywD3E8bVYP7G6V2v,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O PVC:1367380,,1210mm - 2110mm S/O PVC,"#2019340=IfcLocalPlacement(#2019319,#2019339)","#169339=IfcProductDefinitionShape($,$,(#169332,#169337))",1367380,2109.99999999999,1210.00000000004,,INT2012.D1
182133,182133,IfcDoor,2iVdt4ywD3E8bVYP7G6V2u,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462534)",IDT 1d - Single Door:1060mm - 2110mm S/O PVC:1367381,,1060mm - 2110mm S/O PVC,"#2019558=IfcLocalPlacement(#2019537,#2019557)","#182127=IfcProductDefinitionShape($,$,(#182120,#182125))",1367381,2109.99999999999,1060.0,,INT2010.D1
