,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
22696,22696,IfcDoor,2nLyfsEYjBhB0o7s7no4Po,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_1810w x 2805h:1089382,,EDT 3c OP_1810w x 2805h,"#1069228=IfcLocalPlacement(#1069209,#1069227)","#22690=IfcProductDefinitionShape($,$,(#22683,#22688))",1089382,2805.0,1810.00000000004,N/A,ED-40-B13
47192,47192,IfcDoor,2nLyfsEYjBhB0o7s7no4Q_,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_2410w x 3405h:1089450,,EDT 3c OP_2410w x 3405h,"#1069265=IfcLocalPlacement(#1069244,#1069264)","#47186=IfcProductDefinitionShape($,$,(#47179,#47184))",1089450,3405.0,2410.00000000004,N/A,ED-40-B12
47384,47384,IfcDoor,2nLyfsEYjBhB0o7s7no4R8,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_2410w x 3405h:1089500,,EDT 3c OP_2410w x 3405h,"#1069302=IfcLocalPlacement(#1069281,#1069301)","#47378=IfcProductDefinitionShape($,$,(#47371,#47376))",1089500,3405.0,2410.00000000004,N/A,ED-40-B11
68918,68918,IfcDoor,2SQBUnf$P13AFSzFgQEkrs,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_1810w x 2805h:1162925,,EDT 3c OP_1810w x 2805h,"#1069661=IfcLocalPlacement(#1069642,#1069660)","#68912=IfcProductDefinitionShape($,$,(#68905,#68910))",1162925,2805.0,1810.00000000004,N/A,ED-40-B08
69448,69448,IfcDoor,1woZ4d9XPAv861t4XN4fFH,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_1810w x 2805h:1182081,,EDT 3c OP_1810w x 2805h,"#1069731=IfcLocalPlacement(#1069712,#1069730)","#69440=IfcProductDefinitionShape($,$,(#69433,#69438))",1182081,2805.0,1810.00000000003,N/A,ED-40-B07
75155,75155,IfcDoor,32mD23uPf9wPoxEltaFh2s,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2535h:1193031,,EDT 3b OP_1810w x 2535h,"#1069766=IfcLocalPlacement(#1069747,#1069765)","#75148=IfcProductDefinitionShape($,$,(#75141,#75146))",1193031,2535.0,1810.0,N/A,ED-40-002
75357,75357,IfcDoor,32mD23uPf9wPoxEltaFh2v,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2535h:1193032,,EDT 3b OP_1810w x 2535h,"#1069801=IfcLocalPlacement(#1069782,#1069800)","#75351=IfcProductDefinitionShape($,$,(#75344,#75349))",1193032,2535.0,1810.0,FD60S,ED-40-005
96981,96981,IfcDoor,1ICM0xO1j6SuSJsjm4eIfZ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c - Equal Double Door (Louvred):EDT 3c_1810w x 2805h:1197950,,EDT 3c_1810w x 2805h,"#1069838=IfcLocalPlacement(#1069817,#1069837)","#96975=IfcProductDefinitionShape($,$,(#96968,#96973))",1197950,2805.0,1810.00000000004,N/A,ED-40-B09
108783,108783,IfcDoor,3J2QDsqOL3wgvLlmCgqoqp,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 1c OP - External Single Door (Louvred)_with over panel:EDT 1c OP_1060w x 2535h:1202496,,EDT 1c OP_1060w x 2535h,"#1069873=IfcLocalPlacement(#1069854,#1069872)","#108777=IfcProductDefinitionShape($,$,(#108770,#108775))",1202496,2535.0,1060.00000000011,N/A,ED-40-007
130964,130964,IfcDoor,0wEgXX2p13xBPuZY5hp9Rh,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c - Equal Double Door (Louvred):EDT 3c_1810w x 2805h:1240645,,EDT 3c_1810w x 2805h,"#1069910=IfcLocalPlacement(#1069889,#1069909)","#130958=IfcProductDefinitionShape($,$,(#130951,#130956))",1240645,2805.0,1810.00000000004,N/A,ED-40-B10
131521,131521,IfcDoor,1ks7h7cZT9qulRR8zY$_PE,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_1810w x 2805h:1436246,,EDT 3c OP_1810w x 2805h,"#1069947=IfcLocalPlacement(#1069926,#1069946)","#131513=IfcProductDefinitionShape($,$,(#131506,#131511))",1436246,2805.0,1810.00000000002,N/A,ED-40-B06
151878,151878,IfcDoor,1ks7h7cZT9qulRR8zY$_P1,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_1810w x 2805h:1436249,,EDT 3c OP_1810w x 2805h,"#1069984=IfcLocalPlacement(#1069963,#1069983)","#151870=IfcProductDefinitionShape($,$,(#151863,#151868))",1436249,2805.0,1810.00000000002,N/A,ED-40-B01
152001,152001,IfcDoor,1ks7h7cZT9qulRR8zY$_P2,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461200)",EDT 3c OP - Equal Double Door (Louvred):EDT 3c OP_1810w x 2805h:1436250,,EDT 3c OP_1810w x 2805h,"#1070019=IfcLocalPlacement(#1070000,#1070018)","#151993=IfcProductDefinitionShape($,$,(#151986,#151991))",1436250,2805.0,1810.00000000002,N/A,ED-40-B02
