,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
15131,15131,IfcDoor,2oiLLsd_b2kARwWIBqiYFN,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460077,,1060mm - 2110mm S/O Laminate,"#156227=IfcLocalPlacement(#156208,#156226)","#15125=IfcProductDefinitionShape($,$,(#15118,#15123))",2460077,2109.99999999998,1060.0,,DSC0016.D1
28246,28246,IfcDoor,2oiLLsd_b2kARwWIBqiYF6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460092,,1060mm - 2110mm S/O Laminate,"#156299=IfcLocalPlacement(#156278,#156298)","#28240=IfcProductDefinitionShape($,$,(#28233,#28238))",2460092,2109.99999999998,1060.0,,DSC0017.D1
42144,42144,IfcDoor,2oiLLsd_b2kARwWIBqiYEU,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:2460132,,1510mm - 2110mm S/O Laminate,"#156336=IfcLocalPlacement(#156315,#156335)","#42138=IfcProductDefinitionShape($,$,(#42131,#42136))",2460132,2110.00000000001,1510.0,FD30S,DSC0014.D1
42360,42360,IfcDoor,2oiLLsd_b2kARwWIBqiYEV,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460133,,1060mm - 2110mm S/O Laminate,"#156373=IfcLocalPlacement(#156352,#156372)","#42354=IfcProductDefinitionShape($,$,(#42347,#42352))",2460133,2109.99999999998,1060.0,,DSC0015.D1
42621,42621,IfcDoor,2oiLLsd_b2kARwWIBqiYEM,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460140,,1060mm - 2110mm S/O Laminate,"#156447=IfcLocalPlacement(#156426,#156446)","#42615=IfcProductDefinitionShape($,$,(#42608,#42613))",2460140,2109.99999999998,1060.0,,DSC0010.D1
42760,42760,IfcDoor,2oiLLsd_b2kARwWIBqiYEN,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460141,,1060mm - 2110mm S/O Laminate,"#156484=IfcLocalPlacement(#156463,#156483)","#42754=IfcProductDefinitionShape($,$,(#42747,#42752))",2460141,2109.99999999998,1060.0,FD30S,DSC0011.D1
55547,55547,IfcDoor,2oiLLsd_b2kARwWIBqiYEK,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460142,,1060mm - 2110mm S/O Laminate,"#156521=IfcLocalPlacement(#156500,#156520)","#55541=IfcProductDefinitionShape($,$,(#55534,#55539))",2460142,2109.99999999998,1060.0,,DSC0012.D1
56119,56119,IfcDoor,2oiLLsd_b2kARwWIBqiYOW,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460762,,1060mm - 2110mm S/O Laminate,"#156556=IfcLocalPlacement(#156537,#156555)","#56113=IfcProductDefinitionShape($,$,(#56106,#56111))",2460762,2109.99999999998,1060.00000000011,,DSC0008.D1
68904,68904,IfcDoor,2oiLLsd_b2kARwWIBqiYRn,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2460811,,1060mm - 2110mm S/O Laminate,"#156593=IfcLocalPlacement(#156572,#156592)","#68898=IfcProductDefinitionShape($,$,(#68891,#68896))",2460811,2109.99999999998,1060.00000000011,,DSC0009.D1
69158,69158,IfcDoor,2oiLLsd_b2kARwWIBqiYMB,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:2461681,,1060mm - 2110mm S/O Laminate,"#156262=IfcLocalPlacement(#156243,#156261)","#69152=IfcProductDefinitionShape($,$,(#69145,#69150))",2461681,2109.99999999998,1060.0,,DSC0013.D1
138633,138633,IfcDoor,35SqirN2DE1PxhwkItJDC3,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461576)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:2483415,,1910mm - 2110mm S/O Laminate,"#156410=IfcLocalPlacement(#156389,#156409)","#138627=IfcProductDefinitionShape($,$,(#138620,#138625))",2483415,2110.0,1909.99999999995,,DSC0C03.D1
