,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
34410,34410,IfcDoor,1fY153QG55IALiJURymS1K,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:5604567,,EDT 1b_1310w x 2110h,"#7586349=IfcLocalPlacement(#7586330,#7586348)","#34404=IfcProductDefinitionShape($,$,(#34397,#34402))",5604567,2109.99999999998,1310.00000000001,FD30S,ED-30-103
37765,37765,IfcDoor,1QdDW5RJL8Hg7IqCzbchR$,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1060w x 2110h:5619904,,EDT 1b_1060w x 2110h,"#7586384=IfcLocalPlacement(#7586365,#7586383)","#37759=IfcProductDefinitionShape($,$,(#37752,#37757))",5619904,2109.99999999998,1060.0,N/A,ED-30-001
38617,38617,IfcDoor,3CfO4marj4UwvwT4r4K3Qp,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:5650640,,EDT 1b_1310w x 2110h,"#7587343=IfcLocalPlacement(#7587324,#7587342)","#38611=IfcProductDefinitionShape($,$,(#38604,#38609))",5650640,2109.99999999998,1310.00000000001,FD30S,ED-30-201
38753,38753,IfcDoor,3CfO4marj4UwvwT4r4K3Qy,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:5650642,,EDT 1b_1310w x 2110h,"#7587378=IfcLocalPlacement(#7587359,#7587377)","#38747=IfcProductDefinitionShape($,$,(#38740,#38745))",5650642,2109.99999999998,1310.00000000001,FD30S,ED-30-301
44019,44019,IfcDoor,27q1iCxQ564BlR6cveOkWI,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1060w x 2110h:5820093,,EDT 1b_1060w x 2110h,"#7586314=IfcLocalPlacement(#7586293,#7586313)","#44013=IfcProductDefinitionShape($,$,(#44006,#44011))",5820093,2109.99999999998,1060.00000000011,N/A,ED-30-002
59074,59074,IfcDoor,1R3$t91GDBe9gQ0mReui_E,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:9371497,,EDT 1b_1310w x 2110h,"#7588579=IfcLocalPlacement(#7588560,#7588578)","#59068=IfcProductDefinitionShape($,$,(#59061,#59066))",9371497,2109.99999999998,1309.99999999994,FD30S,ED-30-104
59328,59328,IfcDoor,1R3$t91GDBe9gQ0mReup46,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:9372129,,EDT 1b_1310w x 2110h,"#7588614=IfcLocalPlacement(#7588595,#7588613)","#59322=IfcProductDefinitionShape($,$,(#59315,#59320))",9372129,2109.99999999998,1309.99999999994,FD30S,ED-30-202
70589,70589,IfcDoor,0uKsGBWt144QHlx0PVLHMd,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b OP - External Single Door_with over panel:EDT 1b OP_1060w x 2440h:9646461,,EDT 1b OP_1060w x 2440h,"#7590409=IfcLocalPlacement(#7590388,#7590408)","#70583=IfcProductDefinitionShape($,$,(#70576,#70581))",9646461,2440.0,1060.00000000011,N/A,ED-30-006
84841,84841,IfcDoor,1VtoYiSajAPAo19qNox4IY,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:10501257,,EDT 1b_1310w x 2110h,"#7593744=IfcLocalPlacement(#7593723,#7593743)","#84835=IfcProductDefinitionShape($,$,(#84828,#84833))",10501257,2109.99999999998,1310.00000000001,FD30S,ED-30-401
84975,84975,IfcDoor,1VtoYiSajAPAo19qNox4I5,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:10501294,,EDT 1b_1310w x 2110h,"#7593779=IfcLocalPlacement(#7593760,#7593778)","#84969=IfcProductDefinitionShape($,$,(#84962,#84967))",10501294,2109.99999999998,1309.99999999994,FD30S,ED-30-302
85109,85109,IfcDoor,1VtoYiSajAPAo19qNox4JX,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b - External Single Door:EDT 1b_1310w x 2110h:10501322,,EDT 1b_1310w x 2110h,"#7593814=IfcLocalPlacement(#7593795,#7593813)","#85103=IfcProductDefinitionShape($,$,(#85096,#85101))",10501322,2109.99999999998,1309.99999999994,FD60S,ED-30-402
248392,248392,IfcDoor,1_5UC$ZwH6x9sMSqnn7tWR,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1a OP - External Single Door (Glazed)_with over panel:EDT 1a OP_1060w x 2535h:12265081,,EDT 1a OP_1060w x 2535h,"#7593851=IfcLocalPlacement(#7593830,#7593850)","#248386=IfcProductDefinitionShape($,$,(#248379,#248384))",12265081,2535.0,1060.00000000011,N/A,ED-30-005
251193,251193,IfcDoor,1_5UC$ZwH6x9sMSqnn7tZw,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 4a - Bi-Folding Door Automatic:EDT 4a_2150w x 2535h:12265112,,EDT 4a_2150w x 2535h,"#7587938=IfcLocalPlacement(#7587924,#7587937)","#251187=IfcProductDefinitionShape($,$,(#251180,#251185))",12265112,2535.0000000001,2150.00000000001,N/A,ED-30-004
271837,271837,IfcDoor,2eZiaqTEX7ShKefaApNu3E,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461278)",EDT 1b OP - External Single Door_with over panel:EDT 1b OP_1060w x 2535h:12811697,,EDT 1b OP_1060w x 2535h,"#7594794=IfcLocalPlacement(#7594773,#7594793)","#271831=IfcProductDefinitionShape($,$,(#271824,#271829))",12811697,2535.0,1060.00000000011,N/A,ED-30-003
