,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
73993,73993,IfcDoor,3N1qoKngjEJ8YyZU9a1dnB,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 2b OP - Double Unequal Door_with over panel:EDT 2b OP_1710w x 2535h:23215318,,EDT 2b OP_1710w x 2535h,"#7825443=IfcLocalPlacement(#7825422,#7825442)","#73987=IfcProductDefinitionShape($,$,(#73980,#73985))",23215318,2535.0,1709.99999999999,N/A,ED-20-001
90351,90351,IfcDoor,3N1qoKngjEJ8YyZU9a1W6A,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2420h:23216407,,EDT 3b OP_1810w x 2420h,"#7825406=IfcLocalPlacement(#7825387,#7825405)","#90345=IfcProductDefinitionShape($,$,(#90338,#90343))",23216407,2420.0,1810.00000000004,N/A,ED-20-502
95576,95576,IfcDoor,3FGDflPCj8PeYwzjgj9xNJ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 7a - Single CW Door Hinged Manual:EDT 7a_Door Hinged Manual - Single:24257722,,EDT 7a_Door Hinged Manual - Single,"#95575=IfcLocalPlacement(#95278,#95574)","#95562=IfcProductDefinitionShape($,$,(#95555,#95560))",24257722,2060.0,1124.99999999974,N/A,ED-20-201
125550,125550,IfcDoor,3N1qoKngjEJ8YyZU9a1Wvo,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2420h:23219951,,EDT 3b OP_1810w x 2420h,"#7830610=IfcLocalPlacement(#7830587,#7830609)","#125544=IfcProductDefinitionShape($,$,(#125537,#125542))",23219951,2420.0,1810.00000000004,N/A,ED-20-504
156243,156243,IfcDoor,3N1qoKngjEJ8YyZU9a1Xgc,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 8a - Equal Double CW Door Hinged Manual:EDT 8a_Door Hinged Manual - Double:23222843,,EDT 8a_Door Hinged Manual - Double,"#156242=IfcLocalPlacement(#155878,#156241)","#156233=IfcProductDefinitionShape($,$,(#156226,#156231))",23222843,2061.85530434782,1900.00000000006,N/A,ED-20-004
285143,285143,IfcDoor,1KIseVtKH5u8A7j3NMtgkG,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 1c TP - External Single Door (Louvred Top Panel):EDT 1c_1210w x 2110h:25695185,,EDT 1c_1210w x 2110h,"#7852837=IfcLocalPlacement(#7852816,#7852836)","#285137=IfcProductDefinitionShape($,$,(#285130,#285135))",25695185,2109.99999999998,1210.0,N/A,ED-20-503
290396,290396,IfcDoor,0A82LRXIjCje3a_puN0zVv,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2420h:25715563,,EDT 3b OP_1810w x 2420h,"#7852876=IfcLocalPlacement(#7852853,#7852875)","#290390=IfcProductDefinitionShape($,$,(#290383,#290388))",25715563,2420.0,1810.00000000004,N/A,ED-20-501
302267,302267,IfcDoor,2m38ALggD7eOp215tvXMT6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 1b OP - External Single Door_with over panel:EDT 1b OP_1060w x 2420h:26377207,,EDT 1b OP_1060w x 2420h,"#7852915=IfcLocalPlacement(#7852892,#7852914)","#302261=IfcProductDefinitionShape($,$,(#302254,#302259))",26377207,2420.0,1060.00000000011,N/A,ED-20-506
302456,302456,IfcDoor,2m38ALggD7eOp215tvXM6F,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 1b OP - External Single Door_with over panel:EDT 1b OP_1060w x 2420h:26377534,,EDT 1b OP_1060w x 2420h,"#7852954=IfcLocalPlacement(#7852931,#7852953)","#302450=IfcProductDefinitionShape($,$,(#302443,#302448))",26377534,2420.0,1060.00000000011,N/A,ED-20-507
302587,302587,IfcDoor,2m38ALggD7eOp215tvXM7M,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 1b OP - External Single Door_with over panel:EDT 1b OP_1060w x 2420h:26377575,,EDT 1b OP_1060w x 2420h,"#7852989=IfcLocalPlacement(#7852970,#7852988)","#302581=IfcProductDefinitionShape($,$,(#302574,#302579))",26377575,2420.0,1060.00000000011,N/A,ED-20-508
305712,305712,IfcDoor,3BI_y6L018uxtfMGLI4ZC2,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 1b OP - External Single Door_with over panel:EDT 1b OP_1060w x 2590h:26377641,,EDT 1b OP_1060w x 2590h,"#7853026=IfcLocalPlacement(#7853005,#7853025)","#305706=IfcProductDefinitionShape($,$,(#305699,#305704))",26377641,2590.0,1060.0,N/A,ED-20-505
312755,312755,IfcDoor,2Cz$DKbwnDjfIZqNxmcnbI,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 4a - Bi-Folding Door Automatic:EDT 4a_2450w x 2535h:26600437,,EDT 4a_2450w x 2535h,"#312754=IfcLocalPlacement(#135,#312753)","#312747=IfcProductDefinitionShape($,$,(#312740,#312745))",26600437,2535.0000000001,2450.00000000001,N/A,ED-20-101
500618,500618,IfcDoor,1NqP$ZodTFWx1koIj$UVHk,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",BDP_Door_CurtainWall:External_Double_Louvred:29264263,,External_Double_Louvred,"#500616=IfcLocalPlacement(#492785,#500615)","#500603=IfcProductDefinitionShape($,$,(#500596,#500601))",29264263,2556.0,2509.99999999997,N/A,LVR-20-0001
737270,737270,IfcDoor,3orELyfNn47Q5m2iG1o_Fg,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 4a - Bi-Folding Door Automatic:EDT 4a_2450w x 2535h:29505707,,EDT 4a_2450w x 2535h,"#737269=IfcLocalPlacement(#135,#737268)","#737262=IfcProductDefinitionShape($,$,(#737255,#737260))",29505707,2535.0000000001,2450.00000000001,N/A,ED-20-103
745889,745889,IfcDoor,1iZsu0x09EhQE4mHVMfUr4,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 17b - Equal Double Door:EDT 17b_3310w x 3135h:29527980,,EDT 17b_3310w x 3135h,"#7861231=IfcLocalPlacement(#7861210,#7861230)","#745883=IfcProductDefinitionShape($,$,(#745876,#745881))",29527980,3135.0,3310.00000000004,N/A,ED-20-102
760767,760767,IfcDoor,0hINKLdE97nuYISY27ggqp,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624461584)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1900w x 2535h:29708999,,EDT 3b OP_1900w x 2535h,"#7861268=IfcLocalPlacement(#7861247,#7861267)","#760759=IfcProductDefinitionShape($,$,(#760752,#760757))",29708999,2535.0,1899.99999999999,N/A,ED-20-002
