,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
15166,15166,IfcDoor,3vlVJqk3z5AwhIyR0YNDnQ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1061589,,1060mm - 2110mm S/O Laminate,"#100913=IfcLocalPlacement(#100892,#100912)","#15160=IfcProductDefinitionShape($,$,(#15153,#15158))",1061589,2109.99999999998,1060.0,,SFM0129.D1
28165,28165,IfcDoor,3xNUSi3ff0SO5r$gzgmV9X,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1094015,,1060mm - 2110mm S/O Laminate,"#100989=IfcLocalPlacement(#100966,#100988)","#28159=IfcProductDefinitionShape($,$,(#28152,#28157))",1094015,2109.99999999998,1060.0,,SFM0126.D1
39681,39681,IfcDoor,1MuVtqorD5MQ7koklrEYND,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1096874,,810mm - 2110mm S/O Laminate,"#101026=IfcLocalPlacement(#101005,#101025)","#39675=IfcProductDefinitionShape($,$,(#39668,#39673))",1096874,2109.99999999998,809.999999999989,,SFM0112.D1
39881,39881,IfcDoor,1MuVtqorD5MQ7koklrEYHz,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1096986,,810mm - 2110mm S/O Laminate,"#101061=IfcLocalPlacement(#101042,#101060)","#39875=IfcProductDefinitionShape($,$,(#39868,#39873))",1096986,2109.99999999998,809.999999999989,,SFM0109.D1
52780,52780,IfcDoor,23ccG4ZFnDoOgb_Ee3hfdu,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1100241,,1060mm - 2110mm S/O Laminate,"#100950=IfcLocalPlacement(#100929,#100949)","#52774=IfcProductDefinitionShape($,$,(#52767,#52772))",1100241,2109.99999999998,1060.00000000011,,SFM0115.D1
53841,53841,IfcDoor,2S6hgJAjj4OQ1nPN0p20Q5,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1117487,,810mm - 2110mm S/O Laminate,"#101096=IfcLocalPlacement(#101077,#101095)","#53835=IfcProductDefinitionShape($,$,(#53828,#53833))",1117487,2109.99999999998,809.999999999989,,SFM0110.D1
64952,64952,IfcDoor,3YY7H6avvBKBh2VlJDPZK1,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1118544,,810mm - 2110mm S/O Laminate,"#101133=IfcLocalPlacement(#101112,#101132)","#64946=IfcProductDefinitionShape($,$,(#64939,#64944))",1118544,2109.99999999998,809.999999999989,,SFM0121.D1
65087,65087,IfcDoor,3YY7H6avvBKBh2VlJDPZK0,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1118545,,810mm - 2110mm S/O Laminate,"#101168=IfcLocalPlacement(#101149,#101167)","#65081=IfcProductDefinitionShape($,$,(#65074,#65079))",1118545,2109.99999999998,809.999999999989,,SFM0123.D1
65338,65338,IfcDoor,3YY7H6avvBKBh2VlJDPZK4,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1118549,,810mm - 2110mm S/O Laminate,"#101203=IfcLocalPlacement(#101184,#101202)","#65332=IfcProductDefinitionShape($,$,(#65325,#65330))",1118549,2109.99999999998,809.999999999989,,SFM0122.D1
80672,80672,IfcDoor,3ffVmWd0L93A86MLGhqvBP,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1217949,,710mm - 2110mm S/O Laminate,"#101240=IfcLocalPlacement(#101219,#101239)","#80666=IfcProductDefinitionShape($,$,(#80659,#80664))",1217949,2109.99999999998,710.000000000012,,SFM0103.D4
80815,80815,IfcDoor,3_zeE2hKzEUPlcNIcaeSKv,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1625499835)",IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1217991,,710mm - 2110mm S/O Laminate,"#101275=IfcLocalPlacement(#101256,#101274)","#80809=IfcProductDefinitionShape($,$,(#80802,#80807))",1217991,2109.99999999998,710.000000000012,,SFM0103.D3
