,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
28460,28460,IfcDoor,23ATZcyPH3V9wdof5fvudt,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:989864,,1060mm - 2110mm S/O Laminate,"#2096541=IfcLocalPlacement(#2096522,#2096540)","#28454=IfcProductDefinitionShape($,$,(#28447,#28452))",989864,2109.99999999998,1060.00000000011,,MAT3306.D1
89206,89206,IfcDoor,0D60VCxE98wg7LKKZVogjM,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:1037840,,1910mm - 2110mm S/O Laminate,"#2096950=IfcLocalPlacement(#2096927,#2096949)","#89198=IfcProductDefinitionShape($,$,(#89191,#89196))",1037840,2110.0,1910.0000000001,FD30S,MAT3C07.D1
89350,89350,IfcDoor,1ODPpE4Pf3qgacW7M0MCuS,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:1037841,,1910mm - 2110mm S/O Laminate,"#2096761=IfcLocalPlacement(#2096740,#2096760)","#89342=IfcProductDefinitionShape($,$,(#89335,#89340))",1037841,2110.0,1910.0,FD30S,MAT3C09.D1
102892,102892,IfcDoor,2Eq00BQdr56h$SoGXftZyF,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1037847,,1510mm - 2110mm S/O Laminate,"#2096989=IfcLocalPlacement(#2096966,#2096988)","#102886=IfcProductDefinitionShape($,$,(#102879,#102884))",1037847,2110.00000000001,1510.00000000004,,MAT3106.D1
116316,116316,IfcDoor,3EZm06wlf1K8tfLfTbOTxT,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1037848,,1510mm - 2110mm S/O Laminate,"#2097026=IfcLocalPlacement(#2097005,#2097025)","#116310=IfcProductDefinitionShape($,$,(#116303,#116308))",1037848,2110.00000000001,1510.00000000004,,MAT3107.D1
116703,116703,IfcDoor,0vJjKTV3L6whGz8xbZP6Ip,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1037856,,1060mm - 2110mm S/O Laminate,"#2097100=IfcLocalPlacement(#2097079,#2097099)","#116697=IfcProductDefinitionShape($,$,(#116690,#116695))",1037856,2109.99999999998,1060.0,,MAT3127.D1
130118,130118,IfcDoor,3EZm06wlf1K8tfLfTbOTxc,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1037859,,1510mm - 2110mm S/O Laminate,"#2097135=IfcLocalPlacement(#2097116,#2097134)","#130110=IfcProductDefinitionShape($,$,(#130103,#130108))",1037859,2110.00000000001,1509.99999999998,,MAT3112.D1
130255,130255,IfcDoor,1loVclGWLB4O4whTXWBYM1,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1037860,,1510mm - 2110mm S/O Laminate,"#2097063=IfcLocalPlacement(#2097042,#2097062)","#130247=IfcProductDefinitionShape($,$,(#130240,#130245))",1037860,2110.00000000001,1509.99999999999,,MAT3112A.D1
143665,143665,IfcDoor,3EZm06wlf1K8tfLfTbOTxW,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1037861,,1510mm - 2110mm S/O Laminate,"#2097174=IfcLocalPlacement(#2097151,#2097173)","#143657=IfcProductDefinitionShape($,$,(#143650,#143655))",1037861,2110.00000000001,1509.99999999998,,MAT3113.D1
156450,156450,IfcDoor,3EZm06wlf1K8tfLfTbOTxZ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624460522)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1037862,,1060mm - 2110mm S/O Laminate,"#2096689=IfcLocalPlacement(#2096668,#2096688)","#156444=IfcProductDefinitionShape($,$,(#156437,#156442))",1037862,2109.99999999998,1060.0,,MAT3124.D1
