,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
41601,41601,IfcDoor,1HXbPzbHn44hBEzii7$3OV,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 8a - Equal Double CW Door Hinged Manual:EDT 8a_Door Hinged Manual - Double:16271106,,EDT 8a_Door Hinged Manual - Double,"#41600=IfcLocalPlacement(#41216,#41599)","#41591=IfcProductDefinitionShape($,$,(#41584,#41589))",16271106,2411.85530434783,1850.00000000003,N/A,ED-10-001
49261,49261,IfcDoor,0zdxRLwVr1LARcXqPY86dM,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 3b - Equal Double Door:EDT 3b_1810w x 2110h:4002864,,EDT 3b_1810w x 2110h,"#6647339=IfcLocalPlacement(#6647318,#6647338)","#49255=IfcProductDefinitionShape($,$,(#49248,#49253))",4002864,2110.0,1810.00000000004,N/A,ED-10-501
74758,74758,IfcDoor,1HXbPzbHn44hBEzii7$2Dj,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 8a - Equal Double CW Door Hinged Manual:EDT 8a_Door Hinged Manual - Double:16274032,,EDT 8a_Door Hinged Manual - Double,"#74757=IfcLocalPlacement(#74419,#74756)","#74748=IfcProductDefinitionShape($,$,(#74741,#74746))",16274032,2496.85530434783,1850.00000000003,N/A,ED-10-011
77626,77626,IfcDoor,1HXbPzbHn44hBEzii7$2IT,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 8a - Equal Double CW Door Hinged Manual:EDT 8a_Door Hinged Manual - Double:16274816,,EDT 8a_Door Hinged Manual - Double,"#77624=IfcLocalPlacement(#77440,#77623)","#77615=IfcProductDefinitionShape($,$,(#77608,#77613))",16274816,2496.85530434783,1850.00000000003,N/A,ED-10-010
98182,98182,IfcDoor,1HXbPzbHn44hBEzii7$3eS,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 8a - Equal Double CW Door Hinged Manual:EDT 8a_Door Hinged Manual - Double:16272129,,EDT 8a_Door Hinged Manual - Double,"#98181=IfcLocalPlacement(#98015,#98180)","#98172=IfcProductDefinitionShape($,$,(#98165,#98170))",16272129,2496.85530434783,1850.00000000003,N/A,ED-10-012
113535,113535,IfcDoor,1MgRxOt1TBwPg13w6KbVmo,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2535h:9735298,,EDT 3b OP_1810w x 2535h,"#6651488=IfcLocalPlacement(#6651467,#6651487)","#113529=IfcProductDefinitionShape($,$,(#113522,#113527))",9735298,2535.0,1810.00000000004,N/A,ED-10-008
543783,543783,IfcDoor,1MgRxOt1TBwPg13w6KbVmp,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 5a - Sectional Overhead Door with Passdoor:EDT 5a_5750w x 3135h:9735299,,EDT 5a_5750w x 3135h,"#6651525=IfcLocalPlacement(#6651504,#6651524)","#543777=IfcProductDefinitionShape($,$,(#543770,#543775))",9735299,3134.99999999996,5750.00000000004,N/A,ED-10-003
543970,543970,IfcDoor,1MgRxOt1TBwPg13w6KbVmq,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2535h:9735300,,EDT 3b OP_1810w x 2535h,"#6651560=IfcLocalPlacement(#6651541,#6651559)","#543964=IfcProductDefinitionShape($,$,(#543957,#543962))",9735300,2535.0,1810.00000000004,N/A,ED-10-006
544097,544097,IfcDoor,1MgRxOt1TBwPg13w6KbVms,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2535h:9735302,,EDT 3b OP_1810w x 2535h,"#6651595=IfcLocalPlacement(#6651576,#6651594)","#544091=IfcProductDefinitionShape($,$,(#544084,#544089))",9735302,2535.0,1810.00000000004,N/A,ED-10-002
544224,544224,IfcDoor,1MgRxOt1TBwPg13w6KbVmt,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462254)",EDT 3b OP - Equal Double Door_with over panel:EDT 3b OP_1810w x 2535h:9735303,,EDT 3b OP_1810w x 2535h,"#6651630=IfcLocalPlacement(#6651611,#6651629)","#544218=IfcProductDefinitionShape($,$,(#544211,#544216))",9735303,2535.0,1810.00000000004,N/A,ED-10-009
