,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
30480,30480,IfcDoor,29Hsm7e3nBbgjoEQy1Lxhl,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621091,,1480mm - 2110mm S/O Laminate,"#2114032=IfcLocalPlacement(#2114009,#2114031)","#30472=IfcProductDefinitionShape($,$,(#30465,#30470))",621091,2110.0,1480.00000000005,,CLD1011.D1
30978,30978,IfcDoor,29Hsm7e3nBbgjoEQy1Lxhv,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621109,,1480mm - 2110mm S/O Laminate,"#2114071=IfcLocalPlacement(#2114048,#2114070)","#30970=IfcProductDefinitionShape($,$,(#30963,#30968))",621109,2110.0,1480.00000000005,,CLD1010.D1
31380,31380,IfcDoor,29Hsm7e3nBbgjoEQy1LxgB,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621127,,1480mm - 2110mm S/O Laminate,"#2114110=IfcLocalPlacement(#2114087,#2114109)","#31372=IfcProductDefinitionShape($,$,(#31365,#31370))",621127,2110.0,1480.00000000005,,CLD1036.D1
31791,31791,IfcDoor,29Hsm7e3nBbgjoEQy1LxgL,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621145,,1480mm - 2110mm S/O Laminate,"#2114149=IfcLocalPlacement(#2114126,#2114148)","#31783=IfcProductDefinitionShape($,$,(#31776,#31781))",621145,2110.0,1480.00000000005,,CLD1012.D1
32201,32201,IfcDoor,29Hsm7e3nBbgjoEQy1Lxgd,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621163,,1480mm - 2110mm S/O Laminate,"#2114188=IfcLocalPlacement(#2114165,#2114187)","#32193=IfcProductDefinitionShape($,$,(#32186,#32191))",621163,2110.0,1480.00000000005,,CLD1034.D1
32597,32597,IfcDoor,29Hsm7e3nBbgjoEQy1Lxgn,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621181,,1480mm - 2110mm S/O Laminate,"#2114227=IfcLocalPlacement(#2114204,#2114226)","#32589=IfcProductDefinitionShape($,$,(#32582,#32587))",621181,2110.0,1480.00000000005,,CLD1035.D1
33716,33716,IfcDoor,29Hsm7e3nBbgjoEQy1LxfK,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621208,,1480mm - 2110mm S/O Laminate,"#2114301=IfcLocalPlacement(#2114278,#2114300)","#33708=IfcProductDefinitionShape($,$,(#33701,#33706))",621208,2110.0,1480.00000000006,,CLD1016.D1
34118,34118,IfcDoor,29Hsm7e3nBbgjoEQy1Lxfc,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621226,,1480mm - 2110mm S/O Laminate,"#2114340=IfcLocalPlacement(#2114317,#2114339)","#34110=IfcProductDefinitionShape($,$,(#34103,#34108))",621226,2110.0,1480.00000000006,,CLD1015.D1
34519,34519,IfcDoor,29Hsm7e3nBbgjoEQy1Lxfm,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621244,,1480mm - 2110mm S/O Laminate,"#2114379=IfcLocalPlacement(#2114356,#2114378)","#34511=IfcProductDefinitionShape($,$,(#34504,#34509))",621244,2110.0,1480.00000000006,,CLD1014.D1
35873,35873,IfcDoor,29Hsm7e3nBbgjoEQy1Lxe6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462110)",IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621258,,1480mm - 2110mm S/O Laminate,"#2114418=IfcLocalPlacement(#2114395,#2114417)","#35865=IfcProductDefinitionShape($,$,(#35858,#35863))",621258,2110.0,1479.99999999993,,CLD1013.D1
