,Assembly Code,Assembly Description,Manufacturer,Type Comments,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Detail type,DOOR_Material Frame,DOOR_Material Panel,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Frame Thickness,Head Height,Height,Host Partition Thickness,Keynote,Level,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Mark,Width,Ironmongery Set,Model,Appear In Schedule,Frame Depth,Frame Head Depth,Frame Material,Glass Thickness,Panel Glazing Material,Panel Height,Panel Width,Rail Bottom,Rail Head,Stile Left,Stile Right,URL,Door Thickness,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Finish,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,NominalLength,NominalWidth,NominalHeight,DOOR_DoubleSwing,DOOR_KickPlate,DOOR_Vision Panel,DOOR_GlazingThickness,DOOR_KickPlateHeight,DOOR_PanelHeight,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,DOOR_VisionPanelOffset,DOOR_VisionPanelWidth,DOOR_Type,Accessories & Sundry Items,DDA Compliant,Durability Rating,Specification Reference
IfcText('ED-30-402'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 2'),IfcText('External suited cylinder / internal thumbturn.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD60S'),IfcLengthMeasure(40.),IfcLengthMeasure(2260.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 4'),IfcText('ED-30-402'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(150.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-005'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('DT-XX-X-31101'),IfcText('Pathology exit (east)'),IfcText('Emergency push bar.'),IfcText('EDT 1a OP'),"IfcText('Hinged, steel, glazed, single doorset, with overpanel')",IfcLabel('EDT 1a OP - External Single Door (Glazed)_with over panel: EDT 1a OP_1060w x 2535h'),IfcLabel('EDT 1a OP - External Single Door (Glazed)_with over panel: EDT 1a OP_1060w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-30-005'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1a OP - External Single Door (Glazed)_with over panel: EDT 1a OP_1060w x 2535h'),IfcText(''),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-004'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('23.30.10.17.17.21'),IfcText('Panel Folding Doors'),,IfcText('N/A'),IfcText('Visual contrast achieved with manifestation.'),IfcText(''),,,,IfcText(''),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.T.),IfcText('Powered'),IfcText('TBC'),IfcText('PTS Access'),IfcText('External / internal PIR sensors. Fail safe on alarm. Access control reader 'in' / request to exit.'),IfcText('EDT 4a'),"IfcText('Automatic, bi-folding, aluminium-framed glazed, fold in')",IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2150w x 2535h'),IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2150w x 2535h'),IfcText('N/A'),,IfcLengthMeasure(2535.),IfcLengthMeasure(2535.),,IfcText('H11/134A'),IfcLabel('Level: Level 0'),IfcText('ED-30-004'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2535.),IfcLengthMeasure(2150.),IfcLengthMeasure(0.),IfcLengthMeasure(50.8),,IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2150w x 2535h'),IfcText(''),IfcLengthMeasure(2150.),,IfcText(''),IfcBoolean(.T.),IfcLengthMeasure(101.6),IfcLengthMeasure(152.4),IfcText('Grey'),IfcLengthMeasure(6.35),IfcLabel('Glass'),IfcLengthMeasure(2382.6),IfcLengthMeasure(1030.55),IfcLengthMeasure(101.6),IfcLengthMeasure(95.25),IfcLengthMeasure(76.2),IfcLengthMeasure(76.2),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-003'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2474.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('DT-XX-X-31101'),IfcText('SFM locker area'),IfcText('Emergency push bar.'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-30-003'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText(''),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-008'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('23.30.10.17.17.21'),IfcText('Panel Folding Doors'),IfcText('Yes'),IfcText('N/A'),IfcText('Monitored contact. In curtain walling.'),IfcText(''),,,,,IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.T.),IfcText('Powered'),IfcText('TBC'),IfcText('Main entrance - inner'),IfcText('External / internal PIR sensors. Fail safe on alarm. Daytime - open access. Nighttime - access control intercom and reader 'in' / request to exit.'),IfcText('EDT 4a'),"IfcText('Automatic, bi-folding, aluminium-framed glazed, fold in')",IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2730w x 2600'),IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2730w x 2600'),IfcText('N/A'),,IfcLengthMeasure(2600.),IfcLengthMeasure(2600.),,IfcText('H11/134A'),IfcLabel('Level: Level 0'),IfcText('ED-30-008'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2600.),IfcLengthMeasure(2730.),IfcLengthMeasure(0.),IfcLengthMeasure(50.8),,IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2730w x 2600'),IfcText('EDT 18g'),IfcLengthMeasure(2730.),,IfcText(''),IfcBoolean(.T.),IfcLengthMeasure(101.6),IfcLengthMeasure(152.4),IfcText('Grey'),IfcLengthMeasure(6.35),IfcLabel('Glass'),IfcLengthMeasure(2447.6),IfcLengthMeasure(1320.55),IfcLengthMeasure(101.6),IfcLengthMeasure(95.25),IfcLengthMeasure(76.2),IfcLengthMeasure(76.2),IfcText(''),IfcLengthMeasure(0.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-502'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('Plant room to external stair 1'),IfcText('External suited cylinder / internal thumbturn.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2260.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 5'),IfcText('ED-30-502'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(150.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-403'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 2'),IfcText('External suited cylinder / internal thumbturn.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2780.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 4'),IfcText('ED-30-403'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(670.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-504'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),,IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 2'),IfcText('External suited cylinder / internal thumbturn.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(4020.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 5'),IfcText('ED-30-504'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(1910.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-501'),IfcText(''),IfcText(''),,,IfcText('23.30.10.00'),IfcText('Doors'),IfcText('No'),IfcText('N/A'),IfcText('Door is located within louvre'),,,,,,,IfcLabel('Basalt Grey (RAL 7012).'),IfcBoolean(.F.),IfcText('No'),,IfcText('Plant'),IfcText('Deadlock with internal / external suited cylinder.'),IfcText('EDT 3e'),"IfcText('Hinged, louvre screening, double')",IfcLabel('EDT 3e - Equal Double Door Louvre Screening: EDT 3e_2010w x 2200h'),IfcLabel('EDT 3e - Equal Double Door Louvre Screening: EDT 3e_2010w x 2200h'),IfcText('N/A'),,,IfcLengthMeasure(2200.),,IfcText('L10/651'),IfcLabel('Level: Level 5'),IfcText('ED-30-501'),"IfcText('Double Door, Single Swing')",IfcLabel('New Construction'),,,,,,IfcLengthMeasure(44.),,IfcLabel('EDT 3e - Equal Double Door Louvre Screening: EDT 3e_2010w x 2200h'),IfcText('EDT 3e'),IfcLengthMeasure(2009.99999999999),IfcText('E1e'),,,,,,,,,,,,,,,,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcLengthMeasure(15.),IfcLengthMeasure(400.),IfcLengthMeasure(2196.),IfcLengthMeasure(125.),IfcLengthMeasure(1200.),IfcLengthMeasure(1300.),IfcLengthMeasure(650.),IfcLengthMeasure(150.),IfcLengthMeasure(500.),,,,,
IfcText('ED-30-503'),IfcText(''),IfcText(''),,,IfcText('23.30.10.00'),IfcText('Doors'),IfcText('No'),IfcText('N/A'),IfcText('Door is located within louvre'),,,,,,,IfcLabel('Basalt Grey (RAL 7012).'),IfcBoolean(.F.),IfcText('No'),,IfcText('Plant'),IfcText('Deadlock with internal / external suited cylinder.'),IfcText('EDT 3e'),"IfcText('Hinged, louvre screening, double')",IfcLabel('EDT 3e - Equal Double Door Louvre Screening: EDT 3e_2010w x 2200h'),IfcLabel('EDT 3e - Equal Double Door Louvre Screening: EDT 3e_2010w x 2200h'),IfcText('N/A'),,,IfcLengthMeasure(2200.),,IfcText('L10/651'),IfcLabel('Level: Level 5'),IfcText('ED-30-503'),"IfcText('Double Door, Single Swing')",IfcLabel('New Construction'),,,,,,IfcLengthMeasure(44.),,IfcLabel('EDT 3e - Equal Double Door Louvre Screening: EDT 3e_2010w x 2200h'),IfcText('EDT 3e'),IfcLengthMeasure(2009.99999999999),,,,,,,,,,,,,,,,,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcLengthMeasure(15.),IfcLengthMeasure(400.),IfcLengthMeasure(2196.),IfcLengthMeasure(125.),IfcLengthMeasure(1200.),IfcLengthMeasure(1300.),IfcLengthMeasure(650.),IfcLengthMeasure(150.),IfcLengthMeasure(500.),,,,,
IfcText('ED-30-010'),IfcText(''),IfcText(''),,IfcText(''),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('No'),IfcText('N/A'),IfcText('Visual contrast achieved with manifestation.'),,,,,,IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('Powered'),,IfcText('Discharge'),IfcText('External / internal PIR sensors.  Fail safe on alarm'),IfcText('EDT 18a'),"IfcText('Powered, bi-parting sliding doors, aluminium-framed glazed, in curtain walling')",IfcLabel('EDT 18a - Bi-Parting Sliding Door: EDT 18a_2010w x 2200h'),IfcLabel('EDT 18a - Bi-Parting Sliding Door: EDT 18a_2010w x 2200h'),IfcText('N/A'),,IfcLengthMeasure(2512.),IfcLengthMeasure(2512.),,IfcText('H11/138A'),IfcLabel('Level: Level 0'),IfcText('ED-30-010'),,IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('EDT 18a - Bi-Parting Sliding Door: EDT 18a_2010w x 2200h'),IfcText('EDT 18a'),IfcLengthMeasure(1800.),IfcText('as H11/138A'),,,,,IfcText('Grey'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcText('EDT 18a'),,,,
IfcText('ED-30-101'),IfcText(''),IfcText(''),,,IfcText('23.30.10.17.17.24'),IfcText('Bifold Doors'),IfcText('No'),IfcText('N/A'),,,,,,,IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('No'),,IfcText('Restaurant to terrace roof'),IfcText('Secure multi-point lock'),IfcText('EDT 6a'),"IfcText('Folding / sliding, aluminium-framed glazed, in curtain walling')",IfcLabel('EDT 6a - Folding Sliding Door: EDT 6a_5270w x 2495h'),IfcLabel('EDT 6a - Folding Sliding Door: EDT 6a_5270w x 2495h'),IfcText('N/A'),,IfcLengthMeasure(2432.),IfcLengthMeasure(2495.),,IfcText('L20/491'),IfcLabel('Level: Level 1'),IfcText('ED-30-101'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2495.),IfcLengthMeasure(5150.),IfcLengthMeasure(-62.9999999999998),IfcLengthMeasure(50.),,IfcLabel('EDT 6a - Folding Sliding Door: EDT 6a_5270w x 2495h'),IfcText(''),IfcLengthMeasure(5150.),,,,,,IfcText('Orange (RAL 2001)'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-007'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('23.30.10.17.11'),IfcText('Sliding Doors'),IfcText('No'),IfcText('N/A'),IfcText('Visual contrast achieved with manifestation.'),IfcText(''),,,,,IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('Powered'),,IfcText('Main entrance - outer'),IfcText('External / internal PIR sensors.  Fail safe on alarm'),IfcText('EDT 9a'),"IfcText('Powered, telescopic sliding doors, aluminium-framed glazed, in curtain walling')",IfcLabel('EDT 9a - Telescopic sliding door within wall: EDT 9a_3560w x 2290h'),IfcLabel('EDT 9a - Telescopic sliding door within wall: EDT 9a_3560w x 2290h'),IfcText('N/A'),,IfcLengthMeasure(2290.),IfcLengthMeasure(2290.),,IfcText('L20/491'),IfcLabel('Level: Level 0'),IfcText('ED-30-007'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2290.),IfcLengthMeasure(3560.),IfcLengthMeasure(0.),IfcLengthMeasure(50.8),,IfcLabel('EDT 9a - Telescopic sliding door within wall: EDT 9a_3560w x 2290h'),IfcText('EDT 7vvv'),IfcLengthMeasure(3560.),,IfcText(''),IfcBoolean(.T.),IfcLengthMeasure(152.4),IfcLengthMeasure(203.2),,IfcLengthMeasure(6.35),IfcLabel('Glass'),IfcLengthMeasure(2137.6),IfcLengthMeasure(1180.31666666667),IfcLengthMeasure(101.6),IfcLengthMeasure(95.25),IfcLengthMeasure(63.5),IfcLengthMeasure(63.5),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-metal gate'),IfcText(''),IfcText(''),IfcText(''),IfcText('Gate 2'),IfcText(''),IfcText(''),,,,IfcText('External Single Gate'),IfcLengthMeasure(1008.),IfcLengthMeasure(10.),IfcLengthMeasure(866.),,,,,,,,,,,IfcLabel('Metal Gate - Railing: Gate_1200 x 1500 mm'),IfcLabel('Metal Gate - Railing: Gate_1200 x 1500 mm'),,IfcLengthMeasure(32.),IfcLengthMeasure(1100.),IfcLengthMeasure(1100.),IfcLengthMeasure(40.0000000009775),IfcText(''),IfcLabel('Level: Level 0'),IfcText('ED-metal gate'),IfcText('SingleDoorSingleSwing'),IfcLabel('New Construction'),,IfcLengthMeasure(1500.),IfcLengthMeasure(1100.),IfcLengthMeasure(950.),IfcLengthMeasure(0.),IfcLengthMeasure(10.),,IfcLabel('Metal Gate - Railing: Gate_1200 x 1500 mm'),IfcText('EDT 18l'),IfcLengthMeasure(950.),IfcText('TBC'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcText('TBC')
