,Assembly Code,Assembly Description,Access Control,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,DOOR_Power,Vision Panel,Accessories & Sundry Items,Durability Rating,Fire Designation,Main Panel Width,Secondary Panel Width,Acoustic Designation,AssetIdentifier,Colour,Comments,Constituents,Features,Grade,InstallationDate,Material,NBSDescription,NBSNote,NBSReference,NBSTypeID,NominalHeight,NominalLength,NominalWidth,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts
IfcText('ADM2010.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('25te3jlEfAZAeuE1Zpe8bW'),IfcText('G02'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2010.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM2010.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2011.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('25te3jlEfAZAeuE1Zpe8bE'),,IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2011.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM2011.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2021.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('25te3jlEfAZAeuE1Zpe8ci'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2021.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM2021.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2009.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('25te3jlEfAZAeuE1Zpe8dW'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2009.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM2009.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2007.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('25te3jlEfAZAeuE1Zpe8dQ'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2007.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM2007.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2004.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('25te3jlEfAZAeuE1Zpe8Oo'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2004.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM2004.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2005.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('25te3jlEfAZAeuE1Zpe8Oa'),IfcText('G02'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2005.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM2005.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2012.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('Yes'),IfcText('SD/SS'),IfcLengthMeasure(2052.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1e*'),IfcBoolean(.F.),IfcLabel('IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate'),IfcLabel('IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(0.),IfcText('6'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(149.999999999992),IfcText('18q3DnfUf54OycVnGXBcRb'),,IfcText('L11/579A'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2012.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2060.),IfcLengthMeasure(976.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate'),IfcText('SD/SS'),IfcText('285'),IfcLengthMeasure(976.),,,,,,,,IfcText(''),,,IfcText('Part of Glazed Screen ADM2012.S1'),,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2022.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('IBT 07'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1e'),IfcBoolean(.F.),IfcLabel('IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('18q3DnfUf54OycVnGXBcQ$'),IfcText('16'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2022.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.000000000969),IfcLabel('IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('287'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2023.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('IBT 07'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1e'),IfcBoolean(.F.),IfcLabel('IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('18q3DnfUf54OycVnGXBcP5'),,IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2023.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.000000000969),IfcLabel('IDT 1e - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('287'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2024.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('Yes'),IfcText('SD/SS'),IfcLengthMeasure(2052.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1e*'),IfcBoolean(.F.),IfcLabel('IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate'),IfcLabel('IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(0.),IfcText('6'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(149.999999999992),IfcText('18q3DnfUf54OycVnGXBcOR'),,IfcText('L11/579A'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2024.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2060.),IfcLengthMeasure(976.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1e - Single Door (Glazed) Frameless: 976mm - 2060mm S/O Frameless Laminate'),IfcText('SD/SS'),IfcText('285'),IfcLengthMeasure(976.),,,,,,,,,,,IfcText('Part of Glazed Screen ADM2024.S1'),,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2C01.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2_YIfZpu939QgE7KxQLFN8'),,IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ADM2C01.D1'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('278'),IfcLengthMeasure(1910.),IfcText('Hold Open'),,,,IfcText('FD30S'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2040.D1'),IfcText(''),IfcText(''),,,,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcText(''),IfcText('Aluminum'),,,IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('0UUD3JkzH348HiB5LzQN7p'),,IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2040.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),,IfcText('289'),IfcLengthMeasure(870.),,,,,,,,,IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2C02.D2'),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),,,IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0UUD3JkzH348HiB5LzQNTB'),IfcText('03'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2C02.D2'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(102.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('154'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2041.D1'),IfcText(''),IfcText(''),,,,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcText(''),IfcText('Aluminum'),,,IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('0eKMROTUP57PgYYbDuMQO5'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2041.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),,IfcText('289'),IfcLengthMeasure(870.),,,,,,,,,IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2047.D1'),IfcText(''),IfcText(''),,,,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcText(''),IfcText('Aluminum'),,,IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('0eKMROTUP57PgYYbDuMQ4w'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2047.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),,IfcText('289'),IfcLengthMeasure(870.),,,,,,,,,IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2046.D1'),IfcText(''),IfcText(''),,,,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcText(''),IfcText('Aluminum'),,,IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('0eKMROTUP57PgYYbDuMQ4o'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2046.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),,IfcText('289'),IfcLengthMeasure(870.),,,,,,,,,IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2034.D1'),IfcText(''),IfcText(''),,,,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcText(''),IfcText('Aluminum'),,,IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('0eKMROTUP57PgYYbDuMQ4g'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2034.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),,IfcText('289'),IfcLengthMeasure(870.),,,,,,,,,IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2035.D1'),IfcText(''),IfcText(''),,,,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcText(''),IfcText('Aluminum'),,,IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('0eKMROTUP57PgYYbDuMQ4Y'),,IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2035.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),,IfcText('289'),IfcLengthMeasure(870.),,,,,,,,,IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM2037.D1'),IfcText(''),IfcText(''),,,,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),IfcText(''),IfcText('Aluminum'),,,IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('0eKMROTUP57PgYYbDuMQ4A'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('ADM2037.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 870 - 2060mm S/O'),,IfcText('289'),IfcLengthMeasure(870.),,,,,,,,,IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
