,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,DOOR_Power,Vision Panel,Accessories & Sundry Items,Durability Rating,Fire Designation,Main Panel Width,Secondary Panel Width,Comments,DOOR_Acoustic Rating
IfcText('PHA0013.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2RWfgPhMvFJ8Sv6ma2X77x'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0013.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J34'),IfcLengthMeasure(1060.),,,,,IfcText('FD30S'),,,,
IfcText('PHA0015.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('30dB'),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1b'),IfcBoolean(.F.),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0Uqi0gVY5A6uYkr6jWXTyH'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0015.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J23'),IfcLengthMeasure(1060.),,,,,IfcText('FD30S'),,,,
IfcText('PHA0016.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('30dB'),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1b'),IfcBoolean(.F.),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0Uqi0gVY5A6uYkr6jWXTyB'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0016.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J23'),IfcLengthMeasure(1060.),,,,,IfcText('FD30S'),,,,
IfcText('PHA0014.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1b'),IfcBoolean(.F.),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0Uqi0gVY5A6uYkr6jWXTxZ'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0014.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J23'),IfcLengthMeasure(1060.),,,,,IfcText('FD30S'),,,,
IfcText('PHA0012.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1b'),IfcBoolean(.F.),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0Uqi0gVY5A6uYkr6jWXTq7'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0012.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J23'),IfcLengthMeasure(1060.),,,,,IfcText('FD30S'),,,,
IfcText('PHA0017.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(816.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold Room'),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold Room'),IfcText(''),IfcText(''),IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1_Or0aIMD8wRQR1n_WF_Eh'),IfcText('Supplied by Specialist Contractor'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0017.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(900.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(80.),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold Room'),IfcText('SD/SS'),IfcText('J115'),IfcLengthMeasure(900.),,,,,,,,IfcText('Cold Room doors specified and supplied by specialist'),
IfcText('PHA0019.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1_Or0aIMD8wRQR1n_WF_Bn'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0019.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J37'),IfcLengthMeasure(810.),,,,,,,,,
IfcText('PHA0020.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1_Or0aIMD8wRQR1n_WF_Aw'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0020.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J37'),IfcLengthMeasure(810.),,,,,,,,,
IfcText('PHA0001.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('Yes'),,IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3ytGJK$tvDOwdAP4VmV2iE'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0001.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J34'),IfcLengthMeasure(1060.),,,,,,,,IfcText('Add closer and maglock'),
IfcText('PHA0011.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1b'),IfcBoolean(.F.),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('36wFjvM4b0ivrliabUbFol'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0011.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J23'),IfcLengthMeasure(1060.),,,,,IfcText('FD30S'),,,,
IfcText('PHA0009.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2b'),IfcBoolean(.F.),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),,IfcText('3eU0YvCT97_9DJGqZfupOI'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('PHA0009.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J47'),IfcLengthMeasure(1510.),,,,,IfcText(''),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,IfcText('TBC')
IfcText('PHA0009.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3eU0YvCT97_9DJGqZfupUx'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0009.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J34'),IfcLengthMeasure(1060.),,,,,,,,,
IfcText('PHA0023.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3eU0YvCT97_9DJGqZfupS2'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('PHA0023.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O'),IfcText('SD/SS (GL)'),IfcText('J116'),IfcLengthMeasure(1060.),,,,,,,,,
