,Assembly Code,Assembly Description,DOOR_Radiation Protection,Sill Height,Blind Type,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Protection,DOOR_Signage,DOOR_Type,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Comments,Ironmongery Set,DOOR_Acoustic Rating,DOOR_Power,Main Panel Width,Secondary Panel Width,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,NominalLength,NominalWidth,NominalHeight,Vision Panel,DOOR_Wall Thickness,FrameDepth,FrameWidth,Heat Transfer Coefficient (U),O/A Frame Width,Solar Heat Gain Coefficient,Thermal Resistance (R),Visual Light Transmittance,Accessories & Sundry Items,Durability Rating
IfcText('CAT1010.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick/Edge'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyylw'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1010.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,IfcText('05a*'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1010.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick/Edge'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyymx'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1010.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,IfcText('05a*'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1005.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),,IfcText('30dB'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyyzd'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1005.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('270'),IfcLengthMeasure(1060.),,IfcText('06b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1013.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyy3e'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1013.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1C03.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick/Edge'),IfcText('Yes'),IfcText('IDT 2b'),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),,IfcText('3AvxvuQ$L0dhUGn6vfyy3w'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('ENT1C03.D2'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(122.000000000964),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('166'),IfcLengthMeasure(1510.),,IfcText('17j'),IfcText('TBC'),IfcText('Delayed Close'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1011.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyyBE'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1011.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('270'),IfcLengthMeasure(1060.),,IfcText('06b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1008.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyyET'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1008.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1006.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyyF0'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1006.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1001.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick/Edge'),IfcText(''),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfyyKX'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1001.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('270'),IfcLengthMeasure(1060.),,IfcText('05aDA*'),,IfcText('Delayed Close'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1014.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(816.),IfcText('TBC'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold room'),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold room'),IfcText(''),,IfcText(''),IfcLengthMeasure(32.),IfcText(''),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfy$bv'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1014.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(900.),IfcLengthMeasure(38.),IfcLengthMeasure(75.),IfcLabel('IDT 1d - Single Door: 900mm - 2110mm S/O Cold room'),IfcText('SD/SS'),IfcText('289'),IfcLengthMeasure(900.),IfcText('Freezer Room doors specified and supplied by specialist'),IfcText('Supplied by Specialist Contractor'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1007.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),,,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3AvxvuQ$L0dhUGn6vfy$dj'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1007.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('270'),IfcLengthMeasure(1060.),,IfcText('05aDA'),,IfcText('Delayed Close'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1003.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1oVXzpHmT9lxht68NCvCH1'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('CAT1003.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,,,IfcText('Delayed Close'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('CAT1001.D2'),IfcText(''),IfcText(''),,IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.T.),,,IfcText('23.30.10.00'),IfcText('Doors'),,,,,,,,,,IfcText('IDT 6c'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1950mm - 2330mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1950mm - 2330mm S/O'),IfcText(''),IfcText('FD60S'),IfcText(''),,,IfcLengthMeasure(2330.),IfcLengthMeasure(2330.),,IfcText('1oVXzpHmT9lxht68NCvCpV'),IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('CAT1001.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,,,,,,IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1950mm - 2330mm S/O'),,IfcText('290'),IfcLengthMeasure(1950.),IfcText('Part of Glazed Screen CAT1001.S1'),IfcText('G09'),,IfcText('Delayed Close'),,,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcLengthMeasure(1004.),,,,,,,,,,,
IfcText('CIR0119.D1'),IfcText(''),IfcText(''),,IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.T.),,,IfcText('23.30.10.00'),IfcText('Doors'),,IfcText(''),,,,,,,,IfcText('IDT 6c'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2010mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2010mm S/O'),IfcText(''),IfcText('FD60S'),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('2o4RbbQXP3xOJOcr3TaM76'),IfcText('L11/579'),IfcLabel('Level: Level 0'),,IfcText('CIR0119.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,,,,,,IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2010mm S/O'),,IfcText('304'),IfcLengthMeasure(1824.),IfcText('Part of Glazed Screen CIR0119.S1'),IfcText('G08'),,,,,IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcLengthMeasure(1004.),,,,,,,,,,,
IfcText('CAT1002.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('ROLL'),,IfcLengthMeasure(44.),,IfcText('TBC'),IfcText(''),IfcText('TBC'),IfcText('IDT 9a'),IfcLabel('IDT 9a - Roller Shutter: 3553 x 2700mm'),IfcLabel('IDT 9a - Roller Shutter: 3553 x 2700mm'),,,,,,IfcLengthMeasure(2700.),IfcLengthMeasure(2700.),,IfcText('0zP6DyETr0rAtMmbkHgvkW'),IfcText('L20'),IfcLabel('Level: Level 1'),,IfcText('CAT1002.D2'),IfcText('Roller Shutter'),IfcLabel('New Construction'),,,IfcLengthMeasure(2700.),IfcLengthMeasure(3553.),IfcLengthMeasure(44.),IfcLengthMeasure(97.0000000009612),IfcLabel('IDT 9a - Roller Shutter: 3553 x 2700mm'),IfcText('Roller Shutter'),IfcText('293'),IfcLengthMeasure(3553.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcBoolean(.F.),IfcLengthMeasure(299.999999999983),IfcLengthMeasure(89.),IfcLengthMeasure(42.),IfcReal(3.7021),IfcLengthMeasure(64.),IfcReal(0.),IfcReal(0.270116960643959),IfcReal(0.),,
IfcText('CAT1002.D3'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),,,IfcText('ROLL'),,IfcLengthMeasure(44.),,IfcText('TBC'),IfcText(''),IfcText('TBC'),IfcText('IDT 9a'),IfcLabel('IDT 9a - Roller Shutter: 3553 x 2700mm'),IfcLabel('IDT 9a - Roller Shutter: 3553 x 2700mm'),,,,,,IfcLengthMeasure(2700.),IfcLengthMeasure(2700.),,IfcText('0zP6DyETr0rAtMmbkHgvY6'),IfcText('L20'),IfcLabel('Level: Level 1'),,IfcText('CAT1002.D3'),IfcText('Roller Shutter'),IfcLabel('New Construction'),,,IfcLengthMeasure(2700.),IfcLengthMeasure(3553.),IfcLengthMeasure(44.),IfcLengthMeasure(97.0000000009612),IfcLabel('IDT 9a - Roller Shutter: 3553 x 2700mm'),IfcText('Roller Shutter'),IfcText('293'),IfcLengthMeasure(3553.),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcBoolean(.F.),IfcLengthMeasure(299.999999999983),IfcLengthMeasure(89.),IfcLengthMeasure(42.),IfcReal(3.7021),IfcLengthMeasure(64.),IfcReal(0.),IfcReal(0.270116960643959),IfcReal(0.),,
IfcText('ENT0017.D2'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0L1WWT9VL7MQ35P6WG30ev'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0017.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,IfcText('03b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT0017.D3'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(626.),IfcText('TBC'),IfcText('Kick'),IfcText(''),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0L1WWT9VL7MQ35P6WG30fV'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0017.D3'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(710.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 710mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('249'),IfcLengthMeasure(710.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
