,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Blind Type,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Power,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Manufacturer,Fire Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Acoustic Rating
IfcText('INT2053.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),,IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('35hRcfGRr5keLh9_HxYNot'),IfcText('42a'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2053.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('DD/SS'),IfcText('J127'),IfcLengthMeasure(1910.),,,,,,,,
IfcText('INT2035.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3WJPTgsQj68g6M8a0$1PgC'),IfcText('05bDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2035.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText('FD30S'),,,,,,
IfcText('INT2014.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3WJPTgsQj68g6M8a0$1Pge'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2014.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText(''),,,,,,
IfcText('INT2081.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3vgEI00sH0KfKDHGDeerzd'),IfcText('05bDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2081.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText('FD30S'),,,,,,
IfcText('INT2080.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3vgEI00sH0KfKDHGDeeryX'),IfcText('05bDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2080.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText('FD30S'),,,,,,
IfcText('INT2076.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3vgEI00sH0KfKDHGDeer$R'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2076.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2077.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3vgEI00sH0KfKDHGDeer_P'),IfcText('05bDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2077.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText('FD30S'),,,,,,
IfcText('INT2075.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,,IfcText('IBT 03'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3vgEI00sH0KfKDHGDeernx'),IfcText('19c'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('INT2075.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('SD/SS (GL)'),IfcText('J229'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2075.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('3vgEI00sH0KfKDHGDeewDw'),IfcText('13c'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('INT2075.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(112.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('DD/SS'),IfcText('J216'),IfcLengthMeasure(1910.),,,,,,,,
IfcText('INT2050.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0ALC_o2ob109WN4kD4wlea'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2050.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2050.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,,IfcText('IBT 03'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText('Code 5'),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0ALC_o2ob109WN4kD4wlfI'),IfcText('19c+'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('INT2050.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('SD/SS (GL)'),IfcText('J229'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2046.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0ALC_o2ob109WN4kD4wlMT'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2046.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2046.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,,IfcText('IBT 03'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText('Code 5'),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0ALC_o2ob109WN4kD4wlMr'),IfcText('19c+'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('INT2046.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('SD/SS (GL)'),IfcText('J229'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2052.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0ALC_o2ob109WN4kD4wlKs'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2052.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2022.D3'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('Interlink'),IfcText(''),IfcText('IBT 05'),IfcText('Blind - Laser. Interlinked with INT2018.D2. Add maglock'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3fxzMoSEr8GPjf5PjV3wa_'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2022.D3'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J226'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2018.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('3fxzMoSEr8GPjf5PjV3vF9'),IfcText('13a+'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2018.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('DD/SS'),IfcText('J127'),IfcLengthMeasure(1910.),,,,,,,,
IfcText('INT2020.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,,IfcText('IBT 05'),IfcText('Blind - Laser'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1126.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3Wjc8hKST0IAYrAjKLK_Ev'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2020.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J222'),IfcLengthMeasure(1210.),IfcText('Revit'),,,,,,,
IfcText('INT2071.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),,IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2qZnSitzPDCAyJVJrIAJsU'),IfcText('19c'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('INT2071.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(112.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('DD/SS'),IfcText('J216'),IfcLengthMeasure(1910.),,,,,,,,
IfcText('INT2115.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3rnhO5rX92Xf8ZdYEvja4T'),IfcText('03e'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2115.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J84'),IfcLengthMeasure(810.),IfcText('Revit'),,,,,,,
