,Assembly Code,Assembly Description,Access Control,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Power,Fire Designation,Acoustic Designation,Comments,DOOR_Acoustic Rating,Spec Ref,DOOR_Wall Thickness,FrameDepth,FrameWidth,Heat Transfer Coefficient (U),O/A Frame Width,Solar Heat Gain Coefficient,Thermal Resistance (R),Visual Light Transmittance
IfcText('ACU2C03.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('0AcAo2VQn4rQjj5WAAoGLZ'),IfcText('12e*'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACU2C03.D1'),IfcText(''),IfcText(''),IfcText('Double Door Double Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcText('DD/SS (GL)'),IfcText('J77'),IfcLengthMeasure(1910.),,,,,,IfcText('Hold Open'),IfcText('FD30S'),,,,,,,,,,,,
IfcText('ACU2133.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('395gRWTxT7LR4RZFef2KMU'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2133.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,IfcText(''),,,,,,,,,,,,,
IfcText('ACU2C04.D2'),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1Q9dE5QdbDde4ZkKzpcd7$'),IfcText('11*'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACU2C04.D2'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('J73'),IfcLengthMeasure(1910.),,,,,,,IfcText('FD30S'),,,,,,,,,,,,
IfcText('ACU2129.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1Q9dE5QdbDde4ZkKzpcd7v'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2129.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,
IfcText('ACC2031.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2010.),IfcLengthMeasure(32.),IfcLengthMeasure(850.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2e*'),IfcBoolean(.F.),IfcLabel('IDT 2e - Double Unequal Door Frameless: 1424mm - 2060mm S/O Frameless Laminate'),IfcLabel('IDT 2e - Double Unequal Door Frameless: 1424mm - 2060mm S/O Frameless Laminate'),IfcText('Laminate'),IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('2d7dxMhAXBluu0C6ujZ7sX'),IfcText('17b'),IfcText('L11/579A'),IfcLabel('Level: Level 2'),,IfcText('ACC2031.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2060.),IfcLengthMeasure(1424.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2e - Double Unequal Door Frameless: 1424mm - 2060mm S/O Frameless Laminate'),IfcText('DUD/SS (GL)'),IfcText('J248'),IfcLengthMeasure(1424.),,,,IfcLengthMeasure(850.),IfcLengthMeasure(485.),,IfcText(''),IfcText('30dB'),IfcText('Part of Glazed Screen ACC2031.S1'),IfcText('TBC'),,,,,,,,,
IfcText('ACC2019.D2'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('0ZRKXF_Nz3WBZe6_HE2rWJ'),IfcText('13c'),IfcText('L20/436'),IfcLabel('Level: Level 2'),,IfcText('ACC2019.D2'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(112.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('DD/SS'),IfcText('J229'),IfcLengthMeasure(1910.),,,,,,IfcText('Delayed Close'),,IfcText('30dB'),,,,,,,,,,,
IfcText('ACU2135.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1gR3oolYX4B8WA4R2DB_IS'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2135.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,,IfcText(''),,,,,,,,,,,,
IfcText('ACU2142.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('1lPdJF5lr7Kh_DOn4sB$jF'),IfcText('02'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACU2142.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J60'),IfcLengthMeasure(1510.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,
IfcText('ACU2142.D2'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('1lPdJF5lr7Kh_DOn4sB$jg'),IfcText('02'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACU2142.D2'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J60'),IfcLengthMeasure(1510.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,
IfcText('ACU2110.D1'),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0WaofehdD74RHKYzaM7YLa'),IfcText('04'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2110.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,,IfcText('FD30S'),,,,,,,,,,,,
IfcText('ACU2132.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0WaofehdD74RHKYzaM7YT1'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2132.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J207'),IfcLengthMeasure(1060.),,,,,,,,IfcText(''),,,,,,,,,,,
IfcText('ACU2177.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0WaofehdD74RHKYzaM7YT0'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2177.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,
IfcText('ACU2181.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0WaofehdD74RHKYzaM7YSK'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2181.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J207'),IfcLengthMeasure(1060.),,,,,,,,IfcText(''),,,,,,,,,,,
IfcText('ACU2130.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('0WaofehdD74RHKYzaM7YV6'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACU2130.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J60'),IfcLengthMeasure(1510.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,
IfcText('ACC2047.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('3FUg7aTk9CvPBQaDRa88Mv'),IfcText('42'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACC2047.D1'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS'),IfcText('J83'),IfcLengthMeasure(1910.),,,,,,IfcText('Delayed Close'),,,,,,,,,,,,,
IfcText('ACC2002.D2'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2WDBiWkCDDoRInRrkxb6u4'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACC2002.D2'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,,,,IfcText(''),,,,,,,,,,
IfcText('ACU2197.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3BRCgC_uv3Nhr99iv1EggI'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACU2197.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,,,,IfcText(''),,,,,,,,,,
IfcText('ACU2111A.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1710mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1710mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText(''),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACU2111A.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1710.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1710mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J63'),IfcLengthMeasure(1710.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(721.),,,,,,,,,,,,,,
IfcText('ACU2111.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),,IfcText(''),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACU2111.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J237'),IfcLengthMeasure(1480.),,,,IfcLengthMeasure(900.),IfcLengthMeasure(491.),,IfcText(''),IfcText('30dB'),,IfcText('TBC'),,,,,,,,,
