,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Access Control,Blind Type,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Power,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Fire Designation,Vision Panel,Accessories & Sundry Items,Acoustic Designation,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Acoustic Rating
IfcText('MAT3214.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3214.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J162'),IfcLengthMeasure(1060.),,,,,,,,
IfcText('MAT3217.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3217.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J162'),IfcLengthMeasure(1060.),,,,,,,,
IfcText('MAT3214.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('IBT 02'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA+'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3214.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J164'),IfcLengthMeasure(1060.),,,,IfcText(''),,,,
IfcText('MAT3215.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('IBT 02'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1126.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3215.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J166'),IfcLengthMeasure(1210.),,,,IfcText(''),,,,
IfcText('MAT3219.D3'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('IBT 02'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3219.D3'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J164'),IfcLengthMeasure(1060.),,,,IfcText(''),,,,
IfcText('MAT3219.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3219.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J162'),IfcLengthMeasure(1060.),,,,,,,,
IfcText('MAT3219.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('IBT 02'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3219.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J164'),IfcLengthMeasure(1060.),,,,IfcText(''),,,,
IfcText('MAT3221.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3221.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J162'),IfcLengthMeasure(1060.),,,,,,,,
IfcText('MAT3223.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('IBT 02'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1126.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3223.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J166'),IfcLengthMeasure(1210.),,,,IfcText(''),,,,
IfcText('MAT3223.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1126.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1210mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1210mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3223.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1210mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J165'),IfcLengthMeasure(1210.),,,,IfcText(''),,,,
IfcText('MAT3224.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('IBT 02'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O PVC'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA+'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3224.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J168'),IfcLengthMeasure(1060.),,,,IfcText(''),,,,
IfcText('MAT3224.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3224.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J162'),IfcLengthMeasure(1060.),,,,,,,,
IfcText('MAT3201.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O PVC'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('17c'),IfcText('L20/435'),IfcLabel('Level: Level 3'),,IfcText('MAT3201.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O PVC'),IfcText('DUD/SS'),IfcText('J157'),IfcLengthMeasure(1510.),IfcText('FD30S'),IfcBoolean(.F.),IfcText(''),,IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),
IfcText('MAT3202.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('06a'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3202.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J162'),IfcLengthMeasure(1060.),IfcText('FD30S'),,,,,,,
IfcText('MAT3C15.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('21dDA'),IfcText('L20/435'),IfcLabel('Level: Level 3'),,IfcText('MAT3C15.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('DD/SS (GL)'),IfcText('J159'),IfcLengthMeasure(1910.),IfcText('FD30S'),,,,,,,
IfcText('MAT3200.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3200.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),IfcLengthMeasure(1060.),,,,,,,,
IfcText('MAT3207.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05a'),IfcText('L20/431'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3207.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J41'),IfcLengthMeasure(810.),,,,,,,,
IfcText('MAT3209.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3209.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J41'),IfcLengthMeasure(810.),,,,,,,,
IfcText('MAT3208.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3208.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J41'),IfcLengthMeasure(810.),,,,,,,,
IfcText('MAT3203.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('06a'),IfcText('L20/435'),IfcLabel('Level: Level 3'),IfcText('Revit'),IfcText('MAT3203.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J162'),IfcLengthMeasure(1060.),IfcText('FD30S'),,,,,,,
