,Assembly Code,Assembly Description,Type Comments,OmniClass Number,OmniClass Title,Acoustic Designation,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Detail type,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Frame Thickness,Head Height,Height,Host Partition Thickness,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Mark,Width
IfcText('ED-30-001'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('External pull handle. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcBoolean(.T.),IfcText('Delayed action self closing'),IfcText('DT-XX-X-31102'),IfcText('SFM locker area'),IfcText('Access control reader 'in' / request to exit.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText(''),IfcText('ED-30-001'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(364.000000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('EDT 7aaa'),IfcLengthMeasure(1060.)
IfcText('ED-30-002'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Monitored contact 24hr. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcBoolean(.F.),IfcText('TBC'),IfcText('DT-XX-X-31102'),IfcText('SFM locker area'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText(''),IfcText('ED-30-002'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(364.000000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('EDT 7aaa'),IfcLengthMeasure(1060.)
