,Ironmongery Set,Mapped Ironmongery Set,Comparison
339,17b,17b,True
340,17b,17b,True
341,03b,03b,True
342,03b,03b,True
343,06b,06b,True
344,06b,06b,True
345,06b,06b,True
346,16,16,True
347,06b,06b,True
348,03b,03b,True
349,03b,03b,True
350,03DA,03DA,True
351,03b,03b,True
352,03b,03b,True
353,06b,06b,True
354,17c,17c,True
355,08f,08f,True
356,06b,06b,True
357,21cDA,21cDA,True
358,01*,01*,True
359,12*,12*,True
360,45,45,True
361,17a,17a,True
362,17a,17a,True
363,nan,33c,False
364,nan,33c,False
365,nan,03b,True
366,nan,05a,True
367,05a,05a,True
368,33d,33d,True
369,nan,06b,True
370,03b,03b,True
371,nan,06b,True
372,09a,09a,True
373,33g,33g,True
374,05a*,05a*,True
375,05a*,05a*,True
376,06b,06b,True
377,nan,06b,True
378,17j,17j,True
379,06b,06b,True
380,nan,06b,True
381,nan,6,True
382,05aDA*,05aDA*,True
383,Supplied by Specialist Contractor,0,False
384,05aDA,05aDA,True
385,nan,05DA,True
386,G09,0,False
387,G08,0,False
388,nan,,False
389,,,False
390,03b,03b,True
391,nan,03b,True
392,03b,03b,True
393,nan,03b,True
394,03b,03b,True
395,03b,03b,True
396,nan,03b,True
397,03b,03b,True
398,Supplied by Specialist Contractor,0,False
399,17c,17c,True
400,05DA,05DA,True
401,nan,9,True
402,nan,9,True
403,nan,,False
404,TBC,,False
405,3,3,True
406,3,3,True
407,nan,03DA,True
408,06b,06b,True
409,nan,17c,True
410,nan,3,True
411,nan,3,True
412,nan,3,True
413,06b,06b,True
414,17c,17c,True
415,G02,0,False
416,nan,0,False
417,G04,0,False
418,G04,0,False
419,nan,0,False
420,nan,0,False
421,G04,0,False
422,G04,0,False
423,nan,0,False
424,nan,0,False
425,G04,0,False
426,G04,0,False
427,nan,0,False
428,G04,0,False
429,G04,0,False
430,G04,0,False
431,G04,0,False
432,G02,0,False
433,nan,0,False
434,G04,0,False
435,G04,0,False
436,G04,0,False
437,G04,0,False
438,G02,0,False
439,nan,0,False
440,16,16,True
441,nan,16,True
442,nan,0,False
443,nan,12,True
444,nan,,False
445,3,,False
446,G04,,False
447,G04,,False
448,G04,,False
449,G04,,False
450,nan,,False
451,G04,,False
452,G04,,False
453,nan,,False
454,nan,,False
455,G04,,False
456,G04,,False
457,nan,,False
458,G04,,False
459,nan,,False
460,G04,,False
461,G04,,False
462,nan,,False
463,G04,,False
464,nan,,False
465,nan,E3a,False
466,nan,E4a,False
467,nan,E4b,False
468,nan,E3a,False
469,nan,E4b,False
470,nan,E4b,False
471,nan,E4a,False
472,nan,E4b,False
473,nan,E4b,False
474,E1b,E1b,True
475,nan,E4b,False
476,nan,E4b,False
477,nan,E4b,False
478,nan,E4a,False
479,nan,as H11/134A,True
480,nan,E4a,False
481,nan,as H11/134A,True
482,nan,E4b,False
483,nan,E4b,False
484,nan,E4b,False
485,E1e,E1e,True
486,nan,E1e,True
487,as H11/138A,as H11/138A,True
488,nan,as L20/491,False
489,nan,as H11/135A,False
490,TBC,,False
491,E1c,E1c,True
492,nan,E1c,True
493,nan,E1c,True
494,nan,E1c,True
495,nan,E1c,True
496,nan,E1c,True
497,nan,E1c,True
498,E1f,E1f,True
499,E1a,E1a,True
500,nan,E1f,True
501,nan,E1c,True
502,nan,E1c,True
503,nan,E1c,True
504,nan,E1c,True
505,E1c,E1c,True
506,nan,E1c,True
507,nan,E1c,True
508,nan,E1c,True
509,E6b,E6b,True
510,nan,E6b,True
511,E6a,E6a,True
512,E6a,E6a,True
513,E1a,E1a,True
514,nan,E1a,True
515,E1e,E1e,True
516,nan,E1e,True
517,E1e,E1e,True
518,nan,E1d,True
519,E1d,E1d,True
520,nan,E1a,True
521,E1c,E1c,True
522,nan,E1c,True
523,E1a,E1a,True
524,E1f,E1f,True
525,nan,E1c,True
526,nan,E3a,False
527,nan,E1c,True
528,nan,E1c,True
529,E1a,E1a,True
530,nan,E1c,True
531,E1a,E1a,True
532,E1c,E1c,True
533,E1c,E1c,True
534,E1e,,False
535,nan,E1c,True
536,nan,E1a,True
537,E1a,E1a,True
538,nan,,False
539,nan,E1a,True
540,6,6,True
541,19a,19a,True
542,19a,19a,True
543,26b,26b,True
544,26b,26b,True
545,49,49,True
546,18,18,True
547,19a,19a,True
