,Ironmongery Set,Mapped Ironmongery Set,Comparison
1372,07b,07b,True
1373,48,48,True
1374,48,48,True
1375,nan,5,True
1376,5,5,True
1377,42,42,True
1378,nan,06b,True
1379,nan,9,True
1380,nan,9,True
1381,9,9,True
1382,9,9,True
1383,9,9,True
1384,08h,08h,True
1385,nan,11hDA,False
1386,nan,09a,True
1387,17k,17k,True
1388,nan,21cDA,True
1389,nan,9,True
1390,9,9,True
1391,9,9,True
1392,9,9,True
1393,09a,09a,True
1394,nan,9,True
1395,9,9,True
1396,nan,9,True
1397,09b,09b,True
1398,09b,09b,True
1399,nan,09b,True
1400,17,17,True
1401,nan,03b,True
1402,08c,08c,True
1403,46,46,True
1404,nan,07a,True
1405,nan,11,True
1406,06b,06b,True
1407,33g,33g,True
1408,21a,21a,True
1409,nan,17a,True
1410,nan,17a,True
1411,17aFP,17aFP,True
1412,17a,17a,True
1413,nan,09a,True
1414,17a,17a,True
1415,nan,09a,True
1416,11t,11t,True
1417,08k,08k,True
1418,46,46,True
1419,11j,11j,True
1420,31,31,True
1421,nan,31,True
1422,nan,7,True
1423,7,7,True
1424,7,7,True
1425,nan,7,True
1426,06b,06b,True
1427,08c,08c,True
1428,08l,08l,True
1429,nan,09a,True
1430,09a,09a,True
1431,nan,09a,True
1432,nan,09a,True
1433,09a,09a,True
1434,nan,09a,True
1435,nan,09a,True
1436,09a,09a,True
1437,nan,09a,True
1438,42,42,True
1439,09a,09a,True
1440,nan,08l,True
1441,08l,08l,True
1442,nan,12e,True
1443,nan,7,True
1444,07a,07a,True
1445,9,9,True
1446,nan,6,True
1447,09a,09a,True
1448,9,9,True
1449,nan,11k,True
1450,9,9,True
1451,9,9,True
1452,nan,9,True
1453,nan,9,True
1454,09b,09b,True
1455,12b,12b,True
1456,9,9,True
1457,nan,42a,True
1458,nan,09a,True
1459,nan,09a,True
1460,09a,09a,True
1461,09a,09a,True
1462,09a,09a,True
1463,09a,09a,True
1464,09a,09a,True
1465,09a,09a,True
1466,09a,09a,True
1467,nan,09b,True
1468,09a,09a,True
1469,33a,33a,True
1470,09a,09a,True
1471,17b,17b,True
1472,09a,09a,True
1473,nan,09a,True
1474,09a,09a,True
1475,nan,09a,True
1476,09a,09a,True
1477,11t,11t,True
1478,nan,08l,True
1479,TBC,,False
1480,17c,17c,True
1481,17b,17b,True
1482,17g,17g,True
1483,Supplied by Specialist Contractor,,False
1484,06b,06b,True
1485,6,6,True
1486,06b,06b,True
1487,06b,06b,True
1488,06c,06c,True
1489,Supplied by Specialist Contractor,0,False
1490,Supplied by Specialist Contractor,0,False
1491,17b,17b,True
1492,03b,03b,True
1493,01*,01*,True
1494,17b*,17b*,True
1495,06b,06b,True
1496,nan,0,False
1497,42,42,True
1498,06b,06b,True
1499,17b,17b,True
1500,06b,06b,True
1501,Supplied by Specialist Contractor,0,False
1502,03b,03b,True
1503,05a,05a,True
1504,05a,05a,True
1505,03b,03b,True
1506,03b,03b,True
1507,05b,05b,True
1508,nan,06b,True
1509,nan,5,True
1510,06b,06b,True
1511,nan,06b,True
1512,nan,5,True
1513,06b,06b,True
1514,06b,06b,True
1515,5,5,True
1516,nan,05a,True
1517,06b,06b,True
1518,06b,06b,True
1519,nan,03b,True
1520,nan,03b,True
1521,nan,03b,True
1522,03b,03b,True
1523,6,6,True
1524,05a,05a,True
1525,05d,05d,True
1526,nan,03b,True
1527,03b,03b,True
1528,05d,05d,True
1529,nan,03b,True
1530,03b,03b,True
1531,03b,03b,True
1532,03b,03b,True
1533,nan,03b,True
1534,03b,03b,True
1535,nan,03b,True
1536,nan,03b,True
1537,03b,03b,True
1538,nan,03b,True
1539,TBC,,False
1540,TBC,,False
1541,nan,,False
1542,nan,,False
1543,TBC,,False
1544,,,False
1545,TBC,,False
1546,nan,,False
1547,nan,,False
1548,nan,,False
1549,nan,,False
1550,13a,13a,True
1551,05cDA,05cDA,True
1552,05cDA,05cDA,True
1553,13a,13a,True
1554,13a+,13a+,True
1555,13a,13a,True
1556,13a,13a,True
1557,05cDA,05cDA,True
1558,05cDA,05cDA,True
1559,05cDA,05cDA,True
1560,05cDA,05cDA,True
1561,05cDA+,05cDA+,True
1562,05cDA+,05cDA+,True
1563,13a,13a,True
1564,13a,13a,True
1565,05cDA,05cDA,True
1566,13a,13a,True
1567,13a,13a,True
1568,05cDA,05cDA,True
1569,13b,13b,True
1570,19c,19c,True
1571,19c,19c,True
1572,05bDA,05bDA,True
1573,19c+,19c+,True
1574,19c+,19c+,True
1575,21eDA,21eDA,True
1576,13c,13c,True
1577,19b,19b,True
1578,21eDA,21eDA,True
1579,13c,13c,True
1580,19b,19b,True
1581,19c,19c,True
1582,13a,13a,True
1583,44,44,True
1584,13c+,13c+,True
1585,05cDA,05cDA,True
1586,13a,13a,True
1587,06c,06c,True
1588,03e,03e,True
1589,06a,06a,True
1590,06c,06c,True
1591,22c,22c,True
1592,44,44,True
1593,13c,13c,True
1594,19c,19c,True
1595,13a,13a,True
1596,13c+,13c+,True
1597,13c,13c,True
1598,05cDA,05cDA,True
1599,05cDA,05cDA,True
1600,05cDA,05cDA,True
1601,06c,06c,True
1602,33,33,True
1603,33,33,True
1604,05c,05c,True
1605,19c,19c,True
1606,13c,13c,True
1607,05cDA,05cDA,True
1608,05cDA,05cDA,True
1609,21fDA,21fDA,True
1610,21dDA,21dDA,True
1611,06c,06c,True
1612,06c,06c,True
1613,05b,05b,True
1614,42a,42a,True
1615,05bDA,05bDA,True
1616,05cDA,05cDA,True
1617,05bDA,05bDA,True
1618,05bDA,05bDA,True
1619,05cDA,05cDA,True
1620,05bDA,05bDA,True
1621,19c,19c,True
1622,13c,13c,True
1623,05cDA,05cDA,True
1624,19c+,19c+,True
1625,05cDA,05cDA,True
1626,19c+,19c+,True
1627,05cDA,05cDA,True
1628,05cDA,05cDA,True
1629,13a+,13a+,True
1630,05cDA,05cDA,True
1631,19c,19c,True
1632,03e,03e,True
1633,21dDA,21dDA,True
1634,06c,06c,True
1635,16a,16a,True
1636,03e,03e,True
1637,05bDA,05bDA,True
1638,05bDA,05bDA,True
1639,06c,06c,True
1640,22,22,True
1641,21dDA,21dDA,True
1642,05c,05c,True
1643,06c,06c,True
1644,42a,42a,True
1645,05bDA,05bDA,True
1646,42a,42a,True
1647,42a,42a,True
1648,21dDA,21dDA,True
1649,06c,06c,True
1650,17g,17g,True
1651,06c,06c,True
1652,22c,22c,True
1653,05cDA,05cDA,True
1654,19c,19c,True
1655,06c,06c,True
1656,13c,13c,True
1657,13c+,13c+,True
1658,13a,13a,True
1659,19c,19c,True
1660,05bDA,05bDA,True
1661,19c+,19c+,True
1662,16b,16b,True
1663,16b,16b,True
1664,16b,16b,True
1665,42a,42a,True
1666,06c,06c,True
1667,06a,06a,True
1668,06c,06c,True
1669,17c,17c,True
1670,19c,19c,True
1671,22,22,True
1672,22c,22c,True
1673,22c,22c,True
1674,16b,16b,True
1675,21dDA,21dDA,True
1676,13b,13b,True
1677,19c,19c,True
1678,13a,13a,True
1679,09b,09b,True
1680,09c,09c,True
1681,09c,09c,True
1682,09c,09c,True
1683,09c,09c,True
1684,09c,09c,True
1685,09c,09c,True
1686,17k,17k,True
1687,17k,17k,True
1688,1,1,True
1689,1,1,True
1690,29DA,29DA,True
1691,16,16,True
1692,06b,06b,True
1693,06d,06d,True
1694,06d,06d,True
1695,03b,03b,True
1696,06b,06b,True
1697,11r,11r,True
1698,06b,06b,True
1699,06b,06b,True
1700,06b,06b,True
1701,06b,06b,True
1702,06b,06b,True
1703,06b,06b,True
1704,17b,17b,True
1705,06b,06b,True
1706,03b,03b,True
1707,17c,17c,True
1708,03DA,03DA,True
1709,06b,06b,True
1710,1,1,True
1711,1,1,True
1712,1,1,True
1713,1,1,True
1714,17b,17b,True
1715,06b,06b,True
1716,04b*,04b*,True
1717,03b,03b,True
1718,03b,03b,True
1719,03b,03b,True
1720,03b,03b,True
1721,17b,17b,True
1722,06b,06b,True
1723,03b,03b,True
1724,03f,03f,True
1725,06b,06b,True
1726,1,1,True
1727,06b,06b,True
1728,17b,17b,True
1729,01*,01*,True
1730,03DA,03DA,True
1731,3,3,True
1732,22d,22d,True
1733,06d,06d,True
1734,03b,03b,True
1735,22d,22d,True
1736,22d,22d,True
1737,17b,17b,True
1738,06b,06b,True
1739,E5d,E5d,True
1740,E5b,E5b,True
1741,E5d,E5d,True
1742,E5d,E5d,True
1743,E5d,E5d,True
1744,E3c,E3c,True
1745,as L20/616,as L20/616,True
1746,E3c,E3c,True
1747,E3c,E3c,True
1748,E3c,E3c,True
1749,E2,E2,True
1750,as L20/616,as L20/616,True
1751,E2,E2,True
1752,E5c,E5c,True
1753,E1c,E1c,True
1754,E1c,E1c,True
1755,E1c,E1c,True
1756,E1c,E1c,True
1757,E1c,E1c,True
1758,as H11/134A,as H11/134A,True
1759,as H11/134A,as H11/134A,True
1760,nan,,False
1761,E3b,E3b,True
1762,E3b,E3b,True
1763,E5c,E5c,True
1764,E5c,E5c,True
1765,E1c,E1c,True
1766,E1c,E1c,True
1767,E1c,E1c,True
1768,E1c,E1c,True
1769,1,1,True
1770,1,1,True
1771,1,1,True
1772,1,1,True
1773,1,1,True
1774,1,1,True
1775,1,1,True
1776,1,1,True
1777,1,1,True
1778,1,1,True
1779,1,1,True
1780,1,1,True
1781,1,1,True
1782,1,1,True
1783,1,1,True
1784,1,1,True
1785,1,1,True
1786,1,1,True
1787,1,1,True
1788,1,1,True
1789,1,1,True
1790,1,1,True
1791,1,1,True
1792,1,1,True
1793,1,1,True
1794,1,1,True
1795,1,1,True
1796,1,1,True
1797,1,1,True
1798,1,1,True
1799,1,1,True
1800,1,1,True
1801,1,1,True
1802,1,1,True
1803,1,1,True
1804,1,1,True
1805,1,1,True
1806,1,1,True
1807,1,1,True
1808,1,1,True
1809,1,1,True
1810,1,1,True
1811,1,1,True
1812,1,1,True
1813,1,1,True
1814,1,1,True
1815,1,1,True
1816,1,1,True
1817,1,1,True
1818,1,1,True
1819,1,1,True
1820,1,1,True
1821,1,1,True
1822,1,1,True
1823,1,1,True
1824,1,1,True
1825,1,1,True
1826,4,4,True
1827,4,4,True
1828,12*,12*,True
1829,12*,12*,True
1830,12*,12*,True
1831,12*,12*,True
1832,12*,12*,True
1833,12*,12*,True
1834,1,1,True
1835,12*,12*,True
1836,12e*,12e*,True
1837,12*,12*,True
1838,11v,11v,True
1839,12e*,12e*,True
1840,06b,06b,True
1841,06b,06b,True
1842,06b,06b,True
1843,04b,04b,True
1844,06b,06b,True
1845,06b,06b,True
1846,06b,06b,True
1847,08h,08h,True
1848,06b,06b,True
1849,04b,04b,True
1850,33a,33a,True
1851,17b,17b,True
1852,06b,06b,True
1853,03b,03b,True
1854,06b,06b,True
1855,06b,06b,True
1856,06b,06b,True
1857,06b,06b,True
1858,1,1,True
1859,06b,06b,True
1860,06b,06b,True
1861,06b,06b,True
1862,06b,06b,True
1863,03b,03b,True
1864,1,1,True
1865,1,1,True
1866,06b,06b,True
1867,1,1,True
1868,1,1,True
1869,1,1,True
1870,1,1,True
1871,1,1,True
1872,1,1,True
1873,11v,11v,True
1874,06b,06b,True
1875,03b,03b,True
1876,12e*,12e*,True
1877,06b,06b,True
1878,1,1,True
1879,04b,04b,True
1880,06b,06b,True
1881,06b,06b,True
1882,17b,17b,True
1883,1,1,True
1884,06b,06b,True
1885,04b,04b,True
1886,06b,06b,True
1887,06b,06b,True
1888,12*,12*,True
1889,12*,12*,True
1890,33g,33g,True
1891,1,1,True
1892,17b,17b,True
1893,4,4,True
1894,12*,12*,True
1895,12e*,12e*,True
1896,03DA,03DA,True
1897,2,2,True
1898,03b,03b,True
1899,1,1,True
1900,3,3,True
1901,3,3,True
1902,03b,03b,True
1903,03b,03b,True
1904,1,1,True
1905,1,1,True
1906,1,1,True
1907,1,1,True
1908,1,1,True
1909,1,1,True
1910,1,1,True
1911,1,1,True
1912,1,1,True
1913,1,1,True
1914,2,2,True
1915,2,2,True
1916,1,1,True
1917,1,1,True
1918,1,1,True
1919,1,1,True
1920,1,1,True
1921,06b,06b,True
1922,1,1,True
1923,2,2,True
1924,03b,03b,True
1925,1,1,True
1926,2,2,True
1927,03b,03b,True
1928,1,1,True
1929,2,2,True
1930,03b,03b,True
1931,12e*,12e*,True
1932,12e*,12e*,True
1933,09b,09b,True
1934,1,1,True
1935,1,1,True
1936,1,1,True
1937,1,1,True
1938,1,1,True
1939,1,1,True
1940,1,1,True
1941,1,1,True
1942,1,1,True
1943,1,1,True
1944,1,1,True
1945,1,1,True
1946,1,1,True
1947,1,1,True
1948,1,1,True
1949,1,1,True
1950,1,1,True
1951,1,1,True
1952,1,1,True
1953,1,1,True
1954,1,1,True
1955,1,1,True
1956,1,1,True
1957,1,1,True
1958,1,1,True
1959,1,1,True
1960,1,1,True
1961,1,1,True
1962,1,1,True
1963,1,1,True
1964,1,1,True
1965,1,1,True
1966,1,1,True
1967,1,1,True
1968,1,1,True
1969,1,1,True
1970,1,1,True
1971,1,1,True
1972,1,1,True
1973,1,1,True
1974,1,1,True
1975,1,1,True
1976,1,1,True
1977,1,1,True
1978,1,1,True
1979,1,1,True
1980,1,1,True
1981,1,1,True
1982,1,1,True
1983,1,1,True
1984,1,1,True
1985,1,1,True
1986,1,1,True
1987,1,1,True
1988,1,1,True
1989,1,1,True
1990,1,1,True
1991,1,1,True
1992,1,1,True
1993,1,1,True
1994,1,1,True
1995,01FP,01FP,True
1996,01FP,01FP,True
1997,01FP,01FP,True
1998,01FP,01FP,True
1999,01FP,01FP,True
2000,01FP,01FP,True
2001,01FP,01FP,True
2002,01FP,01FP,True
2003,01FP,01FP,True
2004,01FP,01FP,True
2005,01FP,01FP,True
2006,01FP,01FP,True
2007,01FP,01FP,True
2008,01FP,01FP,True
2009,01FP,01FP,True
2010,01FP,01FP,True
2011,01FP,01FP,True
2012,01FP,01FP,True
2013,01FP,01FP,True
2014,01FP,01FP,True
2015,01FP,01FP,True
2016,01FP,01FP,True
2017,01FP,01FP,True
2018,01FP,01FP,True
2019,01FP,01FP,True
2020,01FP,01FP,True
2021,01FP,01FP,True
2022,01FP,01FP,True
2023,01FP,01FP,True
2024,01FP,01FP,True
2025,01FP,01FP,True
2026,01FP,01FP,True
2027,01FP,01FP,True
2028,01FP,01FP,True
2029,01FP,01FP,True
2030,4,4,True
2031,4,4,True
2032,12FP,12FP,True
2033,12bFP,12bFP,True
2034,12bFP,12bFP,True
2035,12bFP,12bFP,True
2036,06bFP,06bFP,True
2037,06bFP,06bFP,True
2038,04b,04b,True
2039,06bFP,06bFP,True
2040,06b,06b,True
2041,06b,06b,True
2042,03bFP,03bFP,True
2043,08h,08h,True
2044,06b,06b,True
2045,06b,06b,True
2046,33aFP,33aFP,True
2047,17b,17b,True
2048,02FP,02FP,True
2049,06b,06b,True
2050,06b,06b,True
2051,06bFP,06bFP,True
2052,01FP,01FP,True
2053,01FP,01FP,True
2054,01FP,01FP,True
2055,06b,06b,True
2056,06bFP,06bFP,True
2057,01FP,01FP,True
2058,01FP,01FP,True
2059,06b,06b,True
2060,17bFP,17bFP,True
2061,03bFP,03bFP,True
2062,17bFP,17bFP,True
2063,06b,06b,True
2064,06bFP,06bFP,True
2065,06bFP,06bFP,True
2066,03gFP,03gFP,True
2067,03gFP,03gFP,True
2068,03gFP,03gFP,True
2069,03gFP,03gFP,True
2070,03gFP,03gFP,True
2071,06b,06b,True
2072,11bFP,11bFP,True
2073,12*FP,12*FP,True
2074,12*FP,12*FP,True
2075,03bFP,03bFP,True
2076,01FP,01FP,True
2077,06bFP,06bFP,True
2078,29aDAFP,29aDAFP,True
2079,29DAFP,29DAFP,True
2080,06b,06b,True
2081,04b,04b,True
2082,03bFP,03bFP,True
2083,17bFP,17bFP,True
2084,17bFP,17bFP,True
2085,03gFP,03gFP,True
2086,03gFP,03gFP,True
2087,17bFP,17bFP,True
2088,17bFP,17bFP,True
2089,33cFP,33cFP,True
2090,03gFP,03gFP,True
2091,03gFP,03gFP,True
2092,17bFP,17bFP,True
2093,03gFP,03gFP,True
2094,03gFP,03gFP,True
2095,17bFP,17bFP,True
2096,17bFP,17bFP,True
2097,17bFP,17bFP,True
2098,17bFP,17bFP,True
2099,03DAFP,03DAFP,True
2100,06b,06b,True
2101,01FP,01FP,True
2102,G07,0,False
2103,01FP,01FP,True
2104,01FP,01FP,True
2105,01FP,01FP,True
2106,01FP,01FP,True
2107,01FP,01FP,True
2108,17bFP,17bFP,True
2109,G01,0,False
2110,03DAFP,03DAFP,True
2111,03FP,03FP,True
2112,21FP,21FP,True
2113,03FP,03FP,True
2114,03FP,03FP,True
2115,33aFP,33aFP,True
2116,42,42,True
2117,17bFP,17bFP,True
2118,G07,0,False
2119,06b,06b,True
2120,TBC,,False
2121,06bFP,06bFP,True
2122,06bFP,06bFP,True
2123,17bFP,17bFP,True
2124,06bFP,06bFP,True
2125,06bFP,06bFP,True
2126,06bFP,06bFP,True
2127,42,42,True
2128,08FP,08FP,True
2129,03DAFP,03DAFP,True
2130,06b,06b,True
2131,06bFP,06bFP,True
2132,17bFP,17bFP,True
2133,03bFP,03bFP,True
2134,03bFP,03bFP,True
2135,12FP,12FP,True
2136,03gFP,03gFP,True
2137,03gFP,03gFP,True
2138,03gFP,03gFP,True
2139,03FP,03FP,True
2140,03FP,03FP,True
2141,06b,06b,True
2142,17bFP,17bFP,True
2143,03bFP,03bFP,True
2144,02FP,02FP,True
2145,01FP,01FP,True
2146,17bFP,17bFP,True
2147,24c,24c,True
2148,06b,06b,True
2149,01FP,01FP,True
2150,01FP,01FP,True
2151,01FP,01FP,True
2152,01FP,01FP,True
2153,02FP,02FP,True
2154,03bFP,03bFP,True
2155,01FP,01FP,True
2156,01FP,01FP,True
2157,01FP,01FP,True
2158,01FP,01FP,True
2159,01FP,01FP,True
2160,01FP,01FP,True
2161,01FP,01FP,True
2162,01FP,01FP,True
2163,01FP,01FP,True
2164,01FP,01FP,True
2165,01FP,01FP,True
2166,01FP,01FP,True
2167,01FP,01FP,True
2168,01FP,01FP,True
2169,01FP,01FP,True
2170,01FP,01FP,True
2171,01FP,01FP,True
2172,01FP,01FP,True
2173,01FP,01FP,True
2174,01FP,01FP,True
2175,01FP,01FP,True
2176,01FP,01FP,True
2177,01FP,01FP,True
2178,01FP,01FP,True
2179,01FP,01FP,True
2180,01FP,01FP,True
2181,01FP,01FP,True
2182,01FP,01FP,True
2183,01FP,01FP,True
2184,01FP,01FP,True
2185,01FP,01FP,True
2186,01FP,01FP,True
2187,01FP,01FP,True
2188,01FP,01FP,True
2189,01FP,01FP,True
2190,1,1,True
2191,1,1,True
2192,1,1,True
2193,1,1,True
2194,1,1,True
2195,1,1,True
2196,1,1,True
2197,1,1,True
2198,1,1,True
2199,1,1,True
2200,1,1,True
2201,1,1,True
2202,1,1,True
2203,1,1,True
2204,4,4,True
2205,4,4,True
2206,12*,12*,True
2207,12*,12*,True
2208,12*,12*,True
2209,12*,12*,True
2210,12*,12*,True
2211,12*,12*,True
2212,1,1,True
2213,12*,12*,True
2214,12e*,12e*,True
2215,12*,12*,True
2216,12e*,12e*,True
2217,06b,06b,True
2218,29aDA,29aDA,True
2219,06b,06b,True
2220,04b,04b,True
2221,06b,06b,True
2222,06b,06b,True
2223,06b,06b,True
2224,08h,08h,True
2225,29aDA,29aDA,True
2226,33a,33a,True
2227,17b,17b,True
2228,06b,06b,True
2229,06b,06b,True
2230,06b,06b,True
2231,06b,06b,True
2232,06b,06b,True
2233,06b,06b,True
2234,06b,06b,True
2235,06b,06b,True
2236,06b,06b,True
2237,03b,03b,True
2238,1,1,True
2239,1,1,True
2240,06b,06b,True
2241,1,1,True
2242,06b,06b,True
2243,03b,03b,True
2244,12e*,12e*,True
2245,06b,06b,True
2246,1,1,True
2247,04b,04b,True
2248,06b,06b,True
2249,06b,06b,True
2250,17b,17b,True
2251,1,1,True
2252,06b,06b,True
2253,04b,04b,True
2254,06b,06b,True
2255,06b,06b,True
2256,12*,12*,True
2257,12*,12*,True
2258,33g,33g,True
2259,17b,17b,True
2260,4,4,True
2261,06b,06b,True
2262,29DA,29DA,True
2263,29DA,29DA,True
2264,12*,12*,True
2265,12e*,12e*,True
2266,1,1,True
2267,1,1,True
2268,11v,11v,True
2269,11v,11v,True
2270,1,1,True
2271,1,1,True
2272,1,1,True
2273,1,1,True
2274,1,1,True
2275,1,1,True
2276,1,1,True
2277,1,1,True
2278,1,1,True
2279,1,1,True
2280,1,1,True
2281,1,1,True
2282,1,1,True
2283,1,1,True
2284,1,1,True
2285,1,1,True
2286,1,1,True
2287,1,1,True
2288,1,1,True
2289,1,1,True
2290,1,1,True
2291,1,1,True
2292,1,1,True
2293,1,1,True
2294,1,1,True
2295,1,1,True
2296,1,1,True
2297,1,1,True
2298,1,1,True
2299,1,1,True
2300,1,1,True
2301,1,1,True
2302,1,1,True
2303,1,1,True
2304,1,1,True
2305,1,1,True
2306,1,1,True
2307,1,1,True
2308,1,1,True
2309,1,1,True
2310,1,1,True
2311,1,1,True
2312,1,1,True
2313,1,1,True
2314,1,1,True
2315,1,1,True
2316,1,1,True
2317,1,1,True
2318,1,1,True
2319,1,1,True
2320,3,3,True
2321,3,3,True
2322,03b,03b,True
2323,03DA,03DA,True
2324,03b,03b,True
2325,2,2,True
2326,1,1,True
2327,1,1,True
2328,2,2,True
2329,03b,03b,True
2330,2,2,True
2331,1,1,True
2332,1,1,True
2333,1,1,True
2334,1,1,True
2335,1,1,True
2336,1,1,True
2337,1,1,True
2338,1,1,True
2339,1,1,True
2340,1,1,True
2341,1,1,True
2342,2,2,True
2343,03b,03b,True
2344,03b,03b,True
2345,1,1,True
2346,2,2,True
2347,03b,03b,True
2348,1,1,True
2349,2,2,True
2350,03b,03b,True
2351,12a,12a,True
2352,12g,12g,True
2353,1,1,True
2354,06b,06b,True
2355,1,1,True
2356,1,1,True
2357,1,1,True
2358,1,1,True
2359,1,1,True
2360,1,1,True
2361,1,1,True
2362,1,1,True
2363,1,1,True
2364,1,1,True
2365,1,1,True
2366,1,1,True
2367,1,1,True
2368,1,1,True
2369,1,1,True
2370,1,1,True
2371,1,1,True
2372,1,1,True
2373,1,1,True
2374,1,1,True
2375,1,1,True
2376,1,1,True
2377,1,1,True
2378,1,1,True
2379,1,1,True
2380,1,1,True
2381,1,1,True
2382,1,1,True
2383,1,1,True
2384,1,1,True
2385,1,1,True
2386,1,1,True
2387,1,1,True
2388,1,1,True
2389,1,1,True
2390,1,1,True
2391,1,1,True
2392,1,1,True
2393,1,1,True
2394,1,1,True
2395,1,1,True
2396,1,1,True
2397,1,1,True
2398,1,1,True
2399,1,1,True
2400,1,1,True
2401,1,1,True
2402,1,1,True
2403,1,1,True
2404,1,1,True
2405,1,1,True
2406,1,1,True
2407,1,1,True
2408,1,1,True
2409,1,1,True
2410,1,1,True
2411,1,1,True
2412,1,1,True
2413,1,1,True
2414,1,1,True
2415,06b,06b,True
2416,G07,0,False
2417,G07,0,False
2418,G07,0,False
2419,12*,12*,True
2420,12*,12*,True
2421,12*,12*,True
2422,12*,12*,True
2423,04b,04b,True
2424,03b,03b,True
2425,06b,06b,True
2426,04b,04b,True
2427,06b,06b,True
2428,06b,06b,True
2429,06b,06b,True
2430,03b,03b,True
2431,12*,12*,True
2432,12*,12*,True
2433,G07,0,False
2434,G07,0,False
2435,G07,0,False
2436,G07,0,False
2437,G07,0,False
2438,G07,0,False
2439,G07,0,False
2440,G07,0,False
2441,G07,0,False
2442,G07,0,False
2443,G07,0,False
2444,G07,0,False
2445,G07,0,False
2446,G07,0,False
2447,G07,0,False
2448,08h,08h,True
2449,G07,0,False
2450,G07,0,False
2451,G07,0,False
2452,17b,17b,True
2453,17b,17b,True
2454,06b,06b,True
2455,06b,06b,True
2456,06b,06b,True
2457,06b,06b,True
2458,33a,33a,True
2459,06b,06b,True
2460,G07,0,False
2461,G07,0,False
2462,G07,0,False
2463,03b,03b,True
2464,4,4,True
2465,06b,06b,True
2466,06b,06b,True
2467,06b,06b,True
2468,03b,03b,True
2469,21*DA,21*DA,True
2470,06b,06b,True
2471,06b,06b,True
2472,06b,06b,True
2473,33a*,33a*,True
2474,03b,03b,True
2475,21bDA,21bDA,True
2476,21aDA,21aDA,True
2477,G07,0,False
2478,06b,06b,True
2479,G07,0,False
2480,G07,0,False
2481,G07,0,False
2482,17b,17b,True
2483,G07,0,False
2484,3,3,True
2485,3,3,True
2486,03DA,03DA,True
2487,03b,03b,True
2488,TBC,,False
