,Unnamed: 0,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark,DoorType,Mapped Level,Mapped MasterMark,Mapped Type,Mapped Height,Mapped Width,Mapped Fire Rating,Mapped Spec Ref,Mapped Access Control,Mapped Leaf Protection,Mapped Door Power,Mapped Ironmongery Set,Mapped Gap,Mapped Acoustic Rating,Mapped Wall Thickness (mm),Mapped Set ref,Mapped DoorType,Mapped Leaf,Mapped Swing,Mapped Fire,Mapped Xray,Mapped PowerCloserDelay,Mapped PullOrLever,Mapped Lock,Mapped SlaveLeafBolted,Mapped AccessControl,Mapped Direction,Mapped KickPlate,Mapped Mid-rail,Mapped FingerProtection,Mapped TypicalUses,Mapped SetDetails,Mapped Mid‐rail
10,159529,159529,IfcDoor,1AERfawr1DgvmQdYrddEfR,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1205787,,1060mm - 2110mm S/O Laminate,"#976509=IfcLocalPlacement(#976488,#976508)","#159523=IfcProductDefinitionShape($,$,(#159516,#159521))",1205787,2110,1060,,MOR0003.D2,IDT 1d ,Level 0,MOR0003.D2,IDT 1d,2110,1060,,L20/431,,Kick,,06b,3,30dB,97,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
11,172435,172435,IfcDoor,1AERfawr1DgvmQdYrddEJ6,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1206406,,1060mm - 2110mm S/O Laminate,"#976544=IfcLocalPlacement(#976525,#976543)","#172429=IfcProductDefinitionShape($,$,(#172422,#172427))",1206406,2110,1060,,MOR0002.D1,IDT 1d ,Level 0,MOR0002.D1,IDT 1d,2110,1060,,L20/431,,Kick,,06b,6,,97,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
12,185222,185222,IfcDoor,1AERfawr1DgvmQdYrddEI9,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1206473,,1060mm - 2110mm S/O Laminate,"#976472=IfcLocalPlacement(#976451,#976471)","#185216=IfcProductDefinitionShape($,$,(#185209,#185214))",1206473,2110,1060,,MOR0010.D1,IDT 1d ,Level 0,MOR0010.D1,IDT 1d,2110,1060,,L20/431,,Kick,,06b,6,,97,06b,,1,Single,,,,Lever,Lock,,,,1 side,,,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,As LSL,
13,185478,185478,IfcDoor,1AERfawr1DgvmQdYrddENc,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1206694,,1510mm - 2110mm S/O Laminate,"#976583=IfcLocalPlacement(#976560,#976582)","#185472=IfcProductDefinitionShape($,$,(#185465,#185470))",1206694,2110,1510,,MOR0022.D1,IDT 2d ,Level 0,MOR0022.D1,IDT 2d,2110,1510,,L20/431,Yes,Kick,Delayed Close,08n,3,30dB,97,08n,,1.5,Single,,,2 Delay,Pull,,,Double maglock,Out,1 side,,,,New set - as 08m but direction = Out,
14,185740,185740,IfcDoor,04YCbiTzTFxBAAaTQcFCiE,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1209375,,1060mm - 2110mm S/O Laminate,"#976620=IfcLocalPlacement(#976599,#976619)","#185734=IfcProductDefinitionShape($,$,(#185727,#185732))",1209375,2110,1060,,PTH0020.D1,IDT 1d ,Level 0,PTH0020.D1,IDT 1d,2110,1060,,L20/431,,Kick,,03b,6,,97,03b,,1,Single,,,,Lever,Bathroom,,,,1 side,,,WCs no closer,As LSL,
15,186053,186053,IfcDoor,0QzI6PDjT5lQwaxg9TejqD,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1216357,,810mm - 2110mm S/O Laminate,"#976655=IfcLocalPlacement(#976636,#976654)","#186047=IfcProductDefinitionShape($,$,(#186040,#186045))",1216357,2110,810,,PTH0008.D1,IDT 1d ,Level 0,PTH0008.D1,IDT 1d,2110,810,,L20/431,,Kick,,03b,6,,97,03b,,1,Single,,,,Lever,Bathroom,,,,1 side,,,WCs no closer,As LSL,
16,197365,197365,IfcDoor,1ZrRegj7fCRhk94GGzin4f,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1234994,,810mm - 2110mm S/O Laminate,"#976760=IfcLocalPlacement(#976741,#976759)","#197359=IfcProductDefinitionShape($,$,(#197352,#197357))",1234994,2110,810,,MOR0004.D1,IDT 1d ,Level 0,MOR0004.D1,IDT 1d,2110,810,,L20/431,,Kick,,05a,6,,97,05a,,1,Single,,,Closer,Pull,Lock,,,,1 side,,,,New set - As LSL 05 minus Fire Door Keep Shut signs,
17,208122,208122,IfcDoor,0ZKr23iTP3DBEwoXKGqvRF,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1235693,,810mm - 2110mm S/O Laminate,"#976795=IfcLocalPlacement(#976776,#976794)","#208116=IfcProductDefinitionShape($,$,(#208109,#208114))",1235693,2110,810,,MOR0007.D1,IDT 1d ,Level 0,MOR0007.D1,IDT 1d,2110,810,,L20/431,,Kick,,05a,6,,97,05a,,1,Single,,,Closer,Pull,Lock,,,,1 side,,,,New set - As LSL 05 minus Fire Door Keep Shut signs,
18,221664,221664,IfcDoor,0tqtSXOtrA1R0TH9nBsU$R,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1239996,,1510mm - 2110mm S/O Laminate,"#976832=IfcLocalPlacement(#976811,#976831)","#221658=IfcProductDefinitionShape($,$,(#221651,#221656))",1239996,2110,1510,FD30S,MOR0021.D1,IDT 2d ,Level 0,MOR0021.D1,IDT 2d,2110,1510,FD30S,L20/431,,Half Height/Edge,Delayed Close,17c,3,,97,17c,,1.5,Single,Fire,,Delay,Pull,Lock,Flush,,,,,,Disposal Hold (half-height pvc),As LSL minus kickplates,
19,221800,221800,IfcDoor,0tqtSXOtrA1R0TH9nBsU_L,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1240050,,1510mm - 2110mm S/O Laminate,"#976869=IfcLocalPlacement(#976848,#976868)","#221794=IfcProductDefinitionShape($,$,(#221787,#221792))",1240050,2110,1510,FD30S,MOR0021.D2,IDT 2d ,Level 0,MOR0021.D2,IDT 2d,2110,1510,FD30S,L20/431,,Half Height/Edge,Delayed Close,17c,3,,97,17c,,1.5,Single,Fire,,Delay,Pull,Lock,Flush,,,,,,Disposal Hold (half-height pvc),As LSL minus kickplates,
