id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
19451,NCU3022A.D1,IfcDoor,0tCxYhfnb8hfPE1cjAxly7,IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:641702,FD30S,1510mm - 2110mm S/O Laminate,"#857220=IfcLocalPlacement(#857199,#857219)","#19445=IfcProductDefinitionShape($,$,(#19438,#19443))",641702,2110.0,1510.00000000004
34962,NCU3021.D1,IfcDoor,0tCxYhfnb8hfPE1cjAxlyH,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:641712,FD30S,1480mm - 2110mm S/O Laminate,"#857368=IfcLocalPlacement(#857347,#857367)","#34956=IfcProductDefinitionShape($,$,(#34949,#34954))",641712,2110.0,1480.00000000001
53199,NCU3024.D1,IfcDoor,0tCxYhfnb8hfPE1cjAxlwe,IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:641801,,1510mm - 2110mm S/O Laminate,"#857800=IfcLocalPlacement(#857779,#857799)","#53193=IfcProductDefinitionShape($,$,(#53186,#53191))",641801,2110.0,1510.00000000004
53308,NCU3023.D1,IfcDoor,0tCxYhfnb8hfPE1cjAxlwh,IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:641802,,1510mm - 2110mm S/O Laminate,"#857837=IfcLocalPlacement(#857816,#857836)","#53302=IfcProductDefinitionShape($,$,(#53295,#53300))",641802,2110.0,1510.00000000004
64508,NCU3022.D1,IfcDoor,0tCxYhfnb8hfPE1cjAxlws,IDT 11a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O 2:641815,,1480mm - 2110mm S/O 2,"#857146=IfcLocalPlacement(#857125,#857145)","#64502=IfcProductDefinitionShape($,$,(#64495,#64500))",641815,2110.0,1480.00000000001
101131,NCU3C03.D1,IfcDoor,0Sid_ecZ1D_OezD6MM51cN,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:679948,,1060mm-2110mm S/O Laminate,"#858059=IfcLocalPlacement(#858038,#858058)","#101125=IfcProductDefinitionShape($,$,(#101118,#101123))",679948,2109.99999999998,1060.00000000011
128184,NCU3014.D1,IfcDoor,3$GGH3kUf0Pw148r_EWTsB,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:688338,,1060mm - 2110mm S/O Laminate,"#858022=IfcLocalPlacement(#858001,#858021)","#128178=IfcProductDefinitionShape($,$,(#128171,#128176))",688338,2109.99999999998,1060.0
166727,NCU3041.D1,IfcDoor,24D06oCVn23P46wCmKpRhR,IDT 1a - Single Door (Glazed - Observation):1060mm - 2110mm S/O Laminate:692905,FD30S,1060mm - 2110mm S/O Laminate,"#858357=IfcLocalPlacement(#858334,#858356)","#166721=IfcProductDefinitionShape($,$,(#166714,#166719))",692905,2109.99999999998,1060.0
205156,NCU3042.D1,IfcDoor,24D06oCVn23P46wCmKpRgJ,IDT 1a - Single Door (Glazed - Observation):1060mm - 2110mm S/O Laminate:692961,FD30S,1060mm - 2110mm S/O Laminate,"#858396=IfcLocalPlacement(#858373,#858395)","#205150=IfcProductDefinitionShape($,$,(#205143,#205148))",692961,2109.99999999998,1060.0
217930,NCU3040.D1,IfcDoor,24D06oCVn23P46wCmKpRiL,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:693095,FD30S,1060mm - 2110mm S/O Laminate,"#858433=IfcLocalPlacement(#858412,#858432)","#217924=IfcProductDefinitionShape($,$,(#217917,#217922))",693095,2109.99999999998,1060.0
