id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
22984,INT2021.D1,IfcDoor,2LWpvK1pT0qvqAGDYNhy$3,IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1361876,,1910mm - 2110mm S/O PVC,"#1994946=IfcLocalPlacement(#1994927,#1994945)","#22978=IfcProductDefinitionShape($,$,(#22971,#22976))",1361876,2110.0,1909.99999999995
35846,INT2025.D1,IfcDoor,2LWpvK1pT0qvqAGDYNhy$2,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:1361877,,1060mm - 2110mm S/O PVC,"#1994981=IfcLocalPlacement(#1994962,#1994980)","#35840=IfcProductDefinitionShape($,$,(#35833,#35838))",1361877,2109.99999999999,1060.00000000011
48686,INT2023.D1,IfcDoor,2LWpvK1pT0qvqAGDYNhy$1,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:1361878,,1060mm - 2110mm S/O PVC,"#1994911=IfcLocalPlacement(#1994890,#1994910)","#48680=IfcProductDefinitionShape($,$,(#48673,#48678))",1361878,2109.99999999999,1060.0
87736,INT2022.D2,IfcDoor,2LWpvK1pT0qvqAGDYNhy$F,IDT 3c - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:1361880,,1910mm - 2110mm S/O PVC,"#1995016=IfcLocalPlacement(#1994997,#1995015)","#87730=IfcProductDefinitionShape($,$,(#87723,#87728))",1361880,2110.0,1909.99999999995
100149,INT2022.D1,IfcDoor,2LWpvK1pT0qvqAGDYNhy3o,IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1362149,,1910mm - 2110mm S/O PVC,"#1995088=IfcLocalPlacement(#1995067,#1995087)","#100143=IfcProductDefinitionShape($,$,(#100136,#100141))",1362149,2110.0,1909.99999999995
115010,INT2008.D2,IfcDoor,2iVdt4ywD3E8bVYP7G6V2z,IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1367376,,1910mm - 2110mm S/O PVC,"#1995454=IfcLocalPlacement(#1995433,#1995453)","#115004=IfcProductDefinitionShape($,$,(#114997,#115002))",1367376,2110.0,1909.99999999998
115119,INT2012.D2,IfcDoor,2iVdt4ywD3E8bVYP7G6V2y,IDT 3d - Equal Double Door:1910mm - 2110mm S/O PVC:1367377,,1910mm - 2110mm S/O PVC,"#1995489=IfcLocalPlacement(#1995470,#1995488)","#115113=IfcProductDefinitionShape($,$,(#115106,#115111))",1367377,2110.0,1909.99999999998
141742,INT2008.D1,IfcDoor,2iVdt4ywD3E8bVYP7G6V2_,IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O PVC:1367379,,1210mm - 2110mm S/O PVC,"#1995343=IfcLocalPlacement(#1995324,#1995342)","#141736=IfcProductDefinitionShape($,$,(#141729,#141734))",1367379,2109.99999999999,1210.00000000004
168445,INT2012.D1,IfcDoor,2iVdt4ywD3E8bVYP7G6V2v,IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O PVC:1367380,,1210mm - 2110mm S/O PVC,"#1995308=IfcLocalPlacement(#1995287,#1995307)","#168439=IfcProductDefinitionShape($,$,(#168432,#168437))",1367380,2109.99999999999,1210.00000000004
181209,INT2010.D1,IfcDoor,2iVdt4ywD3E8bVYP7G6V2u,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:1367381,,1060mm - 2110mm S/O PVC,"#1995526=IfcLocalPlacement(#1995505,#1995525)","#181203=IfcProductDefinitionShape($,$,(#181196,#181201))",1367381,2109.99999999999,1060.0
