id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
14408,ENT0021.D1,IfcDoor,1as4tWxB5Fou$IsTcHGD3l,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:966300,FD60S,1060mm - 2110mm S/O Laminate,"#565029=IfcLocalPlacement(#565008,#565028)","#14402=IfcProductDefinitionShape($,$,(#14400))",966300,2109.99999999998,1060.0
40806,ENT0004.D1,IfcDoor,1as4tWxB5Fou$IsTcHGD3I,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:966305,,1060mm - 2110mm S/O Laminate,"#565068=IfcLocalPlacement(#565045,#565067)","#40800=IfcProductDefinitionShape($,$,(#40798))",966305,2109.99999999998,1060.0
55369,ENT1006.D1,IfcDoor,3j412kyW59_PWeJjndYXYn,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:981592,,1060mm - 2110mm S/O Laminate,"#565105=IfcLocalPlacement(#565084,#565104)","#55363=IfcProductDefinitionShape($,$,(#55361))",981592,2109.99999999998,1060.00000000011
68379,ENT0017.D1,IfcDoor,1BeQUskFr58fYZgf5TrRYr,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:986018,,1060mm - 2110mm S/O Laminate,"#565142=IfcLocalPlacement(#565121,#565141)","#68373=IfcProductDefinitionShape($,$,(#68371))",986018,2109.99999999998,1060.0
81130,ENT0016.D1,IfcDoor,1BeQUskFr58fYZgf5TrRZo,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:986085,,1060mm - 2110mm S/O Laminate,"#565181=IfcLocalPlacement(#565158,#565180)","#81124=IfcProductDefinitionShape($,$,(#81122))",986085,2109.99999999998,1060.0
95519,ENT0013.D1,IfcDoor,3UWzNlRN95VeIWu1bMgW1V,IDT 1d - Single Door:1060mm - 2110mm S/O Security Door:1114138,,1060mm - 2110mm S/O Security Door,"#565257=IfcLocalPlacement(#565234,#565256)","#95513=IfcProductDefinitionShape($,$,(#95511))",1114138,2109.99999999998,1060.00000000011
134899,ENT1004.D1,IfcDoor,3Mmilp$mX8SuDY9kD3vBHO,IDT 1a - Single Door (Glazed - Observation):1060mm - 2110mm S/O Laminate:1116286,,1060mm - 2110mm S/O Laminate,"#565368=IfcLocalPlacement(#565347,#565367)","#134893=IfcProductDefinitionShape($,$,(#134891))",1116286,2109.99999999998,1060.0
135015,ENT1002.D1,IfcDoor,1QDFa_9B9CKRkhrYtudu3K,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1116287,,1060mm - 2110mm S/O Laminate,"#565292=IfcLocalPlacement(#565273,#565291)","#135009=IfcProductDefinitionShape($,$,(#135007))",1116287,2109.99999999998,1060.00000000011
161319,ENT1001.D1,IfcDoor,1QDFa_9B9CKRkhrYtudu0g,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1116289,,1060mm - 2110mm S/O Laminate,"#565331=IfcLocalPlacement(#565308,#565330)","#161313=IfcProductDefinitionShape($,$,(#161311))",1116289,2109.99999999998,1060.00000000011
178396,ENT1003.D1,IfcDoor,395V6KUXP5ZAD_yjT0uHqE,IDT 4a - Riser Double Door:1610mm - 2110mm S/O Laminate:1116539,,1610mm - 2110mm S/O Laminate,"#565407=IfcLocalPlacement(#565384,#565406)","#178390=IfcProductDefinitionShape($,$,(#178388))",1116539,2110.0,1609.99999999998
191909,ENT0002.D1,IfcDoor,1eEyr2Xtb5SvfESUb$8rzJ,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1124077,FD60S,1060mm - 2110mm S/O Laminate,"#565444=IfcLocalPlacement(#565423,#565443)","#191903=IfcProductDefinitionShape($,$,(#191901))",1124077,2109.99999999998,1060.0
207723,CAT1010.D2,IfcDoor,3AvxvuQ$L0dhUGn6vfyylw,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1135611,,1060mm - 2110mm S/O Laminate,"#565520=IfcLocalPlacement(#565497,#565519)","#207717=IfcProductDefinitionShape($,$,(#207715))",1135611,2109.99999999998,1060.00000000011
220472,CAT1010.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfyymx,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1135674,,1060mm - 2110mm S/O Laminate,"#565481=IfcLocalPlacement(#565460,#565480)","#220466=IfcProductDefinitionShape($,$,(#220464))",1135674,2109.99999999998,1060.0
247399,CAT1005.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfyyzd,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1136486,,1060mm - 2110mm S/O Laminate,"#565633=IfcLocalPlacement(#565612,#565632)","#247393=IfcProductDefinitionShape($,$,(#247391))",1136486,2109.99999999998,1060.00000000011
247583,CAT1013.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfyy3e,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1136873,,1060mm - 2110mm S/O Laminate,"#565668=IfcLocalPlacement(#565649,#565667)","#247577=IfcProductDefinitionShape($,$,(#247575))",1136873,2109.99999999998,1060.00000000011
261351,ENT1C03.D2,IfcDoor,3AvxvuQ$L0dhUGn6vfyy3w,IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:1136891,FD60S,1510mm - 2110mm S/O Laminate,"#565707=IfcLocalPlacement(#565684,#565706)","#261345=IfcProductDefinitionShape($,$,(#261343))",1136891,2110.0,1510.0
287910,ENT1011.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfyyBE,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1137359,,1060mm - 2110mm S/O Laminate,"#565744=IfcLocalPlacement(#565723,#565743)","#287904=IfcProductDefinitionShape($,$,(#287902))",1137359,2109.99999999998,1060.00000000011
300749,CAT1008.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfyyET,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1137564,,1060mm - 2110mm S/O Laminate,"#565781=IfcLocalPlacement(#565760,#565780)","#300743=IfcProductDefinitionShape($,$,(#300741))",1137564,2109.99999999998,1060.0
300850,CAT1006.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfyyF0,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1137601,FD60S,1060mm - 2110mm S/O Laminate,"#565596=IfcLocalPlacement(#565575,#565595)","#300844=IfcProductDefinitionShape($,$,(#300842))",1137601,2109.99999999998,1060.00000000011
301040,CAT1001.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfyyKX,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1137952,,1060mm - 2110mm S/O Laminate,"#565818=IfcLocalPlacement(#565797,#565817)","#301034=IfcProductDefinitionShape($,$,(#301032))",1137952,2109.99999999998,1060.00000000011
314098,CAT1014.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfy$bv,IDT 1d - Single Door:900mm - 2110mm S/O Cold room:1139064,,900mm - 2110mm S/O Cold room,"#565933=IfcLocalPlacement(#565910,#565932)","#314092=IfcProductDefinitionShape($,$,(#314090))",1139064,2109.99999999998,900.000000000003
340470,CAT1007.D1,IfcDoor,3AvxvuQ$L0dhUGn6vfy$dj,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1139180,,1060mm - 2110mm S/O Laminate,"#565894=IfcLocalPlacement(#565873,#565893)","#340464=IfcProductDefinitionShape($,$,(#340462))",1139180,2109.99999999998,1060.00000000011
353786,CAT1003.D1,IfcDoor,1oVXzpHmT9lxht68NCvCH1,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1144584,FD30S,1060mm - 2110mm S/O Laminate,"#565857=IfcLocalPlacement(#565834,#565856)","#353780=IfcProductDefinitionShape($,$,(#353778))",1144584,2109.99999999998,1060.0
354141,CAT1001.D2,IfcDoor,1oVXzpHmT9lxht68NCvCpV,IDT 6c - Equal Double Door (Internal Glazing-Observation):1950mm - 2330mm S/O:1146774,FD60S,1950mm - 2330mm S/O,"#566019=IfcLocalPlacement(#566000,#566018)","#354135=IfcProductDefinitionShape($,$,(#354133))",1146774,2329.99999999804,1950.00000000001
356267,CIR0119.D1,IfcDoor,2o4RbbQXP3xOJOcr3TaM76,IDT 6c - Equal Double Door (Internal Glazing-Observation):1910mm - 2010mm S/O:1155761,FD60S,1910mm - 2010mm S/O,"#566210=IfcLocalPlacement(#566191,#566209)","#356261=IfcProductDefinitionShape($,$,(#356259))",1155761,2059.99999999804,1824.0
357544,CAT1002.D2,IfcDoor,0zP6DyETr0rAtMmbkHgvkW,IDT 9a - Roller Shutter:3553 x 2700mm:1212796,,3553 x 2700mm,"#357543=IfcLocalPlacement(#129,#357542)","#357538=IfcProductDefinitionShape($,$,(#357536))",1212796,2700.0,3553.00000000001
357692,CAT1002.D3,IfcDoor,0zP6DyETr0rAtMmbkHgvY6,IDT 9a - Roller Shutter:3553 x 2700mm:1213018,,3553 x 2700mm,"#357691=IfcLocalPlacement(#129,#357690)","#357686=IfcProductDefinitionShape($,$,(#357684))",1213018,2700.0,3553.00000000001
370599,ENT0017.D2,IfcDoor,0L1WWT9VL7MQ35P6WG30ev,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1281152,,710mm - 2110mm S/O Laminate,"#566056=IfcLocalPlacement(#566035,#566055)","#370593=IfcProductDefinitionShape($,$,(#370591))",1281152,2109.99999999998,710.000000000012
370711,ENT0017.D3,IfcDoor,0L1WWT9VL7MQ35P6WG30fV,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1281254,,710mm - 2110mm S/O Laminate,"#566091=IfcLocalPlacement(#566072,#566090)","#370705=IfcProductDefinitionShape($,$,(#370703))",1281254,2109.99999999998,710.000000000012
381318,ENT0017.D4,IfcDoor,0L1WWT9VL7MQ35P6WG30kO,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1281313,,710mm - 2110mm S/O Laminate,"#566126=IfcLocalPlacement(#566107,#566125)","#381312=IfcProductDefinitionShape($,$,(#381310))",1281313,2109.99999999998,710.000000000012
381671,ENT0016.D2,IfcDoor,2N69cTvDz8bf$BVIDP9l1R,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1282468,,710mm - 2110mm S/O Laminate,"#566247=IfcLocalPlacement(#566226,#566246)","#381665=IfcProductDefinitionShape($,$,(#381663))",1282468,2109.99999999998,710.000000000012
392532,ENT1009.D4,IfcDoor,1zcDe44QL39gSHRFwWPTKa,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1285694,,710mm - 2110mm S/O Laminate,"#566284=IfcLocalPlacement(#566263,#566283)","#392526=IfcProductDefinitionShape($,$,(#392524))",1285694,2109.99999999998,710.000000000012
392630,ENT1009.D3,IfcDoor,1zcDe44QL39gSHRFwWPTM4,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1285790,,710mm - 2110mm S/O Laminate,"#566319=IfcLocalPlacement(#566300,#566318)","#392624=IfcProductDefinitionShape($,$,(#392622))",1285790,2109.99999999998,710.000000000012
403237,ENT1009.D2,IfcDoor,1zcDe44QL39gSHRFwWPTN9,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1285843,,710mm - 2110mm S/O Laminate,"#566354=IfcLocalPlacement(#566335,#566353)","#403231=IfcProductDefinitionShape($,$,(#403229))",1285843,2109.99999999998,710.000000000012
403417,ENT1008.D2,IfcDoor,3pjBnes_vDjeo6iPJCwj3f,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1286661,,710mm - 2110mm S/O Laminate,"#566391=IfcLocalPlacement(#566370,#566390)","#403411=IfcProductDefinitionShape($,$,(#403409))",1286661,2109.99999999998,710.000000000012
416617,CAT1009.D1,IfcDoor,0fEqNCPurFrQMkGdrJqI$H,IDT 1d - Single Door:900mm - 2110mm S/O Cold room:1316877,,900mm - 2110mm S/O Cold room,"#566465=IfcLocalPlacement(#566442,#566464)","#416611=IfcProductDefinitionShape($,$,(#416609))",1316877,2109.99999999998,900.000000000003
430152,CAT1004.D1,IfcDoor,2PEOpbQGP3YvSlR0s6Rdna,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1321050,FD60S,1510mm - 2110mm S/O Laminate,"#565559=IfcLocalPlacement(#565536,#565558)","#430146=IfcProductDefinitionShape($,$,(#430144))",1321050,2110.00000000001,1510.00000000004
462025,CAT1003.D2,IfcDoor,3B4gBdUgv4y8tghYI72ytw,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1387466,FD30S,1060mm - 2110mm S/O Laminate,"#566504=IfcLocalPlacement(#566481,#566503)","#462019=IfcProductDefinitionShape($,$,(#462017))",1387466,2109.99999999998,1060.0
487090,PLA0312.D1,IfcDoor,3ooxYjd4LEkvo4TuTyoC0H,IDT 1d - Single Door:710mm - 2110mm S/O Painted:1814435,,710mm - 2110mm S/O Painted,"#566541=IfcLocalPlacement(#566520,#566540)","#487084=IfcProductDefinitionShape($,$,(#487082))",1814435,2109.99999999998,710.000000000012
497767,PLA1312.D1,IfcDoor,3hIXNDWnr57v8bcgVfxbMG,IDT 1d - Single Door:710mm - 2110mm S/O Laminate:1814867,FD60S,710mm - 2110mm S/O Laminate,"#566426=IfcLocalPlacement(#566407,#566425)","#497761=IfcProductDefinitionShape($,$,(#497759))",1814867,2109.99999999998,710.000000000012
509842,CAT1002.D1,IfcDoor,2DIgkT8HDAjPTHWGnV_mdT,IDT 9a - Roller Shutter:3375 x 2405mm:1925737,,3375 x 2405mm,"#509841=IfcLocalPlacement(#129,#509840)","#509836=IfcProductDefinitionShape($,$,(#509834))",1925737,2405.0,3375.00000000001
512458,CAT1003.D3,IfcDoor,2Zwpm$5G95KwldweACkrxj,IDT 9e - Fire Curtain:2030 x 2100mm:1974055,FD30S,2030 x 2100mm,"#512457=IfcLocalPlacement(#129,#512456)","#512452=IfcProductDefinitionShape($,$,(#512450))",1974055,2300.0,2030.00000000002
