id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
35747,IP10010.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHre,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1381662,,1480mm - 2110mm S/O Laminate,"#1781267=IfcLocalPlacement(#1781244,#1781266)","#35739=IfcProductDefinitionShape($,$,(#35732,#35737))",1381662,2110.0,1480.00000000005
36241,IP10012.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHqX,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1381719,,1480mm - 2110mm S/O Laminate,"#1781306=IfcLocalPlacement(#1781283,#1781305)","#36233=IfcProductDefinitionShape($,$,(#36226,#36231))",1381719,2110.0,1480.00000000004
36540,IP20022.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHq4,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1381746,,1480mm - 2110mm S/O Laminate,"#1781345=IfcLocalPlacement(#1781322,#1781344)","#36532=IfcProductDefinitionShape($,$,(#36525,#36530))",1381746,2110.0,1480.00000000004
36935,IP20023.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHto,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1381764,,1480mm - 2110mm S/O Laminate,"#1781384=IfcLocalPlacement(#1781361,#1781383)","#36927=IfcProductDefinitionShape($,$,(#36920,#36925))",1381764,2110.0,1480.00000000004
37872,IP20021.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHt6,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1381808,,1480mm - 2110mm S/O Laminate,"#1781423=IfcLocalPlacement(#1781400,#1781422)","#37864=IfcProductDefinitionShape($,$,(#37857,#37862))",1381808,2110.0,1479.99999999993
38269,IP10016.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHuH,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1381991,,1480mm - 2110mm S/O Laminate,"#1781462=IfcLocalPlacement(#1781439,#1781461)","#38261=IfcProductDefinitionShape($,$,(#38254,#38259))",1381991,2110.0,1480.00000000005
38652,IP10015.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHx6,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382064,,1480mm - 2110mm S/O Laminate,"#1781501=IfcLocalPlacement(#1781478,#1781500)","#38644=IfcProductDefinitionShape($,$,(#38637,#38642))",1382064,2110.0,1480.00000000005
39048,IP10014.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHwB,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382141,,1480mm - 2110mm S/O Laminate,"#1781540=IfcLocalPlacement(#1781517,#1781539)","#39040=IfcProductDefinitionShape($,$,(#39033,#39038))",1382141,2110.0,1480.00000000005
40066,IP10013.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHzv,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382159,,1480mm - 2110mm S/O Laminate,"#1781579=IfcLocalPlacement(#1781556,#1781578)","#40058=IfcProductDefinitionShape($,$,(#40051,#40056))",1382159,2110.0,1479.99999999993
40371,IP20019.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GHzD,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382203,,1480mm - 2110mm S/O Laminate,"#1781618=IfcLocalPlacement(#1781595,#1781617)","#40363=IfcProductDefinitionShape($,$,(#40356,#40361))",1382203,2110.0,1480.00000000005
41044,IP20018.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GH$m,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382278,,1480mm - 2110mm S/O Laminate,"#1781696=IfcLocalPlacement(#1781673,#1781695)","#41036=IfcProductDefinitionShape($,$,(#41029,#41034))",1382278,2110.0,1480.00000000005
41441,IP20020.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GH_u,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382350,,1480mm - 2110mm S/O Laminate,"#1781735=IfcLocalPlacement(#1781712,#1781734)","#41433=IfcProductDefinitionShape($,$,(#41426,#41431))",1382350,2110.0,1480.00000000005
42035,IP10024.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GH12,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382452,,1480mm - 2110mm S/O Laminate,"#1781811=IfcLocalPlacement(#1781788,#1781810)","#42027=IfcProductDefinitionShape($,$,(#42020,#42025))",1382452,2110.0,1480.00000000004
42395,IP10022.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GH0v,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382479,,1480mm - 2110mm S/O Laminate,"#1781850=IfcLocalPlacement(#1781827,#1781849)","#42387=IfcProductDefinitionShape($,$,(#42380,#42385))",1382479,2110.0,1480.00000000004
43395,IP10021.D1,IfcDoor,00Tk6iQPL2DuzYMxf1GH3Y,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382548,,1480mm - 2110mm S/O Laminate,"#1781889=IfcLocalPlacement(#1781866,#1781888)","#43387=IfcProductDefinitionShape($,$,(#43380,#43385))",1382548,2110.0,1479.99999999993
43696,IP10017.D1,IfcDoor,2yokI93kb1lgFf2nQ48J7X,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382597,,1480mm - 2110mm S/O Laminate,"#1781965=IfcLocalPlacement(#1781942,#1781964)","#43688=IfcProductDefinitionShape($,$,(#43681,#43686))",1382597,2110.0,1480.00000000002
44094,IP10018.D1,IfcDoor,2yokI93kb1lgFf2nQ48J0E,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382698,,1480mm - 2110mm S/O Laminate,"#1782004=IfcLocalPlacement(#1781981,#1782003)","#44086=IfcProductDefinitionShape($,$,(#44079,#44084))",1382698,2110.0,1480.00000000002
44399,IP10019.D1,IfcDoor,2yokI93kb1lgFf2nQ48J1Z,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382727,,1480mm - 2110mm S/O Laminate,"#1782043=IfcLocalPlacement(#1782020,#1782042)","#44391=IfcProductDefinitionShape($,$,(#44384,#44389))",1382727,2110.0,1480.00000000002
45192,IP10020.D1,IfcDoor,2yokI93kb1lgFf2nQ48J1S,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1382776,,1480mm - 2110mm S/O Laminate,"#1782082=IfcLocalPlacement(#1782059,#1782081)","#45184=IfcProductDefinitionShape($,$,(#45177,#45182))",1382776,2110.0,1480.00000000001
45778,IP10008.D1,IfcDoor,2yokI93kb1lgFf2nQ48JKo,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1383446,,1480mm - 2110mm S/O Laminate,"#1782160=IfcLocalPlacement(#1782137,#1782159)","#45770=IfcProductDefinitionShape($,$,(#45763,#45768))",1383446,2110.0,1480.0
46075,IP10007.D1,IfcDoor,2yokI93kb1lgFf2nQ48JKL,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1383473,,1480mm - 2110mm S/O Laminate,"#1782199=IfcLocalPlacement(#1782176,#1782198)","#46067=IfcProductDefinitionShape($,$,(#46060,#46065))",1383473,2110.0,1480.0
46464,IP10006.D1,IfcDoor,2yokI93kb1lgFf2nQ48JLe,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1383500,,1480mm - 2110mm S/O Laminate,"#1782238=IfcLocalPlacement(#1782215,#1782237)","#46456=IfcProductDefinitionShape($,$,(#46449,#46454))",1383500,2110.0,1480.0
47375,IP10005.D1,IfcDoor,2yokI93kb1lgFf2nQ48JL3,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1383527,,1480mm - 2110mm S/O Laminate,"#1782277=IfcLocalPlacement(#1782254,#1782276)","#47367=IfcProductDefinitionShape($,$,(#47360,#47365))",1383527,2110.0,1480.00000000002
47767,IP10002.D1,IfcDoor,2yokI93kb1lgFf2nQ48JMv,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1383581,,1480mm - 2110mm S/O Laminate,"#1782316=IfcLocalPlacement(#1782293,#1782315)","#47759=IfcProductDefinitionShape($,$,(#47752,#47757))",1383581,2110.0,1480.0
48157,IP10001.D1,IfcDoor,2yokI93kb1lgFf2nQ48JN5,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1383649,,1480mm - 2110mm S/O Laminate,"#1782355=IfcLocalPlacement(#1782332,#1782354)","#48149=IfcProductDefinitionShape($,$,(#48142,#48147))",1383649,2110.0,1480.0
