id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
32967,IP63008.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF33,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614100,,1480mm - 2110mm S/O Laminate,"#1231411=IfcLocalPlacement(#1231388,#1231410)","#32959=IfcProductDefinitionShape($,$,(#32952,#32957))",1614100,2110.0,1479.99999999999
34049,EGU3006.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF3t,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614112,,1480mm - 2110mm S/O Laminate,"#1231450=IfcLocalPlacement(#1231427,#1231449)","#34041=IfcProductDefinitionShape($,$,(#34034,#34039))",1614112,2110.0,1480.00000000002
34448,IP63002.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF3v,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614126,,1480mm - 2110mm S/O Laminate,"#1231489=IfcLocalPlacement(#1231466,#1231488)","#34440=IfcProductDefinitionShape($,$,(#34433,#34438))",1614126,2110.0,1480.00000000002
34941,IP63003.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF2O,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614159,,1480mm - 2110mm S/O Laminate,"#1231565=IfcLocalPlacement(#1231542,#1231564)","#34933=IfcProductDefinitionShape($,$,(#34926,#34931))",1614159,2110.0,1480.00000000002
35244,IP63019.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF29,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614174,,1480mm - 2110mm S/O Laminate,"#1231604=IfcLocalPlacement(#1231581,#1231603)","#35236=IfcProductDefinitionShape($,$,(#35229,#35234))",1614174,2110.0,1480.00000000006
35546,IP63017.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF2w,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614189,,1480mm - 2110mm S/O Laminate,"#1231643=IfcLocalPlacement(#1231620,#1231642)","#35538=IfcProductDefinitionShape($,$,(#35531,#35536))",1614189,2110.0,1480.00000000006
35849,IP63018.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF2h,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614204,,1480mm - 2110mm S/O Laminate,"#1231682=IfcLocalPlacement(#1231659,#1231681)","#35841=IfcProductDefinitionShape($,$,(#35834,#35839))",1614204,2110.0,1480.00000000006
36064,IP63020.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF1S,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614219,,1480mm - 2110mm S/O Laminate,"#1231721=IfcLocalPlacement(#1231698,#1231720)","#36056=IfcProductDefinitionShape($,$,(#36049,#36054))",1614219,2110.0,1479.99999999993
36568,IP63024.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF1p,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614244,,1480mm - 2110mm S/O Laminate,"#1231797=IfcLocalPlacement(#1231774,#1231796)","#36560=IfcProductDefinitionShape($,$,(#36553,#36558))",1614244,2110.0,1480.00000000005
36877,IP63022.D1,IfcDoor,3a20qT3YP0ygz4T9KAZF0N,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1614272,,1480mm - 2110mm S/O Laminate,"#1231836=IfcLocalPlacement(#1231813,#1231835)","#36869=IfcProductDefinitionShape($,$,(#36862,#36867))",1614272,2110.0,1480.00000000005
