id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
71720,CIR0103.D1,IfcDoor,1saDB3OhLDvQmvKCANrxnw,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O 180degree Laminate:851338,FD60S,1910mm - 2110mm S/O 180degree Laminate,"#4810797=IfcLocalPlacement(#4810774,#4810796)","#71714=IfcProductDefinitionShape($,$,(#71707,#71712))",851338,2110.0,1909.99999999998
127229,CIR0115.D1,IfcDoor,1saDB3OhLDvQmvKCANrxny,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O 180degree Laminate:851340,FD60S,1910mm - 2110mm S/O 180degree Laminate,"#4810834=IfcLocalPlacement(#4810813,#4810833)","#127223=IfcProductDefinitionShape($,$,(#127216,#127221))",851340,2110.0,1909.99999999998
192678,CIR0104.D1,IfcDoor,1saDB3OhLDvQmvKCANrxnX,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O DS Laminate:851345,FD30S,1910mm - 2110mm S/O DS Laminate,"#4810873=IfcLocalPlacement(#4810850,#4810872)","#192672=IfcProductDefinitionShape($,$,(#192665,#192670))",851345,2110.0,1909.99999999998
205798,MOR0C02.D2,IfcDoor,1saDB3OhLDvQmvKCANrxna,IDT 1d - Single Door:1010mm - 2110mm S/O Laminate:851348,FD30S,1010mm - 2110mm S/O Laminate,"#4810758=IfcLocalPlacement(#4810735,#4810757)","#205792=IfcProductDefinitionShape($,$,(#205785,#205790))",851348,2109.99999999998,1010.00000000008
245796,CIR0108.D1,IfcDoor,1saDB3OhLDvQmvKCANrxnf,IDT 5a - Hospital Street Doors (FOH) Frameless:1824mm - 2360mm S/O Double Swing Laminate:851353,FD30S,1824mm - 2360mm S/O Double Swing Laminate,"#4810910=IfcLocalPlacement(#4810889,#4810909)","#245790=IfcProductDefinitionShape($,$,(#245783,#245788))",851353,2360.0,1824.0
293397,SFM0005.D1,IfcDoor,1saDB3OhLDvQmvKCANrxnP,IDT 3c - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:851369,FD30S,1910mm - 2110mm S/O Laminate,"#4810947=IfcLocalPlacement(#4810926,#4810946)","#293391=IfcProductDefinitionShape($,$,(#293384,#293389))",851369,2110.0,1909.99999999995
307222,SFM0008.D1,IfcDoor,1saDB3OhLDvQmvKCANrxnV,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:851375,,1510mm - 2110mm S/O Laminate,"#4811095=IfcLocalPlacement(#4811076,#4811094)","#307216=IfcProductDefinitionShape($,$,(#307209,#307214))",851375,2110.00000000001,1510.0
307337,SFM0007.D1,IfcDoor,1saDB3OhLDvQmvKCANrxn0,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:851376,FD30S,1510mm - 2110mm S/O Laminate,"#4811136=IfcLocalPlacement(#4811113,#4811135)","#307329=IfcProductDefinitionShape($,$,(#307322,#307327))",851376,2110.00000000001,1510.00000000001
320719,CAT0020.D1,IfcDoor,1saDB3OhLDvQmvKCANrxn1,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:851377,FD30S,1510mm - 2110mm S/O Laminate,"#4811175=IfcLocalPlacement(#4811154,#4811174)","#320711=IfcProductDefinitionShape($,$,(#320704,#320709))",851377,2110.00000000001,1510.00000000001
334492,CAT0C03.D2,IfcDoor,1saDB3OhLDvQmvKCANrxn2,IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:851378,FD30S,1510mm - 2110mm S/O Laminate,"#4811214=IfcLocalPlacement(#4811193,#4811213)","#334484=IfcProductDefinitionShape($,$,(#334477,#334482))",851378,2110.0,1510.00000000001
389755,PTH0C03.D2,IfcDoor,1saDB3OhLDvQmvKCANrxn4,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:851380,FD30S,1910mm - 2110mm S/O Laminate,"#4811253=IfcLocalPlacement(#4811230,#4811252)","#389749=IfcProductDefinitionShape($,$,(#389742,#389747))",851380,2110.0,1909.99999999995
