id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
31167,CLD1011.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxhl,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621091,,1480mm - 2110mm S/O Laminate,"#2059125=IfcLocalPlacement(#2059102,#2059124)","#31159=IfcProductDefinitionShape($,$,(#31152,#31157))",621091,2110.0,1480.00000000005
31570,CLD1010.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxhv,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621109,,1480mm - 2110mm S/O Laminate,"#2059164=IfcLocalPlacement(#2059141,#2059163)","#31562=IfcProductDefinitionShape($,$,(#31555,#31560))",621109,2110.0,1480.00000000005
31882,CLD1036.D1,IfcDoor,29Hsm7e3nBbgjoEQy1LxgB,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621127,,1480mm - 2110mm S/O Laminate,"#2059203=IfcLocalPlacement(#2059180,#2059202)","#31874=IfcProductDefinitionShape($,$,(#31867,#31872))",621127,2110.0,1480.00000000005
32199,CLD1012.D1,IfcDoor,29Hsm7e3nBbgjoEQy1LxgL,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621145,,1480mm - 2110mm S/O Laminate,"#2059242=IfcLocalPlacement(#2059219,#2059241)","#32191=IfcProductDefinitionShape($,$,(#32184,#32189))",621145,2110.0,1480.00000000005
32511,CLD1034.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxgd,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621163,,1480mm - 2110mm S/O Laminate,"#2059281=IfcLocalPlacement(#2059258,#2059280)","#32503=IfcProductDefinitionShape($,$,(#32496,#32501))",621163,2110.0,1480.00000000005
32817,CLD1035.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxgn,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621181,,1480mm - 2110mm S/O Laminate,"#2059320=IfcLocalPlacement(#2059297,#2059319)","#32809=IfcProductDefinitionShape($,$,(#32802,#32807))",621181,2110.0,1480.00000000005
33735,CLD1016.D1,IfcDoor,29Hsm7e3nBbgjoEQy1LxfK,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621208,,1480mm - 2110mm S/O Laminate,"#2059394=IfcLocalPlacement(#2059371,#2059393)","#33727=IfcProductDefinitionShape($,$,(#33720,#33725))",621208,2110.0,1480.00000000006
34047,CLD1015.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxfc,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621226,,1480mm - 2110mm S/O Laminate,"#2059433=IfcLocalPlacement(#2059410,#2059432)","#34039=IfcProductDefinitionShape($,$,(#34032,#34037))",621226,2110.0,1480.00000000006
34352,CLD1014.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxfm,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621244,,1480mm - 2110mm S/O Laminate,"#2059472=IfcLocalPlacement(#2059449,#2059471)","#34344=IfcProductDefinitionShape($,$,(#34337,#34342))",621244,2110.0,1480.00000000006
35419,CLD1013.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxe6,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621258,,1480mm - 2110mm S/O Laminate,"#2059511=IfcLocalPlacement(#2059488,#2059510)","#35411=IfcProductDefinitionShape($,$,(#35404,#35409))",621258,2110.0,1479.99999999993
35725,CLD1039.D1,IfcDoor,29Hsm7e3nBbgjoEQy1LxeR,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621271,,1480mm - 2110mm S/O Laminate,"#2059550=IfcLocalPlacement(#2059527,#2059549)","#35717=IfcProductDefinitionShape($,$,(#35710,#35715))",621271,2110.0,1480.00000000006
36024,CLD1037.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxeb,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621289,,1480mm - 2110mm S/O Laminate,"#2059589=IfcLocalPlacement(#2059566,#2059588)","#36016=IfcProductDefinitionShape($,$,(#36009,#36014))",621289,2110.0,1480.00000000006
36336,CLD1038.D1,IfcDoor,29Hsm7e3nBbgjoEQy1Lxet,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:621307,,1480mm - 2110mm S/O Laminate,"#2059628=IfcLocalPlacement(#2059605,#2059627)","#36328=IfcProductDefinitionShape($,$,(#36321,#36326))",621307,2110.0,1480.00000000006
