id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
18983,CCU2052.D1,IfcDoor,1CC__b4mn55BcG0sNMfN1q,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:591655,,1060mm - 2110mm S/O Laminate,"#1075274=IfcLocalPlacement(#1075255,#1075273)","#18977=IfcProductDefinitionShape($,$,(#18970,#18975))",591655,2109.99999999999,1060.00000000011
20516,CCU2019.D1,IfcDoor,1CC__b4mn55BcG0sNMfN2M,IDT 6c - Equal Double Door (Internal Glazing-Observation):1910mm - 2110mm S/O:591813,,1910mm - 2110mm S/O,"#1075783=IfcLocalPlacement(#1075760,#1075782)","#20510=IfcProductDefinitionShape($,$,(#20503,#20508))",591813,2060.0,1824.0
20793,CCU2020.D1,IfcDoor,1CC__b4mn55BcG0sNMfN2L,IDT 6c - Equal Double Door (Internal Glazing-Observation):1910mm - 2110mm S/O:591814,,1910mm - 2110mm S/O,"#1075744=IfcLocalPlacement(#1075725,#1075743)","#20787=IfcProductDefinitionShape($,$,(#20780,#20785))",591814,2060.0,1824.0
21728,CCU2018.D1,IfcDoor,19lZ90nVP1lw2RvAhJ93oY,IDT 6c - Equal Double Door (Internal Glazing-Observation):1910mm - 2110mm S/O:596252,,1910mm - 2110mm S/O,"#1075980=IfcLocalPlacement(#1075961,#1075979)","#21722=IfcProductDefinitionShape($,$,(#21715,#21720))",596252,2060.0,1824.0
79477,CCU2C04.D3,IfcDoor,1n5XhMO2j1cRHT9pZ$vN9B,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:627471,,1910mm - 2110mm S/O Laminate,"#1076167=IfcLocalPlacement(#1076146,#1076166)","#79471=IfcProductDefinitionShape($,$,(#79464,#79469))",627471,2110.0,1909.99999999995
134658,CCU2C04.D2,IfcDoor,1YZd02Llr8QwG4A$h4jQWz,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:627498,,1910mm - 2110mm S/O Laminate,"#1075822=IfcLocalPlacement(#1075799,#1075821)","#134652=IfcProductDefinitionShape($,$,(#134645,#134650))",627498,2110.0,1910.0
189829,CCU2C06.D1,IfcDoor,1n5XhMO2j1cRHT9pZ$vN8U,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:627546,,1910mm - 2110mm S/O Laminate,"#1076091=IfcLocalPlacement(#1076070,#1076090)","#189821=IfcProductDefinitionShape($,$,(#189814,#189819))",627546,2110.0,1910.00000000002
189934,CCU2C04.D4,IfcDoor,1n5XhMO2j1cRHT9pZ$vNB1,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O Laminate:627589,,1910mm - 2110mm S/O Laminate,"#1076206=IfcLocalPlacement(#1076183,#1076205)","#189928=IfcProductDefinitionShape($,$,(#189921,#189926))",627589,2110.0,1910.0
216430,CCU2075.D1,IfcDoor,2V16A$vab6fQec7Rnxz6eO,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:670447,,1060mm - 2110mm S/O Laminate,"#1076280=IfcLocalPlacement(#1076259,#1076279)","#216424=IfcProductDefinitionShape($,$,(#216417,#216422))",670447,2109.99999999999,1060.0
231783,CCU2054.D1,IfcDoor,0KUxoQJ0f4qeZeNqxgKtlF,IDT 1d - Single Door:810mm - 2110mm S/O Laminate:724830,,810mm - 2110mm S/O Laminate,"#1077592=IfcLocalPlacement(#1077571,#1077591)","#231777=IfcProductDefinitionShape($,$,(#231770,#231775))",724830,2109.99999999999,810.000000000006
