id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
35874,IP74012.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj6oN,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597219,,1480mm - 2110mm S/O Laminate,"#1649428=IfcLocalPlacement(#1649405,#1649427)","#35866=IfcProductDefinitionShape($,$,(#35859,#35864))",1597219,2110.0,1480.00000000006
36933,IP84021.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj6pu,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597260,,1480mm - 2110mm S/O Laminate,"#1649467=IfcLocalPlacement(#1649444,#1649466)","#36925=IfcProductDefinitionShape($,$,(#36918,#36923))",1597260,2110.0,1480.00000000007
37949,IP74013.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj6ms,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597314,,1480mm - 2110mm S/O Laminate,"#1649506=IfcLocalPlacement(#1649483,#1649505)","#37941=IfcProductDefinitionShape($,$,(#37934,#37939))",1597314,2110.0,1479.99999999993
38167,IP84020.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj6m8,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597372,,1480mm - 2110mm S/O Laminate,"#1649545=IfcLocalPlacement(#1649522,#1649544)","#38159=IfcProductDefinitionShape($,$,(#38152,#38157))",1597372,2110.0,1479.99999999993
39447,IP74021.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj6n6,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597426,,1480mm - 2110mm S/O Laminate,"#1649619=IfcLocalPlacement(#1649596,#1649618)","#39439=IfcProductDefinitionShape($,$,(#39432,#39437))",1597426,2110.0,1479.99999999993
40247,IP74020.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj5EJ,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597479,,1480mm - 2110mm S/O Laminate,"#1649658=IfcLocalPlacement(#1649635,#1649657)","#40239=IfcProductDefinitionShape($,$,(#40232,#40237))",1597479,2110.0,1480.00000000001
42071,IP74003.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj5Dh,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597663,,1480mm - 2110mm S/O Laminate,"#1649849=IfcLocalPlacement(#1649826,#1649848)","#42063=IfcProductDefinitionShape($,$,(#42056,#42061))",1597663,2110.0,1479.99999999999
42628,IP84005.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj5BH,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597797,,1480mm - 2110mm S/O Laminate,"#1649962=IfcLocalPlacement(#1649939,#1649961)","#42620=IfcProductDefinitionShape($,$,(#42613,#42618))",1597797,2110.0,1480.00000000002
43644,IP84003.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj58i,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597848,,1480mm - 2110mm S/O Laminate,"#1650001=IfcLocalPlacement(#1649978,#1650000)","#43636=IfcProductDefinitionShape($,$,(#43629,#43634))",1597848,2110.0,1479.99999999999
44552,IP94006.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj593,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1597943,,1480mm - 2110mm S/O Laminate,"#1650040=IfcLocalPlacement(#1650017,#1650039)","#44544=IfcProductDefinitionShape($,$,(#44537,#44542))",1597943,2110.0,1480.00000000002
45762,IP84013.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj57f,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598045,,1480mm - 2110mm S/O Laminate,"#1650116=IfcLocalPlacement(#1650093,#1650115)","#45754=IfcProductDefinitionShape($,$,(#45747,#45752))",1598045,2110.0,1479.99999999993
47038,IP94021.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj52d,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598227,,1480mm - 2110mm S/O Laminate,"#1650190=IfcLocalPlacement(#1650167,#1650189)","#47030=IfcProductDefinitionShape($,$,(#47023,#47028))",1598227,2110.0,1480.00000000007
47731,IP94004.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj53w,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598286,,1480mm - 2110mm S/O Laminate,"#1650229=IfcLocalPlacement(#1650206,#1650228)","#47723=IfcProductDefinitionShape($,$,(#47716,#47721))",1598286,2110.0,1479.99999999999
48534,IP94012.D1,IfcDoor,0ud9K13Iv5IQmm4nLhj50t,IDT 2a - Double Unequal Door (Glazed - Observation):1480mm - 2110mm S/O Laminate:1598339,,1480mm - 2110mm S/O Laminate,"#1650268=IfcLocalPlacement(#1650245,#1650267)","#48526=IfcProductDefinitionShape($,$,(#48519,#48524))",1598339,2110.0,1480.00000000001
