,id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,MappedDoors
0,3641,PHA0005.D1,IfcDoor,2YqP8$nFTC3RqhHpEqjmzU,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:890979,,1060mm - 2110mm S/O Laminate,"#151634=IfcLocalPlacement(#151613,#151633)","#3635=IfcProductDefinitionShape($,$,(#3629,#3633))",890979,2109.99999999998,1060.00000000011,
1,28355,PHA0003.D1,IfcDoor,2YqP8$nFTC3RqhHpEqjmzP,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:890980,,1060mm-2110mm S/O Laminate,"#151669=IfcLocalPlacement(#151650,#151668)","#28349=IfcProductDefinitionShape($,$,(#28343,#28347))",890980,2109.99999999998,1060.00000000011,
2,28536,PHA0004.D1,IfcDoor,2YqP8$nFTC3RqhHpEqjmzO,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:890981,,1060mm - 2110mm S/O Laminate,"#151706=IfcLocalPlacement(#151685,#151705)","#28530=IfcProductDefinitionShape($,$,(#28525,#28528))",890981,2109.99999999998,1060.00000000011,
3,31755,PHA0006.D1,IfcDoor,1Pf9bIaYHEiQvnlygb$T2B,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:918526,,1060mm - 2110mm S/O Laminate,"#151743=IfcLocalPlacement(#151722,#151742)","#31749=IfcProductDefinitionShape($,$,(#31743,#31747))",918526,2109.99999999998,1060.00000000011,
4,34802,PHA0C01.D1,IfcDoor,1zrdep5Jv3XhBzyfeJuiDp,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:921605,,1060mm - 2110mm S/O Laminate,"#151854=IfcLocalPlacement(#151831,#151853)","#34796=IfcProductDefinitionShape($,$,(#34790,#34794))",921605,2109.99999999998,1060.00000000011,
5,34908,PHA0002.D1,IfcDoor,3QBbJtJ2LDgR9Vb$9D087k,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:922102,,1060mm - 2110mm S/O Laminate,"#151780=IfcLocalPlacement(#151759,#151779)","#34902=IfcProductDefinitionShape($,$,(#34897,#34900))",922102,2109.99999999998,1060.0,
6,38399,PHA0021.D1,IfcDoor,1B22w55Sb1kuoVodFbML_p,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:958981,FD30S,1510mm - 2110mm S/O Laminate,"#151891=IfcLocalPlacement(#151870,#151890)","#38393=IfcProductDefinitionShape($,$,(#38387,#38391))",958981,2110.00000000001,1510.0,FD30S
7,41687,PHA0022.D1,IfcDoor,06Qxd3TVn2Ih_ZUf0k1qKz,IDT 2d - Double Unequal Door:1710mm - 2110mm S/O Security Door:959971,,1710mm - 2110mm S/O Security Door,"#152002=IfcLocalPlacement(#151979,#152001)","#41681=IfcProductDefinitionShape($,$,(#41675,#41679))",959971,2110.0,1709.99999999999,
8,44801,PHA0018.D1,IfcDoor,0d2uDWG6v8wuOITNgMTbxZ,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Security Door:960249,,1510mm - 2110mm S/O Security Door,"#152039=IfcLocalPlacement(#152018,#152038)","#44795=IfcProductDefinitionShape($,$,(#44789,#44793))",960249,2110.00000000001,1510.0,
9,48249,PHA0010.D1,IfcDoor,2RWfgPhMvFJ8Sv6ma2X7FR,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:963723,,1510mm - 2110mm S/O Laminate,"#152189=IfcLocalPlacement(#152166,#152188)","#48243=IfcProductDefinitionShape($,$,(#48237,#48241))",963723,2110.00000000001,1510.0,
10,51208,PHA0013.D1,IfcDoor,2RWfgPhMvFJ8Sv6ma2X77x,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:964267,FD30S,1060mm - 2110mm S/O Laminate,"#152226=IfcLocalPlacement(#152205,#152225)","#51202=IfcProductDefinitionShape($,$,(#51196,#51200))",964267,2109.99999999998,1060.0,FD30S
11,51486,PHA0015.D1,IfcDoor,0Uqi0gVY5A6uYkr6jWXTyH,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:965635,FD30S,1060mm-2110mm S/O Laminate,"#152263=IfcLocalPlacement(#152242,#152262)","#51480=IfcProductDefinitionShape($,$,(#51475,#51478))",965635,2109.99999999998,1060.00000000011,FD30S
12,51594,PHA0016.D1,IfcDoor,0Uqi0gVY5A6uYkr6jWXTyB,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:965657,FD30S,1060mm-2110mm S/O Laminate,"#152298=IfcLocalPlacement(#152279,#152297)","#51588=IfcProductDefinitionShape($,$,(#51583,#51586))",965657,2109.99999999998,1060.00000000011,FD30S
13,76206,PHA0014.D1,IfcDoor,0Uqi0gVY5A6uYkr6jWXTxZ,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:966129,FD30S,1060mm-2110mm S/O Laminate,"#152333=IfcLocalPlacement(#152314,#152332)","#76200=IfcProductDefinitionShape($,$,(#76194,#76198))",966129,2109.99999999998,1060.00000000011,FD30S
14,100818,PHA0012.D1,IfcDoor,0Uqi0gVY5A6uYkr6jWXTq7,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:966165,FD30S,1060mm-2110mm S/O Laminate,"#152078=IfcLocalPlacement(#152055,#152077)","#100812=IfcProductDefinitionShape($,$,(#100806,#100810))",966165,2109.99999999998,1060.00000000011,FD30S
15,104048,PHA0017.D1,IfcDoor,1_Or0aIMD8wRQR1n_WF_Eh,IDT 1d - Single Door:900mm - 2110mm S/O Cold Room:967893,,900mm - 2110mm S/O Cold Room,"#152150=IfcLocalPlacement(#152131,#152149)","#104042=IfcProductDefinitionShape($,$,(#104036,#104040))",967893,2109.99999999998,900.0000000000031,
16,106997,PHA0019.D1,IfcDoor,1_Or0aIMD8wRQR1n_WF_Bn,IDT 1d - Single Door:810mm - 2110mm S/O Laminate:968079,,810mm - 2110mm S/O Laminate,"#152411=IfcLocalPlacement(#152388,#152410)","#106991=IfcProductDefinitionShape($,$,(#106985,#106989))",968079,2109.99999999998,809.999999999989,
17,109946,PHA0020.D1,IfcDoor,1_Or0aIMD8wRQR1n_WF_Aw,IDT 1d - Single Door:810mm - 2110mm S/O Laminate:968132,,810mm - 2110mm S/O Laminate,"#152446=IfcLocalPlacement(#152427,#152445)","#109940=IfcProductDefinitionShape($,$,(#109934,#109938))",968132,2109.99999999998,809.999999999989,
18,110175,PHA0001.D1,IfcDoor,3ytGJK$tvDOwdAP4VmV2iE,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:969618,,1060mm - 2110mm S/O Laminate,"#151815=IfcLocalPlacement(#151796,#151814)","#110169=IfcProductDefinitionShape($,$,(#110164,#110167))",969618,2109.99999999998,1060.0,
19,110363,PHA0011.D1,IfcDoor,36wFjvM4b0ivrliabUbFol,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:971368,FD30S,1060mm-2110mm S/O Laminate,"#152115=IfcLocalPlacement(#152094,#152114)","#110357=IfcProductDefinitionShape($,$,(#110352,#110355))",971368,2109.99999999998,1060.00000000011,FD30S
20,114098,PHA0009.D1,IfcDoor,3eU0YvCT97_9DJGqZfupOI,IDT 2b - Double Unequal Door (Glazed):1510mm - 2110mm S/O Laminate:979138,,1510mm - 2110mm S/O Laminate,"#152372=IfcLocalPlacement(#152349,#152371)","#114092=IfcProductDefinitionShape($,$,(#114086,#114090))",979138,2110.0,1510.0,
21,114278,PHA0009.D2,IfcDoor,3eU0YvCT97_9DJGqZfupUx,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:979307,,1060mm - 2110mm S/O Laminate,"#152481=IfcLocalPlacement(#152462,#152480)","#114272=IfcProductDefinitionShape($,$,(#114267,#114270))",979307,2109.99999999998,1060.00000000011,
