,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,DOOR_Radiation Protection,Sill Height,Blind Type,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,Access Control,Accessories & Sundry Items,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Power,DOOR_Protection,DOOR_Signage,DOOR_Type,Durability Rating,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Main Panel Width,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Secondary Panel Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Vision Panel,Width,Comments,Acoustic Designation,Manufacturer,DOOR_Acoustic Rating,Construction Type,Door Finish,Has 14 x 14 Window,Has 14 x 24 Window,Has Backup Casings,Has Power Operator,Has Wall Guide,Model,Product data url,URL
IfcText('CAT0006.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(816.),IfcText('TBC'),,IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),,IfcLabel('IDT 1d - Single Door1: 900mm - 2110mm S/O Cold room'),IfcLabel('IDT 1d - Single Door1: 900mm - 2110mm S/O Cold room'),IfcText(''),,IfcText(''),IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDv2S'),IfcText('Supplied by Specialist Contractor'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0006.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(900.),,IfcLengthMeasure(38.),IfcLengthMeasure(75.),IfcLabel('IDT 1d - Single Door1: 900mm - 2110mm S/O Cold room'),IfcText('SD/SS'),IfcText('289'),,IfcLengthMeasure(900.),IfcText('Cold Room doors specified and supplied by specialist'),,IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0020.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcText('TBC'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('2C76bdnbL27PluUXZDDv5s'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0020.D2'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcBoolean(.F.),IfcLengthMeasure(1510.),,,,,,,,,,,,,,
IfcText('CAT0013.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),,IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDv40'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0013.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J41'),,IfcLengthMeasure(810.),,,IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0C01.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),,IfcText('Kick/Edge'),IfcText(''),IfcText('IDT 2b'),,IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),,IfcText('2BQc6JOJfDZO1keZhJw5UJ'),IfcText('01*'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0C01.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J117'),,IfcLengthMeasure(1510.),,,,IfcText('TBC'),,,,,,,,,,
IfcText('CAT0C03.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),,IfcText('Kick/Edge'),IfcText(''),IfcText('IDT 2b'),,IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),,IfcText('2BQc6JOJfDZO1keZhJw5R4'),IfcText('17b*'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0C03.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J117'),,IfcLengthMeasure(1510.),,,,IfcText('TBC'),,,,,,,,,,
IfcText('SFM0003.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),,,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),,IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2BQc6JOJfDZO1keZhJw5M2'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('SFM0003.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J123'),,IfcLengthMeasure(1060.),,IfcText('30dB'),IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0007.D1'),IfcText(''),IfcText(''),IfcText('23.30.10.21.17.11'),IfcText('Cold Storage Doors'),,IfcLengthMeasure(0.),IfcText(''),,,,,,IfcText('Foamed-In-Place Insulated Metal Panel'),,,,,,,,,,IfcLabel('IDT 11f - Sliding door Cold Room: 900mm'),IfcLabel('IDT 11f - Sliding door Cold Room: 900mm'),IfcText(''),IfcText(''),IfcText(''),,,IfcLengthMeasure(2133.6),IfcLengthMeasure(2133.6),,IfcText('3Fs9ydLKb2dea_EXkVESmX'),,IfcText('08 34 13'),IfcLabel('Level: Level 0'),,IfcText('CAT0007.D1'),,IfcLabel('New Construction'),,,,,,IfcLengthMeasure(101.6),,IfcLabel('IDT 11f - Sliding door Cold Room: 900mm'),,IfcText('J133'),,IfcLengthMeasure(900.),IfcText('Freezer Room doors specified and supplied by specialist'),,IfcText('Frank Door Company'),,IfcText('Foamed-In-Place Insulated Metal Panel'),IfcLabel('Finish-EFD-DoorStyle-Stucco_White_Aluminum'),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('EFD-SHMS'),IfcText('https://bimobject.com/frankdoor/product/frankdoor-shms'),IfcText('http://www.frankdoor.com/')
IfcText('SFM0010.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 3d'),,IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('3$tEFrsM50WvHFzLHlt7GP'),IfcText('42'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('SFM0010.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),,IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS'),IfcText('J129'),,IfcLengthMeasure(1910.),,,,,,,,,,,,,,
IfcText('CAT0016.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1b'),,IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('25pTjVNJn5c96JEkt_mRcl'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0016.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J27'),,IfcLengthMeasure(1060.),,IfcText(''),IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0015.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcText('TBC'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('25pTjVNJn5c96JEkt_mRce'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0015.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcBoolean(.F.),IfcLengthMeasure(1510.),,,,,,,,,,,,,,
