,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,EXT_DOOR_Access_Control,DOOR_Type,Type Mark,Acoustic Designation,Comments,DOOR_Material Frame,DOOR_Material Panel,EXT_DOOR_Closer,EXT_DOOR_Location,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Glass Thickness,Heat Transfer Coefficient (U),Height,Ironmongery Set,Keynote,Level,Mark,Phase Created,Phase Demolished,Solar Heat Gain Coefficient,Thermal Resistance (R),Type,Visual Light Transmittance,Width,Type Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,EXT_DOOR_Drawing_Reference,EXT_DOOR_Operation/Security,Frame Material,Frame Thickness,Head Height,Host Partition Thickness,Operation,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,DOOR_Detail type,DOOR_Louvred,Manufacturer,Model,Right Hinge,URL,Access Control,DOOR_Break Glass - Green,DOOR_Break Glass - Red,DOOR_Call Button,DOOR_Card Entry,DOOR_Colour,DOOR_DDA Closer (20Kn),DOOR_Door Closer,DOOR_Door Contacts,DOOR_DoubleSwing,DOOR_Exit Button,DOOR_Finger Protection,DOOR_Finishes,DOOR_GlazingThickness,DOOR_KickPlate,DOOR_KickPlateHeight,DOOR_Lock & Thumbturn,DOOR_PanelHeight,DOOR_Panic Bar,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Safety Barrier,DOOR_Secure by Design,DOOR_Signage,DOOR_Ventilation,DOOR_Video Entry,DOOR_Vision Panel,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,DOOR_VisionPanelOffset,DOOR_VisionPanelWidth,Spec Ref,Main Panel Width,Appear In Schedule,EXT_DOOR_Minimum_Clear_Width,Frame Depth,Frame Head Depth,Panel Glazing Material,Panel Height,Panel Width,Rail Bottom,Rail Head,Stile Left,Stile Right
IfcText('ED-10-504'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 14j'),IfcText('N/A'),IfcText(''),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcText('No'),IfcText('Core E LMR to roof'),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),IfcText('ED-10-504'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),,IfcLengthMeasure(1210.),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1110.),IfcText(''),IfcText(''),IfcText('Agate Grey (RAL 7038)'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(700.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-506'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 14j'),IfcText('N/A'),IfcText(''),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcText('No'),IfcText('Core F LMR to roof'),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),IfcText('ED-10-506'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),,IfcLengthMeasure(1210.),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1110.),IfcText(''),IfcText(''),IfcText('Agate Grey (RAL 7038)'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(700.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-507'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 14j'),IfcText('N/A'),IfcText(''),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcText('No'),IfcText('Core G LMR to roof'),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),IfcText('ED-10-507'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),,IfcLengthMeasure(1210.),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1110.),IfcText(''),IfcText(''),IfcText('Agate Grey (RAL 7038)'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(700.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-101'),IfcText(''),IfcText(''),IfcText('23.30.10.17.17.21'),IfcText('Panel Folding Doors'),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText('Visual contrast achieved with manifestation'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('ED walk-in entrance'),IfcText('EDT 4a'),"IfcText('Automatic, bi-folding, aluminium-framed glazed, fold in')",IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2150w x 2535h'),IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2150w x 2535h'),IfcText('N/A'),IfcLengthMeasure(6.35),,IfcLengthMeasure(2535.),IfcText('as H11/134A'),IfcText('H11/134A'),IfcLabel('Level: Level 1'),IfcText('ED-10-101'),IfcLabel('New Construction'),,,,IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2150w x 2535h'),,IfcLengthMeasure(2150.),IfcText(''),IfcText(''),,,,IfcText(''),IfcText('Powered'),,,IfcLengthMeasure(2535.),,,,IfcLengthMeasure(2535.),IfcLengthMeasure(2150.),IfcLengthMeasure(0.),IfcLengthMeasure(50.8),,IfcText('Automatic Bi-fold Sliding Door'),,IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcBoolean(.T.),IfcText('1500'),IfcLengthMeasure(101.6),IfcLengthMeasure(152.4),IfcLabel('Glass'),IfcLengthMeasure(2382.6),IfcLengthMeasure(1030.55),IfcLengthMeasure(101.6),IfcLengthMeasure(95.25),IfcLengthMeasure(76.2),IfcLengthMeasure(76.2)
IfcText('ED-10-102'),IfcText(''),IfcText(''),IfcText('23.30.10.17.17.21'),IfcText('Panel Folding Doors'),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText('Visual contrast achieved with manifestation'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('ED ambulance entrance'),IfcText('EDT 4a'),"IfcText('Automatic, bi-folding, aluminium-framed glazed, fold in')",IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2450w x 2535h'),IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2450w x 2535h'),IfcText('N/A'),IfcLengthMeasure(6.35),,IfcLengthMeasure(2535.),IfcText('as H11/134A'),IfcText('H11/134A'),IfcLabel('Level: Level 1'),IfcText('ED-10-102'),IfcLabel('New Construction'),,,,IfcLabel('EDT 4a - Bi-Folding Door Automatic: EDT 4a_2450w x 2535h'),,IfcLengthMeasure(2450.),IfcText(''),IfcText(''),,,,IfcText(''),IfcText('Powered'),IfcText('Telegrey 4 (RAL 7047)'),,IfcLengthMeasure(2535.),,,,IfcLengthMeasure(2535.),IfcLengthMeasure(2450.),IfcLengthMeasure(0.),IfcLengthMeasure(50.8),,IfcText('Automatic Bi-fold Sliding Door'),,IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IfcBoolean(.T.),IfcText('1900'),IfcLengthMeasure(101.6),IfcLengthMeasure(152.4),IfcLabel('Glass'),IfcLengthMeasure(2382.6),IfcLengthMeasure(1180.55),IfcLengthMeasure(101.6),IfcLengthMeasure(95.25),IfcLengthMeasure(76.2),IfcLengthMeasure(76.2)
IfcText('ED-10-013'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,,IfcText(''),,,,IfcLabel('Basalt Grey (RAL 7012)'),,,IfcText('EDT 7a'),"IfcText('Hinged, aluminium-framed glazed, single door in curtain walling')",IfcLabel('EDT 7a - Single CW Door Hinged Manual: EDT 7a_Door Hinged Manual - Single'),IfcLabel('EDT 7a - Single CW Door Hinged Manual: EDT 7a_Door Hinged Manual - Single'),,,,IfcLengthMeasure(1940.00000000595),,IfcText('H11/136A'),IfcLabel('Level: Level 2'),IfcText('ED-10-013'),IfcLabel('New Construction'),,,,IfcLabel('EDT 7a - Single CW Door Hinged Manual: EDT 7a_Door Hinged Manual - Single'),,IfcLengthMeasure(1058.99999999995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-103'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('Yes'),IfcText('Decontamination / AMB wash'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('N/A'),,,IfcLengthMeasure(2535.),IfcText('E3b'),IfcText('L20/481'),IfcLabel('Level: Level 1'),IfcText('ED-10-103'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),,IfcLengthMeasure(1060.),IfcText(''),IfcText(''),IfcLengthMeasure(2474.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcText(''),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-104'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('Yes'),IfcText('Decontamination / AMB wash'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('N/A'),,,IfcLengthMeasure(2535.),IfcText('E3b'),IfcText('L20/481'),IfcLabel('Level: Level 1'),IfcText('ED-10-104'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),,IfcLengthMeasure(1060.),IfcText(''),IfcText(''),IfcLengthMeasure(2474.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcText(''),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-301'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcText('TBC'),IfcText('EDT 14a'),IfcText('N/A'),IfcText('Emergency roof exit'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('Wait/ Play'),IfcText('EDT 14a'),"IfcText('Hinged, aluminium-framed, glazed, single doorset')",IfcLabel('BDP_Door: EDT 14a_1060w x 1800h'),IfcLabel('BDP_Door: EDT 14a_1060w x 1800h'),IfcText('N/A'),,,IfcLengthMeasure(1800.),IfcText('E5c'),IfcText('L20/ 487'),IfcLabel('Level: Level 3'),IfcText('ED-10-301'),IfcLabel('New Construction'),,,,IfcLabel('BDP_Door: EDT 14a_1060w x 1800h'),,IfcLengthMeasure(1060.),IfcText(''),"IfcText('Single Door, Single Swing')",,,,IfcText(''),IfcText(''),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),"IfcText('Single Door, Single Swing')",,IfcLengthMeasure(1800.),IfcLengthMeasure(1060.),IfcLengthMeasure(735.000000000001),IfcLengthMeasure(44.),IfcLengthMeasure(260.000000000969),,IfcBoolean(.F.),IfcText(''),,,,IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcLengthMeasure(15.),IfcBoolean(.F.),IfcLengthMeasure(400.),IfcBoolean(.F.),IfcLengthMeasure(1737.99999999999),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.T.),IfcLengthMeasure(150.),IfcLengthMeasure(2000.),IfcLengthMeasure(1490.),IfcLengthMeasure(650.),IfcLengthMeasure(100.),IfcLengthMeasure(772.),IfcText('L20/ 487'),,,,,,,,,,,,
IfcText('ED-10-302'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcText('TBC'),IfcText('EDT 14a'),IfcText('N/A'),IfcText('Emergency roof exit'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('Staff rest'),IfcText('EDT 14a'),"IfcText('Hinged, aluminium-framed, glazed, single doorset')",IfcLabel('BDP_Door: EDT 14a_1060w x 1800h'),IfcLabel('BDP_Door: EDT 14a_1060w x 1800h'),IfcText('N/A'),,,IfcLengthMeasure(1800.),IfcText('E5c'),IfcText('L20/ 487'),IfcLabel('Level: Level 3'),IfcText('ED-10-302'),IfcLabel('New Construction'),,,,IfcLabel('BDP_Door: EDT 14a_1060w x 1800h'),,IfcLengthMeasure(1060.),IfcText(''),"IfcText('Single Door, Single Swing')",,,,IfcText(''),IfcText(''),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),"IfcText('Single Door, Single Swing')",,IfcLengthMeasure(1800.),IfcLengthMeasure(1060.),IfcLengthMeasure(735.000000000001),IfcLengthMeasure(44.),IfcLengthMeasure(260.000000000969),,IfcBoolean(.F.),IfcText(''),,,,IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcLengthMeasure(15.),IfcBoolean(.F.),IfcLengthMeasure(400.),IfcBoolean(.F.),IfcLengthMeasure(1737.99999999999),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.T.),IfcLengthMeasure(150.),IfcLengthMeasure(2000.),IfcLengthMeasure(1490.),IfcLengthMeasure(650.),IfcLengthMeasure(100.),IfcLengthMeasure(772.),IfcText('L20/ 487'),,,,,,,,,,,,
IfcText('ED-10-508'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 14k'),IfcText('N/A'),IfcText(''),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcText('No'),IfcText('Core A LMR to roof'),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),IfcText('ED-10-508'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),,IfcLengthMeasure(750.),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(650.),IfcText(''),IfcText(''),IfcText('Agate Grey (RAL 7038)'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(750.),IfcLengthMeasure(699.999999999997),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-509'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 14k'),IfcText('N/A'),IfcText(''),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcText('No'),IfcText('Core E LMR to roof'),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),IfcText('ED-10-509'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),,IfcLengthMeasure(750.),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(650.),IfcText(''),IfcText(''),IfcText('Agate Grey (RAL 7038)'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(750.),IfcLengthMeasure(699.999999999997),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-510'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 14k'),IfcText('N/A'),IfcText(''),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcText('No'),IfcText('Core F LMR to roof'),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),IfcText('ED-10-510'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_750w x 2110h'),,IfcLengthMeasure(750.),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(650.),IfcText(''),IfcText(''),IfcText('Agate Grey (RAL 7038)'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(750.),IfcLengthMeasure(699.999999999997),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-511'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 14j'),IfcText('N/A'),IfcText(''),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcText('No'),IfcText('Core G LMR to roof'),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),IfcText('ED-10-511'),IfcLabel('New Construction'),,,,IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),,IfcLengthMeasure(1210.),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1110.),IfcText(''),IfcText(''),IfcText('Agate Grey (RAL 7038)'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(149.999999999992),IfcText('Single Door Single Swing'),IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(699.999999999997),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
