,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Access Control,Blind Type,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Acoustic Designation,DOOR_Power,Fire Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Acoustic Rating,Spec Ref
IfcText('CCU2013.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2013.S1'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('2HW_9b42r4BeHNTCGDw0FT'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2013.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2102.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2HW_9b42r4BeHNTCGDw0H7'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2102.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J163'),IfcLengthMeasure(1060.),IfcText('30dB'),,,,,,,,,
IfcText('CCU2012.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2012.S1'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('2HW_9b42r4BeHNTCGDw1hx'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2012.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2015.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2015.S1'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('1oecKIY0n9heqZ_H7wjaA8'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2015.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2027.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2027.S1'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('2h$qhiqCz9QQL5ZNfyAcxB'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2027.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2089.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),,IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('2QbAJLhF5ESx3qZBKspm2m'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('CCU2089.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J175'),IfcLengthMeasure(1510.),,,,IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,
IfcText('CCU2034.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2034.S1'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('35dVTJB4jFXOc7LxVjP3AI'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2034.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2004.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1En9R6hDj1$ASAOvg6DSmh'),IfcText('03'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2004.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J55'),IfcLengthMeasure(810.),,,,,,,,,,
IfcText('CCU2003.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1En9R6hDj1$ASAOvg6DSmi'),IfcText('03'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2003.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J55'),IfcLengthMeasure(810.),,,,,,,,,,
IfcText('CCU2127.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0Vnavmg8rFXPC3z461FoPn'),IfcText('03DA'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2127.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J52'),IfcLengthMeasure(1060.),,,,,,,,,,
IfcText('CCU2095.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1m_Sldd1v6Wg86zNLtO0E2'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2095.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J55'),IfcLengthMeasure(810.),,,,,,,,,,
IfcText('CCU2095.D3'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('TBC'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),,,IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1TdMCf9Xb4geZ9CGXtU2v_'),IfcText('TBC'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2095.D3'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J55'),IfcLengthMeasure(810.),,,,,,,,,,
