,Assembly Code,Assembly Description,Blind Type,DOOR_Radiation Protection,Sill Height,Comments,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,OmniClass Number,OmniClass Title,Access Control,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Protection,DOOR_Signage,DOOR_Type,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,RevisedByType_ARUtils,RevisedType_ARUtils,Rough Height,Rough Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,DOOR_Power,Acoustic Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width
IfcText('RAD1021.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3koqKrvUTFiheugOc6vdo$'),IfcText('18'),IfcText('L20/432'),IfcLabel('Level: Level 1'),,IfcText('RAD1021.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(112.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('DUD/SS'),IfcText('J172'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1018.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3koqKrvUTFiheugOc6vdn$'),IfcText('18'),IfcText('L20/432'),IfcLabel('Level: Level 1'),,IfcText('RAD1018.D2'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(124.5),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('DUD/SS'),IfcText('J172'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1017.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3koqKrvUTFiheugOc6vdnR'),IfcText('18'),IfcText('L20/432'),IfcLabel('Level: Level 1'),,IfcText('RAD1017.D2'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(124.5),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('DUD/SS'),IfcText('J172'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1031.D1'),IfcText(''),IfcText(''),IfcText('IBT 01'),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.T.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2lIrRILEP80ABzgJloAW55'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1031.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(127.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J184'),IfcLengthMeasure(1060.),,,,,,,
IfcText('RAD1028.D1'),IfcText(''),IfcText(''),IfcText('IBT 01'),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.T.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 3c'),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O'),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2lIrRILEP80ABzgJloAWq4'),IfcText('21aDA'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1028.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),,,IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J197'),IfcLengthMeasure(1910.),IfcText('Delayed Close'),IfcText('30dB'),,,,,
IfcText('RAD1C01.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcText('TBC'),IfcText('Kick/Mid/Edge'),IfcText(''),IfcText('IDT 3b'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2gnUg7QOf42uuEP2LeNRnH'),IfcText('11q'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1C01.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(32.),IfcLengthMeasure(127.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('J74'),IfcLengthMeasure(1910.),IfcText('Delayed Close'),,,,,,
IfcText('RAD1007.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3YteW8Q8f5lvi385I7$JPC'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1007.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,,,,,,
IfcText('RAD1009.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3$2ak9Dlz5fPwzEBXupcvY'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1009.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcLengthMeasure(1510.),,IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1008.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3$2ak9Dlz5fPwzEBXupcu2'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1008.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcLengthMeasure(1510.),,IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1010.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3$2ak9Dlz5fPwzEBXupc$0'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('RAD1010.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcLengthMeasure(1510.),,IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1016.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupc_X'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1016.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,IfcText('30dB'),,,,,
IfcText('RAD1015.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupczr'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1015.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,IfcText('30dB'),,,,,
IfcText('RAD1014.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupcyL'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1014.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,IfcText('30dB'),,,,,
IfcText('RAD1013.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupcyz'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1013.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,IfcText('30dB'),,,,,
IfcText('RAD1012.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupcZV'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1012.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,IfcText('30dB'),,,,,
IfcText('RAD1011.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupcZp'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1011.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,IfcText('30dB'),,,,,
IfcText('RAD1005.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupcY3'),IfcText('03'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1005.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J42'),IfcLengthMeasure(810.),,,,,,,
IfcText('RAD1022.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$2ak9Dlz5fPwzEBXupccS'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1022.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J42'),IfcLengthMeasure(810.),,,,,,,
